Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat
Breakfast Platter with Bacon,265,36,36,28,3,1,1080,655,580,15,0
Breakfast Platter with Bacon Whatameal,799,47,56,30,3,3,1590,655,770,16,0
Breakfast Platter with Sausage,313,52,36,35,3,1,1270,675,740,21,0
Breakfast Platter with Sausage Whatameal,846,63,56,38,3,3,1780,675,940,22,0
Cinnamon Roll,142,10,79,8,35,3,450,30,430,4,0
Egg and Cheese Biscuit,154,26,32,14,2,1,1000,220,420,13,0
Egg Sandwich,129,12,34,15,5,1,740,220,310,5,0
Honey Butter Chicken Biscuit,155,33,51,13,9,2,990,30,560,11,0
Honey Butter Chicken Biscuit Whatameal,688,45,71,16,9,3,1490,30,750,12,0
Jalapeno Cheddar Biscuit,85,20,31,8,0,2,700,10,330,12,0
Jalapeno Cheddar Biscuit and Gravy,255,32,45,11,2,2,1630,25,520,17,0
Jalapeno Cheddar Biscuit and Gravy Whatameal,789,43,66,13,2,4,2140,25,710,18,0
Jalapeno Cheddar Biscuit Sandwich,155,29,31,18,0,2,1100,230,470,16,0
Jalapeno Cheddar Biscuit Sandwich Whatameal,688,40,52,20,0,4,1600,230,660,18,0
Jalapeno Cheddar Biscuit Sandwich with Bacon,164,33,31,22,0,2,1170,240,510,18,0
Jalapeno Cheddar Biscuit Sandwich with Bacon Whatameal,698,44,52,24,0,4,1770,240,700,19,0
Jalapeno Cheddar Biscuit Sandwich with Sausage,212,48,31,29,0,2,1460,260,680,23,0
Jalapeno Cheddar Biscuit Sandwich with Sausage Whatameal,745,59,52,31,0,4,1970,260,870,25,0
Jalapeno Cheddar Biscuit with Bacon,95,23,31,12,0,2,870,20,380,13,0
Jalapeno Cheddar Biscuit with Sausage,142,39,31,19,0,2,1070,40,540,19,0
Pancake Platter with Bacon,273,20,108,13,36,3,1520,15,670,6,0
Pancake Platter with Bacon Whatameal,807,31,129,15,36,5,2030,15,870,8,0
Pancake Platter with Sausage,321,36,108,20,36,3,1720,30,840,12,0
Pancake Platter with Sausage Whatameal,854,47,129,22,36,5,2220,30,1030,14,0
Pancakes,264,17,108,9,36,3,1350,0,630,5,0
"Taquito, No Cheese",143,16,28,14,1,1,630,325,310,5,0
"Taquito with Bacon, Egg & Cheese",165,22,28,20,1,1,1020,345,400,9,0
"Taquito with Bacon, Egg & Cheese Whatameal",699,34,49,22,1,3,1620,345,590,10,0
"Taquito with Bacon, No Cheese",152,19,28,18,1,1,800,335,350,6,0
Taquito with Cheese,156,19,28,16,1,1,1000,335,350,8,0
Taquito with Cheese Whatameal,689,30,49,19,1,3,1500,335,540,9,0
"Taquito with Potato, Egg & Cheese",186,25,38,17,1,2,1240,335,440,9,0
"Taquito with Potato, Egg & Cheese Whatameal",721,37,59,19,1,4,1750,335,650,10,0
"Taquito with Potato, No Cheese",173,21,38,15,1,2,880,325,400,6,0
"Taquito with Sausage, Egg & Cheese",177,26,28,19,1,1,1050,345,430,10,0
"Taquito with Sausage, Egg & Cheese Whatameal",711,37,49,21,1,3,1650,345,620,12,0
"Taquito with Sausage, No Cheese",165,23,28,16,1,1,840,335,380,8,0
Grilled Cheese Kid's Meal,704,42,153,19,71,3,1510,40,1070,12,0
Grilled Cheese Kid's Meal with Lower Calorie Sides,459,31,82,24,32,1,1440,55,730,11,0
Justaburger Kid's Meal,681,26,145,17,72,4,950,20,860,5,0
Justaburger Kid's Meal with Lower Calorie Sides,435,14,75,22,33,3,890,35,520,5,0
Kids Grilled Cheese,140,28,42,16,4,0,1300,40,510,10,0
Kids Justaburger,117,11,35,14,5,1,750,20,300,3,0
