Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat,Carbs Metric,Cholesterol Metric,Fat Metric,Sodium Metric,Protein Metric
"Memphis BBQ Chicken Hand Tossed Pizza, Medium",105.0,10.0,29.0,12.0,4.0,1.0,490.0,30.0,260.0,5.0,0.0,0.7435897435897436,0.7692307692307693,0.999000999000999,1.5705128205128205,0.3076923076923077
"Memphis BBQ Chicken Hand Tossed Pizza, Small",94.0,9.0,27.0,11.0,3.0,1.0,430.0,25.0,240.0,4.0,0.0,0.75,0.6944444444444445,0.974025974025974,1.4930555555555556,0.3055555555555555
"Memphis BBQ Chicken Hand Tossed Pizza, XLarge",183.0,17.0,52.0,21.0,7.0,2.0,850.0,55.0,450.0,9.0,0.5,0.7703703703703704,0.8148148148148148,0.9812409812409812,1.5740740740740742,0.3111111111111111
"Pacific Veggie Hand Tossed Pizza, Large",151.0,11.0,37.0,13.0,3.0,2.0,660.0,30.0,310.0,5.0,0.0,0.7956989247311829,0.6451612903225806,0.9216589861751152,1.7741935483870968,0.2795698924731183
"Pacific Veggie Hand Tossed Pizza, Medium",110.0,8.0,27.0,10.0,2.0,2.0,490.0,20.0,230.0,4.0,0.0,0.782608695652174,0.5797101449275363,0.9034443817052513,1.7753623188405798,0.2898550724637681
"Pacific Veggie Hand Tossed Pizza, Small",98.0,8.0,25.0,9.0,2.0,1.0,430.0,20.0,210.0,3.5,0.0,0.7936507936507936,0.6349206349206349,0.9894867037724181,1.7063492063492063,0.28571428571428575
"Pacific Veggie Hand Tossed Pizza, XLarge",194.0,14.0,48.0,17.0,4.0,3.0,840.0,35.0,390.0,7.0,0.0,0.8205128205128206,0.5982905982905983,0.9324009324009324,1.794871794871795,0.2905982905982906
"Philly Cheese Steak Hand Tossed Pizza, Large",130.0,13.0,35.0,14.0,2.0,2.0,730.0,35.0,310.0,6.0,0.0,0.7526881720430108,0.7526881720430108,1.0892333472978635,1.9623655913978497,0.3010752688172043
"Philly Cheese Steak Hand Tossed Pizza, Medium",97.0,10.0,26.0,10.0,2.0,1.0,570.0,25.0,230.0,5.0,0.0,0.7536231884057971,0.7246376811594203,1.129305477131564,2.0652173913043477,0.2898550724637681
"Philly Cheese Steak Hand Tossed Pizza, Small",90.0,9.0,25.0,10.0,2.0,1.0,520.0,25.0,220.0,4.5,0.0,0.7575757575757576,0.7575757575757576,1.062573789846517,1.96969696969697,0.30303030303030304
"Philly Cheese Steak Hand Tossed Pizza, XLarge",169.0,16.0,46.0,17.0,3.0,2.0,930.0,45.0,400.0,8.0,0.5,0.7666666666666667,0.75,1.0389610389610389,1.9375000000000002,0.2833333333333334
"Spinach & Feta Hand Tossed Pizza, Large",127.0,14.0,35.0,14.0,1.0,2.0,610.0,35.0,320.0,7.0,0.0,0.7291666666666667,0.7291666666666667,1.1363636363636362,1.5885416666666667,0.2916666666666667
"Spinach & Feta Hand Tossed Pizza, Medium",93.0,10.0,26.0,10.0,1.0,1.0,450.0,25.0,240.0,5.0,0.0,0.7222222222222223,0.6944444444444445,1.0822510822510822,1.5625,0.2777777777777778
"Spinach & Feta Hand Tossed Pizza, XLarge",164.0,17.0,46.0,18.0,2.0,2.0,770.0,45.0,410.0,9.0,0.5,0.7479674796747968,0.7317073170731707,1.0769718086791258,1.565040650406504,0.2926829268292683
"Ultimate Pepperoni Hand Tossed Pizza, Large",139.0,17.0,36.0,16.0,3.0,2.0,890.0,45.0,370.0,8.0,0.0,0.6486486486486487,0.8108108108108109,1.1934011934011934,2.0045045045045047,0.28828828828828834
"Ultimate Pepperoni Hand Tossed Pizza, Medium",102.0,13.0,26.0,12.0,2.0,1.0,660.0,30.0,270.0,6.0,0.0,0.6419753086419754,0.7407407407407407,1.2506012506012505,2.037037037037037,0.29629629629629634
"Ultimate Pepperoni Hand Tossed Pizza, Small",95.0,12.0,25.0,11.0,2.0,1.0,610.0,30.0,250.0,5.0,0.0,0.6666666666666667,0.8,1.2467532467532467,2.033333333333333,0.29333333333333333
"Ultimate Pepperoni Hand Tossed Pizza, XLarge",183.0,22.0,47.0,21.0,4.0,2.0,1180.0,55.0,480.0,10.0,0.5,0.6527777777777778,0.7638888888888888,1.1904761904761905,2.048611111111111,0.2916666666666667
"Wisconsin 6 Cheese Hand Tossed Pizza, Large",135.0,14.0,36.0,16.0,3.0,2.0,690.0,35.0,340.0,7.0,0.0,0.7058823529411765,0.6862745098039216,1.0695187165775402,1.6911764705882353,0.3137254901960784
"Wisconsin 6 Cheese Hand Tossed Pizza, Medium",100.0,11.0,27.0,12.0,2.0,1.0,520.0,30.0,250.0,5.0,0.0,0.72,0.8,1.1428571428571428,1.7333333333333334,0.32
"Wisconsin 6 Cheese Hand Tossed Pizza, Small",90.0,9.0,25.0,10.0,2.0,1.0,450.0,20.0,220.0,4.5,0.0,0.7575757575757576,0.6060606060606061,1.062573789846517,1.7045454545454546,0.30303030303030304
"Wisconsin 6 Cheese Hand Tossed Pizza, XLarge",178.0,18.0,48.0,20.0,4.0,2.0,910.0,50.0,440.0,9.0,0.5,0.7272727272727273,0.7575757575757576,1.062573789846517,1.7234848484848486,0.30303030303030304
Buffalo Chicken Sandwich,174.0,21.0,37.0,22.0,2.0,2.0,1270.0,60.0,420.0,8.0,1.0,0.5873015873015873,0.9523809523809523,1.2987012987012987,2.5198412698412698,0.34920634920634924
Chicken Bacon Ranch Sandwich,157.0,22.0,36.0,24.0,2.0,1.0,1140.0,65.0,440.0,8.0,0.0,0.5454545454545455,0.984848484848485,1.2987012987012987,2.159090909090909,0.36363636363636365
Chicken Parm Sandwich,161.0,15.0,37.0,25.0,2.0,2.0,1000.0,60.0,380.0,8.0,0.0,0.6491228070175439,1.0526315789473684,1.0252904989747094,2.192982456140351,0.43859649122807015
Italian Sandwich,163.0,20.0,36.0,22.0,2.0,2.0,1380.0,55.0,410.0,9.0,0.5,0.5853658536585366,0.894308943089431,1.2670256572695597,2.8048780487804876,0.35772357723577236
Mediterranean Veggie Sandwich,167.0,14.0,38.0,18.0,3.0,2.0,1110.0,40.0,350.0,8.0,0.0,0.7238095238095238,0.7619047619047619,1.0389610389610389,2.642857142857143,0.34285714285714286
Philly Cheese Steak Sandwich,153.0,12.0,37.0,17.0,3.0,2.0,1130.0,40.0,320.0,6.0,0.0,0.7708333333333334,0.8333333333333334,0.974025974025974,2.9427083333333335,0.3541666666666667
Sweet & Spicy Chicken Habanero Sandwich,173.0,16.0,42.0,23.0,7.0,1.0,1020.0,60.0,400.0,8.0,0.0,0.7,1.0,1.0389610389610389,2.125,0.38333333333333336
Chicken Alfredo in Bread Bowl,298.0,25.0,91.0,25.0,4.0,3.0,970.0,55.0,690.0,10.0,1.0,0.8792270531400966,0.5314009661835749,0.9410878976096367,1.171497584541063,0.24154589371980678
Chicken Alfredo in Dish,326.0,30.0,60.0,27.0,4.0,2.0,1020.0,105.0,620.0,17.0,1.0,0.6451612903225806,1.129032258064516,1.2568077084206115,1.370967741935484,0.2903225806451613
Chicken Carbonara in Bread Bowl,319.0,28.0,92.0,27.0,4.0,3.0,1120.0,65.0,730.0,11.0,1.0,0.8401826484018265,0.593607305936073,0.9962640099626402,1.278538812785388,0.24657534246575344
Chicken Carbonara in Dish,369.0,35.0,63.0,32.0,5.0,2.0,1320.0,125.0,690.0,18.0,1.0,0.6086956521739131,1.2077294685990339,1.3175230566534915,1.5942028985507248,0.3091787439613527
Italian Sausage Marinara in Bread Bowl,326.0,27.0,96.0,25.0,9.0,5.0,1280.0,35.0,730.0,9.0,1.0,0.8767123287671232,0.319634703196347,0.9606831524639744,1.461187214611872,0.228310502283105
Italian Sausage Marinara in Dish,383.0,34.0,70.0,28.0,14.0,6.0,1620.0,70.0,690.0,14.0,1.0,0.676328502415459,0.676328502415459,1.279879540749106,1.956521739130435,0.27053140096618356
Pasta Primavera in Bread Bowl,303.0,24.0,91.0,19.0,4.0,3.0,860.0,35.0,660.0,10.0,1.0,0.9191919191919192,0.35353535353535354,0.9445100354191263,1.0858585858585859,0.19191919191919193
Pasta Primavera in Dish,337.0,27.0,61.0,16.0,5.0,3.0,790.0,65.0,550.0,16.0,1.0,0.7393939393939395,0.7878787878787878,1.2750885478158205,1.196969696969697,0.19393939393939394
BBQ Wings,118.0,13.0,18.0,13.0,10.0,0.0,840.0,85.0,240.0,3.5,0.0,0.5,2.361111111111111,1.406926406926407,2.916666666666667,0.36111111111111116
Crispy Bacon & Tomato Specialty Chicken,90.0,17.0,15.0,11.0,1.0,0.0,840.0,45.0,250.0,4.5,0.0,0.4,1.2,1.7662337662337664,2.8,0.29333333333333333
Fire Wings,118.0,13.0,8.0,13.0,1.0,1.0,1690.0,85.0,200.0,3.5,0.0,0.26666666666666666,2.8333333333333335,1.6883116883116884,7.041666666666666,0.43333333333333335
Hot Wings,118.0,13.0,8.0,13.0,1.0,1.0,1660.0,85.0,200.0,3.5,0.0,0.26666666666666666,2.8333333333333335,1.6883116883116884,6.916666666666668,0.43333333333333335
Mild Wings,118.0,13.0,8.0,13.0,1.0,0.0,1400.0,85.0,200.0,3.5,0.0,0.26666666666666666,2.8333333333333335,1.6883116883116884,5.833333333333334,0.43333333333333335
Plain Wings,90.0,13.0,7.0,13.0,0.0,0.0,660.0,85.0,190.0,3.5,0.0,0.24561403508771928,2.982456140350877,1.7771701982228298,2.8947368421052633,0.456140350877193
Red BBQ Wings,118.0,13.0,15.0,13.0,7.0,0.0,940.0,85.0,230.0,3.5,0.0,0.43478260869565216,2.463768115942029,1.4680971202710333,3.405797101449276,0.37681159420289856
Spicy Jalapeno & Pineapple Specialty Chicken,90.0,8.0,22.0,9.0,7.0,1.0,660.0,35.0,180.0,2.5,0.0,0.8148148148148148,1.2962962962962963,1.1544011544011545,3.0555555555555554,0.33333333333333337
Sweet Mango Habanero Wings,118.0,13.0,20.0,13.0,11.0,0.0,720.0,85.0,240.0,3.5,0.0,0.5555555555555556,2.361111111111111,1.406926406926407,2.5,0.36111111111111116
Chicken Apple Pecan Salad,170.0,4.5,23.0,13.0,14.0,4.0,350.0,40.0,190.0,2.5,0.0,0.8070175438596492,1.4035087719298245,0.6151742993848257,1.5350877192982457,0.456140350877193
Chicken Caesar Salad,198.0,7.0,15.0,16.0,3.0,2.0,520.0,45.0,210.0,3.5,0.0,0.47619047619047616,1.4285714285714286,0.8658008658008658,2.0634920634920637,0.507936507936508
Classic Garden Salad,244.0,9.0,17.0,8.0,6.0,4.0,220.0,20.0,200.0,4.5,0.0,0.5666666666666668,0.6666666666666667,1.1688311688311688,0.9166666666666667,0.26666666666666666
Ben & Jerry's Cherry Garcia Ice Cream,107.0,15.0,27.0,4.0,23.0,1.0,40.0,70.0,260.0,9.0,1.0,0.6923076923076924,1.794871794871795,1.4985014985014986,0.12820512820512822,0.10256410256410257
Ben & Jerry's Chocolate Chip Cookie Dough Ice Cream,104.0,15.0,32.0,4.0,25.0,0.0,50.0,75.0,280.0,9.0,1.0,0.7619047619047619,1.7857142857142858,1.3914656771799627,0.1488095238095238,0.09523809523809523
Ben & Jerry's Chocolate Fudge Brownie Ice Cream,105.0,13.0,30.0,5.0,27.0,2.0,70.0,50.0,260.0,8.0,0.0,0.7692307692307693,1.2820512820512822,1.2987012987012987,0.22435897435897437,0.12820512820512822
