Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat
Kosher Veggie Bacon Wake-Up Wrap,,12,15,8,1,1,530,95,200,4.5,0
Kosher Veggie Sausage Egg and Cheese on a Croissant,,33,44,23,6,2,840,180,570,13,0
Kosher Veggie Sausage Wake-Up Wrap,,11,16,11,1,1,540,95,210,4,0
Blueberry Muffin,,15,76,6,43,2,390,60,460,3,0
Chocolate Chip Muffin,,21,83,7,50,2,400,60,550,6,0
Corn Muffin,,16,72,7,30,1,680,65,460,3,0
Pumpkin Muffin,,24,77,6,40,2,400,50,550,5,0
Multigrain Brown Sugar Oatmeal with Dried Fruit Topping,,2,66,5,35,7,250,0,310,0,0
Biscuit,,14,32,5,2,1,640,10,270,9,0
English Muffin,,2,34,6,3,1,250,0,180,0,0
Gluten Free Fudge Brownie,,16,48,3,34,2,240,60,350,2,0
Plain Croissant,,18,38,6,6,0,250,0,340,8,0
Pretzel Bites with Mustard,,2,35,7,1,1,1430,0,190,0.5,0
All You Can Meat Breakfast Sandwich,,56,42,31,7,1,1540,235,800,21,0
All You Can Meat Wake-Up Wrap,,23,15,15,1,1,920,125,330,8,0
"Bacon, Egg & Cheese on a Plain Bagel",,18,66,23,6,4,1170,185,520,6,0
"Bacon, Egg & Cheese on Croissant",,35,41,19,6,1,800,185,560,14,0
"Bacon, Egg & Cheese on English Muffin",,19,37,18,4,1,800,185,390,6,0
"Bacon, Egg & Cheese Wake-Up Wrap",,13,15,9,1,1,550,100,210,5,0
Belgian Waffle Breakfast Sandwich with Maple Sugar Bacon,,23,40,22,15,1,1040,210,460,8,0
Big n' Toasted (Regional),,38,41,29,3,0,1200,360,620,12,0
"Biscuit, Bacon, Fried Egg and Cheese",,31,34,17,2,1,1180,195,490,15,0
Chicken Biscuit,,22,46,21,3,1,1080,45,460,11,0
Chicken Croissant Sandwich (Regional),,40,54,29,8,1,1200,65,690,15,0
Double Sausage Breakfast Sandwich,,53,68,35,7,5,1970,250,890,19,0
Egg & Cheese on a Plain Bagel,,13,66,19,6,4,1010,175,460,5,0
Egg & Cheese on Croissant,,31,40,15,6,1,640,175,500,13,0
Egg & Cheese on English Muffin,,15,37,14,4,1,640,175,340,5,0
Grilled Cheese (Regional),,24,37,17,3,0,960,50,430,11,0
Grilled Cheese with Bacon (Regional),,29,37,21,3,0,1120,60,490,13,0
Grilled Cheese with Ham (Regional),,25,38,22,4,0,1220,60,460,12,0
"Ham, Egg & Cheese on a Plain Bagel",,14,67,24,7,4,1270,190,490,5,0
"Ham, Egg & Cheese on Croissant",,32,41,19,7,1,900,190,530,13,0
"Ham, Egg & Cheese on English Muffin",,15,37,19,4,1,900,190,360,5,0
Ham and Cheese Rollups,,13,27,13,2,1,1050,40,280,6,0
Maple Sugar Bacon Breakfast Sandwich,,40,47,22,12,2,960,195,640,16,0
Maple Sugar Bacon Wake-Up Wrap,,15,18,11,4,1,630,105,250,6,0
"Sausage, Egg & Cheese on a Plain Bagel",,33,68,27,7,4,1490,215,680,12,0
"Sausage, Egg & Cheese on Croissant",,51,41,22,6,1,1120,215,710,20,0
"Sausage, Egg & Cheese on English Muffin",,34,37,22,4,1,1120,215,550,12,0
"Sausage, Egg & Cheese Wake-Up Wrap",,20,15,11,1,1,710,115,290,8,0
Sausage Biscuit,,34,32,13,2,1,1120,45,490,16,0
Spam Breakfast Sandwich,,42,42,20,7,1,1210,200,630,16,0
Turkey Sausage Sandwich on English Muffin,,21,37,25,4,1,1110,240,450,7,0
Veggie Egg White Sandwich on an English Muffin,,10,38,15,4,1,730,20,310,5,0
Waffle Breaded Chicken Tenders,,15,19,19,2,0,650,45,290,3,0
"Extra Thick Shake, Chocolate",,20,92,19,85,3,320,70,620,13,0.5
"Extra Thick Shake, Vanilla",,19,54,18,51,1,300,70,460,12,0.5
M&M Mix-In,,27,89,16,82,3,270,60,660,17,0.5
Orep Mix-In,,21,70,14,55,2,360,55,510,11,0.5
Soft Serve Cone,,9,35,9,27,1,160,35,260,6,0
Strawberry Coolatta Float,,6,56,6,54,1,105,25,300,4,0
