Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat,Carbs Metric,Cholesterol Metric,Fat Metric,Sodium Metric,Protein Metric
Chicken-Bacon Parmesan - Medium Hand Tossed Slice,103.3,9.0,25.0,11.0,1.0,2.0,410.0,25.0,230.0,4.0,0.0,0.7246376811594203,0.7246376811594203,1.0163749294184077,1.4855072463768115,0.31884057971014496
Hawaiian Chicken - Medium Hand Tossed Slice,108.9,6.0,27.0,10.0,2.0,2.0,440.0,20.0,200.0,3.0,0.0,0.9000000000000001,0.6666666666666667,0.7792207792207791,1.8333333333333335,0.33333333333333337
Meat Lover's® - Medium Hand Tossed Slice,113.2,15.0,26.0,12.0,1.0,2.0,610.0,35.0,280.0,6.0,0.0,0.6190476190476191,0.8333333333333334,1.3914656771799627,1.8154761904761905,0.28571428571428575
Pepperoni - Medium Hand Tossed Slice,91.5,9.0,25.0,9.0,1.0,2.0,420.0,20.0,220.0,4.0,0.0,0.7575757575757576,0.6060606060606061,1.062573789846517,1.590909090909091,0.27272727272727276
Pepperoni Lover's® - Medium Hand Tossed Slice,105.5,13.0,26.0,12.0,1.0,2.0,530.0,35.0,270.0,6.0,0.0,0.6419753086419754,0.8641975308641975,1.2506012506012505,1.6358024691358026,0.29629629629629634
Supreme - Medium Hand Tossed Slice,111.7,10.0,26.0,10.0,2.0,2.0,450.0,25.0,240.0,4.5,0.0,0.7222222222222223,0.6944444444444445,1.0822510822510822,1.5625,0.2777777777777778
Ultimate Cheese Lover's® - Medium Hand Tossed Slice,93.4,10.0,25.0,11.0,1.0,2.0,390.0,25.0,230.0,4.5,0.0,0.7246376811594203,0.7246376811594203,1.129305477131564,1.4130434782608696,0.31884057971014496
Veggie Lover's® - Medium Hand Tossed Slice,111.3,6.0,27.0,8.0,2.0,2.0,370.0,15.0,200.0,2.5,0.0,0.9000000000000001,0.5,0.7792207792207791,1.5416666666666667,0.26666666666666666
Backyard BBQ Chicken - Medium Thin 'N Crispy® Slice,88.1,7.0,27.0,10.0,7.0,1.0,440.0,25.0,210.0,3.0,0.0,0.8571428571428571,0.7936507936507936,0.8658008658008658,1.7460317460317463,0.31746031746031744
Buffalo Chicken - Medium Thin 'N Crispy® Slice,88.3,5.0,25.0,9.0,3.0,1.0,620.0,20.0,190.0,3.0,0.0,0.8771929824561403,0.7017543859649122,0.683526999316473,2.719298245614035,0.31578947368421056
Cheese - Medium Thin 'N Crispy® Slice,82.8,7.0,22.0,10.0,3.0,2.0,440.0,25.0,190.0,4.0,0.0,0.7719298245614036,0.8771929824561403,0.9569377990430621,1.929824561403509,0.3508771929824561
Chicken-Bacon Parmesan - Medium Thin 'N Crispy® Slice,94.4,9.0,21.0,11.0,3.0,1.0,460.0,30.0,210.0,4.0,0.0,0.6666666666666667,0.9523809523809523,1.1131725417439704,1.8253968253968256,0.34920634920634924
Hawaiian Chicken - Medium Thin 'N Crispy® Slice,100.3,6.0,24.0,10.0,4.0,2.0,480.0,25.0,180.0,3.0,0.0,0.888888888888889,0.925925925925926,0.8658008658008658,2.2222222222222223,0.37037037037037035
Meat Lover's® - Medium Thin 'N Crispy® Slice,100.9,14.0,22.0,12.0,3.0,2.0,650.0,35.0,260.0,6.0,0.0,0.5641025641025642,0.8974358974358975,1.3986013986013988,2.0833333333333335,0.3076923076923077
Pepperoni - Medium Thin 'N Crispy® Slice,80.8,9.0,22.0,9.0,3.0,2.0,480.0,25.0,210.0,4.0,0.0,0.6984126984126985,0.7936507936507936,1.1131725417439704,1.9047619047619047,0.28571428571428575
Pepperoni Lover's® - Medium Thin 'N Crispy®; Slice,96.3,13.0,22.0,12.0,3.0,2.0,600.0,40.0,260.0,6.0,0.0,0.5641025641025642,1.0256410256410258,1.2987012987012987,1.923076923076923,0.3076923076923077
Supreme - Medium Thin 'N Crispy® Slice,104.5,10.0,23.0,10.0,3.0,2.0,490.0,25.0,220.0,4.5,0.0,0.6969696969696969,0.7575757575757576,1.1806375442739079,1.856060606060606,0.30303030303030304
Ultimate Cheese Lover's® - Medium Thin 'N Crispy® Slice,83.7,10.0,22.0,11.0,3.0,1.0,450.0,25.0,220.0,5.0,0.0,0.6666666666666667,0.7575757575757576,1.1806375442739079,1.7045454545454546,0.33333333333333337
Veggie Lover's® - Medium Thin 'N Crispy® Slice,108.1,6.0,24.0,8.0,4.0,2.0,420.0,15.0,180.0,3.0,0.0,0.888888888888889,0.5555555555555556,0.8658008658008658,1.9444444444444446,0.29629629629629634
Backyard BBQ Chicken - Large Original Pan™ Slice,150.3,16.0,43.0,16.0,7.0,2.0,650.0,35.0,380.0,6.0,0.0,0.7543859649122807,0.6140350877192983,1.0936431989063569,1.4254385964912282,0.2807017543859649
