Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat
"6"" Egg White & Cheese Flatbread",183,10,43,20,2,4,980,10,340,2.5,0
"6"" Mega Melt",246,29,45,35,6,4,1830,215,590,11,0
"6"" Mega Melt Flatbread",255,31,44,34,3,4,1890,215,600,11,0
"6"" Mega Melt Flatbread with Egg White",255,26,45,36,3,4,1930,55,560,9,0
"6"" Mega Melt with Egg White",246,24,46,36,6,4,1860,55,550,9,0
"6"" Sausage, Egg & Cheese",231,24,45,29,6,4,1400,205,510,9,0
"6"" Sausage, Egg & Cheese Flatbread",240,26,44,29,3,4,1470,205,520,9,0
"6"" Sausage, Egg White & Cheese",231,18,45,30,5,4,1440,45,470,7,0
"6"" Sausage, Egg White & Cheese Flatbread",240,21,44,30,3,4,1500,45,480,7,0
"6"" Steak, Egg & Cheese",217,15,46,28,6,4,1210,195,440,6,0
"6"" Steak, Egg & Cheese Flatbread",225,18,45,28,4,4,1280,195,450,6,0
"6"" Steak, Egg White & Cheese",217,10,46,29,6,4,1250,35,400,3,0
"6"" Steak, Egg White & Cheese Flatbread",225,12,45,29,3,4,1320,35,410,3,0
"6"" Sunrise Subway Melt",281,20,48,34,8,5,1810,205,510,7,0
"6"" Sunrise Subway Melt Flatbread",290,22,47,34,5,4,1880,205,530,7,0
"6"" Sunrise Subway Melt Flatbread with Egg White",290,17,47,35,5,4,1910,40,490,5,0
"6"" Sunrise Subway Melt with Egg White",281,15,48,36,8,5,1850,40,470,5,0
"Footlong Bacon, Egg & Cheese",380,36,88,50,12,8,2620,360,900,14,0
"Footlong Bacon, Egg & Cheese Flatbread",396,42,86,50,6,8,2740,360,920,14,0
"Footlong Bacon, Egg White & Cheese",380,26,90,52,12,8,2680,40,820,8,0
"Footlong Bacon, Egg White & Cheese Flatbread",396,30,88,52,6,8,2820,40,860,10,0
"Footlong Black Forest Ham, Egg & Cheese",406,28,90,48,12,8,2300,370,800,10,0
"Footlong Black Forest Ham, Egg & Cheese Flatbread",422,32,88,46,6,8,2420,370,820,10,0
"Footlong Black Forest Ham, Egg White & Cheese",406,18,90,50,12,8,2360,50,720,5,0
"Footlong Black Forest Ham, Egg White & Cheese Flatbread",422,22,88,50,6,8,2500,50,740,5,0
