Item 1,Item 2,Item 3,Metric,Price
Double Jack,Jack's Deals Grilled Cheese Sandwich,Ultimate Cheeseburger,8.82377,11.77
Double Jack,Kids Crispy Chicken Strips,Bacon & Swiss Buttery Jack,8.82672,12.370000000000001
Bacon & Swiss Buttery Jack,Bacon & Swiss Buttery Jack,Stuffed Jalapenos (3 pc.),8.84281,12.37
Kids Hamburger,Ultimate Cheeseburger,Classic Buttery Jack,8.86416,12.77
Sourdough Jack,Sourdough Jack,Jack's Deals Jumbo Jack Cheeseburger,8.87906,12.57
Jack's Deals Chicken Nuggets (10 pc.),Sourdough Jack,Classic Buttery Jack,8.89777,12.57
Sourdough Jack,Jr. Jumbo Jack Cheeseburger,Ultimate Cheeseburger,8.90229,12.57
Jack's Deals Jumbo Jack Cheeseburger,Chicken Sandwich with Bacon,Ultimate Cheeseburger,8.90712,9.170000000000002
Double Jack,Hamburger,Double Jack,8.91803,8.469999999999999
Jack's Deals Chicken Sandwich,Double Jack,Jack's Spicy Chicken with Cheese,8.92917,8.469999999999999
Double Jack,Classic Buttery Jack,Chicken Fajita Pita made with Whole Grain without Salsa,8.94706,12.17
Ultimate Cheeseburger,Classic Buttery Jack,"Jack's Deals Tacos, Regular",8.96017,10.97
Bacon & Swiss Buttery Jack,Chicken Club Salad with Crispy Chicken,Jack's Deals Jumbo Jack Cheeseburger,8.96637,13.77
Jack's Deals Jumbo Jack Cheeseburger,Sourdough Grilled Chicken Club,Classic Buttery Jack,8.96993,12.969999999999999
Nacho Monster Taco,Ultimate Cheeseburger,Double Jack,8.9728,8.97
Ultimate Cheeseburger,Spicy Sriracha Burger,Jack's Deals Jr. Bacon Cheeseburger,8.98158,10.870000000000001
Sourdough Grilled Chicken Club,Sourdough Grilled Chicken Club,Ultimate Cheeseburger,9.00531,14.670000000000002
Double Jack,"Jack's Deals Tacos, Regular",Double Jack,9.01403,6.67
Classic Buttery Jack,Ultimate Cheeseburger,Chicken Fajita Pita made with Whole Grain with Salsa,9.05286,14.27
Ultimate Cheeseburger,Chicken Nuggets (10 pc.),Spicy Sriracha Burger,9.07592,12.47
Double Jack,Chicken Fajita Pita made with Whole Grain with Salsa,Double Jack,9.10672,9.969999999999999
Ultimate Cheeseburger,Monster Taco,Bacon & Swiss Buttery Jack,9.15026,11.07
Bacon Ranch Monster Taco,Ultimate Cheeseburger,Classic Buttery Jack,9.16567,11.170000000000002
Southwest Chicken Salad with Grilled Chicken,Chicken Nuggets (20 pc.),Sourdough Jack,9.18694,15.27
Grande Sausage Breakfast Burrito without Salsa,Fish Sandwich,"French Fries, Large",9.19065,6.97
Fish Sandwich,"French Fries, Large",Grande Sausage Breakfast Burrito with Salsa,9.19706,6.970000000000001
Double Jack,Bacon Ranch Monster Taco,Double Jack,9.21953,6.869999999999999
Bacon Cheddar Potato Wedges,Grande Sausage Breakfast Burrito without Salsa,"Seasoned Curly Fries, Small",9.30508,8.47
Monster Taco,Grande Sausage Breakfast Burrito without Salsa,Chicken Teriyaki Bowl,9.30658,9.370000000000001
Bacon Cheddar Potato Wedges,Grande Sausage Breakfast Burrito with Salsa,"Seasoned Curly Fries, Small",9.31149,8.47
Monster Taco,Grande Sausage Breakfast Burrito with Salsa,"Better for You, Chicken Teriyaki Bowl",9.31299,9.370000000000001
Bacon Ultimate Cheeseburger,Double Jack,Kids Chicken Nuggets,9.3356,9.27
Chicken Club Salad with Grilled Chicken,Jack's Deals Chicken Nuggets (20 pc.),Spicy Sriracha Burger,9.36711,15.27
Mini Pancakes,Classic Buttery Jack,Grande Sausage Breakfast Burrito without Salsa,9.39991,9.18
Classic Buttery Jack,Grande Sausage Breakfast Burrito with Salsa,Kids Mini Pancakes,9.40632,9.18
"French Fries, Large",Brunch Burger,Bacon Cheddar Potato Wedges,9.42146,7.67
