Item 1,Item 2,Item 3,Metric,Price
"Low-Fat Chicken Noodle Soup, Bread Bowl","Low-Fat Chicken Noodle Soup, Bread Bowl","Mediterranean Veggie Sandwich on Tomato Basil, Whole",6.19338,16.97
Pumpkin Muffie,"New England Clam Chowder, Bread Bowl",Sourdough Bread Bowl,6.19715,8.87
Signature Hot Chocolate,Cranberry Walnut Bagel,"Mac & Cheese, Bread Bowl",6.19793,15.370000000000001
"Bistro French Onion Soup, Bread Bowl",Whole Grain Bagel,"BBQ Chicken Flatbread, 2 Flatbreads",6.19965,11.33
"Broccoli Cheddar Soup, Bread Bowl","Modern Greek Salad with Quinoa, Half","Cream of Chicken & Wild Rice Soup, Bread Bowl",6.20446,15.169999999999998
Poppyseed Bagel,Cobblestone,"Mac & Cheese, Bread Bowl",6.209,9.73
Cinnamon Crunch Bagel,"Vegetarian Creamy Tomato Soup, Bread Bowl","Roasted Turkey, Apple & Cheddar on Cranberry Walnut Miche, Whole",6.21268,15.919999999999998
Whole Grain Farmstyle Loaf,"Bacon Mac & Cheese, Bread Bowl","Roasted Turkey & Avocado BLT on Country Rustic, Whole",6.21442,18.47
Cherry Vanilla Bagel,"Mediterranean Veggie Sandwich on Tomato Basil, Whole","Baja Mac & Cheese, Bread Bowl",6.21677,16.97
"Bistro French Onion Soup, Bread Bowl","Heritage Ham & Swiss Sandwich on Country Rustic, Half","Cream of Chicken & Wild Rice Soup, Bread Bowl",6.23098,15.27
"Mediterranean Veggie Sandwich on Tomato Basil, Whole","Tuna Salad Sandwich on Black Pepper Focaccia, Whole","Broccoli Cheddar Soup, Bread Bowl",6.23434,18.07
Everything Bagel,"New England Clam Chowder, Bread Bowl","Tuna Salad Sandwich on Black Pepper Focaccia, Whole",6.2445,12.73
Kids Turkey Sandwich on Whole Grain Bread,"Vegetarian Creamy Tomato Soup, Bread Bowl","Vegetarian Creamy Tomato Soup, Bread Bowl",6.25026,14.870000000000001
Cobblestone,"Mac & Cheese, Bread Bowl",Sesame Bagel,6.25229,9.73
"Mac & Cheese, Bread Bowl",Sprouted Grain Roll,"Roasted Turkey & Avocado BLT on Country Rustic, Whole",6.25829,15.77
Superfruit Smoothie with Greek yogurt,"Bistro French Onion Soup, Bread Bowl","Steak & White Cheddar Panini on Artisan Ciabatta, Whole",6.27394,18.369999999999997
"Bistro French Onion Soup, Bread Bowl","Fuji Apple Salad with Chicken, Half","Bistro French Onion Soup, Bread Bowl",6.28086,16.57
Blueberry Bagel,"Vegetarian Creamy Tomato Soup, Bread Bowl",Kitchen Sink Cookie,6.28118,9.120000000000001
Signature Hot Chocolate,Soba Noodle Bowl with Edamame Blend,"Mac & Cheese, Bread Bowl",6.28328,21.369999999999997
"Roasted Turkey, Apple & Cheddar on Cranberry Walnut Miche, Whole",French Baguette,"Mac & Cheese, Bread Bowl",6.28576,18.27
"Tuna Salad Sandwich on Black Pepper Focaccia, Whole","New England Clam Chowder, Bread Bowl",Poppyseed Bagel,6.28779,12.73
Steel Cut Oatmeal with Strawberries & Pecans,"Bacon Mac & Cheese, Bread Bowl","Mediterranean Veggie Sandwich on Tomato Basil, Whole",6.2918,16.57
"Bistro French Onion Soup, Bread Bowl","Baked Potato Soup, Bread Bowl","Steak & Arugula on Sourdough, Half",6.29228,17.17
"Bacon Mac & Cheese, Bread Bowl",Blueberry Bagel,"The Italian on Artisan Ciabatta, Half",6.29843,13.32
"New England Clam Chowder, Bread Bowl",Whole Grain Farmstyle Loaf,"The Italian on Artisan Ciabatta, Whole",6.30821,17.27
"The Italian on Artisan Ciabatta, Whole","Low-Fat Chicken Noodle Soup, Bread Bowl",French Toast Bagel,6.31292,14.919999999999998
"Bacon Turkey Bravo Sandwich on Tomato Basil, Whole",French Baguette,"Bacon Mac & Cheese, Bread Bowl",6.31453,16.67
"Bacon Mac & Cheese, Bread Bowl",Signature Hot Chocolate,Vegan Lentil Quinoa Broth Bowl,6.3194,21.869999999999997
Double Fudge Brownie,Blueberry Bagel,"Mac & Cheese, Bread Bowl",6.3234,9.82
"Tuna Salad Sandwich on Black Pepper Focaccia, Whole","New England Clam Chowder, Bread Bowl",Sesame Bagel,6.33108,12.73
"Broccoli Cheddar Soup, Bread Bowl",Everything Bagel,Kitchen Sink Cookie,6.3314,8.83
Kids Peanut Butter & Jelly on Whole Grain Bread,Cinnamon Crunch Bagel,"Baja Mac & Cheese, Bread Bowl",6.34439,11.620000000000001
"Low-Fat Chicken Noodle Soup, Bread Bowl","Baked Potato Soup, Bread Bowl","Tuna Salad Sandwich on Black Pepper Focaccia, Half",6.34622,13.67
"Bacon Turkey Bravo Sandwich on Tomato Basil, Whole",Sourdough Loaf,"BBQ Chicken Mac & Cheese, Bread Bowl",6.35366,17.270000000000003
"Turkey Sandwich on Whole Grain, Whole","Frontega Chicken Panini on Sea Salt Focaccia, Whole",Sourdough Bread Bowl,6.35777,10.67
French Baguette,"Napa Almond Chicken Salad Sandwich on Country Rustic, Whole","Bacon Mac & Cheese, Bread Bowl",6.35864,16.17
Kids Grilled Cheese on Classic White Bread,Cinnamon Swirl & Raisin Bagel,"BBQ Chicken Mac & Cheese, Bread Bowl",6.36411,11.620000000000001
"The Italian on Artisan Ciabatta, Half","BBQ Chicken Mac & Cheese, Bread Bowl",Whole Grain Bagel,6.36971,13.030000000000001
Kitchen Sink Cookie,Poppyseed Bagel,"Broccoli Cheddar Soup, Bread Bowl",6.37469,8.83
"Broccoli Cheddar Soup, Bread Bowl","Low-Fat Chicken Noodle Soup, Bread Bowl",Triple Chocolate Cookie with Walnuts,6.37979,13.27
"Cream of Chicken & Wild Rice Soup, Bread Bowl","Spicy Thai Salad with Chicken, Half","Broccoli Cheddar Soup, Bread Bowl",6.38228,16.27
Sourdough Bread Bowl,Kids Mac & Cheese,"Bistro French Onion Soup, Bread Bowl",6.38594,15.27
"Low-Fat Chicken Noodle Soup, Bread Bowl","Roasted Turkey, Apple & Cheddar on Cranberry Walnut Miche, Half","Bistro French Onion Soup, Bread Bowl",6.38598,17.169999999999998
"Bacon Mac & Cheese, Bread Bowl",Kids Grilled Cheese on Classic White Bread,Whole Grain Bagel,6.38858,11.330000000000002
Mango Smoothie,"The Italian on Artisan Ciabatta, Whole","Cream of Chicken & Wild Rice Soup, Bread Bowl",6.38916,17.869999999999997
"Turkey Sandwich on Whole Grain, Half","The Italian on Artisan Ciabatta, Whole","Bistro French Onion Soup, Bread Bowl",6.38918,14.57
"Southwest Chile Lime Ranch Salad with Chicken, Whole","Broccoli Cheddar Soup, Bread Bowl",Cinnamon Crunch Bagel,6.39717,11.620000000000001
"Broccoli Cheddar Soup, Bread Bowl","BBQ Chicken Flatbread, 2 Flatbreads",Plain Bagel,6.39753,11.330000000000002
"BBQ Chicken Mac & Cheese, Bread Bowl","Napa Almond Chicken Salad Sandwich on Country Rustic, Whole",Sourdough Loaf,6.39778,16.77
Everything Bagel,"BBQ Chicken Flatbread, 2 Flatbreads","Baked Potato Soup, Bread Bowl",6.39807,11.33
"New England Clam Chowder, Bread Bowl",Sprouted Whole Grain Roll,"Frontega Chicken Panini on Sea Salt Focaccia, Whole",6.40215,13.97
"Mac & Cheese, Bread Bowl",Whole Grain Bagel,"Modern Greek Salad with Quinoa, Whole",6.40444,13.129999999999999
Sourdough Bread Bowl,"Mac & Cheese, Large",Chocolate Chip Bagel,6.40483,11.32
Plain Bagel,"Baja Mac & Cheese, Bread Bowl",Signature Hot Chocolate,6.40791,14.23
"Modern Greek Salad with Quinoa, Whole",Sprouted Grain Bagel Flat,"BBQ Chicken Mac & Cheese, Bread Bowl",6.408,13.129999999999999
"Cream of Chicken & Wild Rice Soup, Bread Bowl","Broccoli Cheddar Soup, Bread Bowl",Kids Ham Sandwich on Whole Grain Bread,6.41325,14.870000000000001
"Low-Fat Chicken Noodle Soup, Bread Bowl","Frontega Chicken Panini on Sea Salt Focaccia, Whole",Cinnamon Crunch Bagel,6.41441,14.32
"Broccoli Cheddar Soup, Bread Bowl",Kitchen Sink Cookie,Sesame Bagel,6.41798,8.83
Pumpkin Muffin,"New England Clam Chowder, Bread Bowl",Chocolate Chip Bagel,6.41999,8.82
"The Italian on Artisan Ciabatta, Whole","Low-Fat Chicken Noodle Soup, Bread Bowl",Cranberry Walnut Bagel,6.42325,15.769999999999998
"BBQ Chicken Flatbread, 2 Flatbreads",Whole Grain Bagel,"Vegetarian Creamy Tomato Soup, Bread Bowl",6.42445,11.33
"Low-Fat Chicken Noodle Soup, Bread Bowl","Steak & White Cheddar Panini on Artisan Ciabatta, Whole",Jalapeno Cheddar Bagel,6.43039,20.27
"Avocado, Egg White & Spinach on Sprouted Grain Bagel Flat",Kids Peanut Butter & Jelly on Whole Grain Bread,"Bacon Mac & Cheese, Bread Bowl",6.43323,11.33
Kids Peanut Butter & Jelly on Whole Grain Bread,"Cream of Chicken & Wild Rice Soup, Bread Bowl","Frontega Chicken Panini on Sea Salt Focaccia, Whole",6.43353,17.27
"BBQ Chicken Flatbread, 2 Flatbreads","Baked Potato Soup, Bread Bowl",Poppyseed Bagel,6.44136,11.330000000000002
"Steel Cut Oatmeal with Almonds, Quinoa & Honey","Mac & Cheese, Bread Bowl",Cobblestone,6.44305,12.87
"Steak & White Cheddar Panini on Artisan Ciabatta, Half","Bacon Mac & Cheese, Bread Bowl",Cinnamon Swirl & Raisin Bagel,6.44759,13.52
"Mac & Cheese, Bread Bowl",Whole Grain Bagel,Frozen Mocha,6.44838,11.83
"The Italian on Artisan Ciabatta, Whole",Superfruit Smoothie with Greek yogurt,"Broccoli Cheddar Soup, Bread Bowl",6.44864,17.869999999999997
Pumpkin Muffin,Cobblestone,"Bistro French Onion Soup, Bread Bowl",6.45162,10.17
Sprouted Grain Bagel Flat,"BBQ Chicken Mac & Cheese, Bread Bowl",Frozen Mocha,6.45195,11.83
"Cream of Chicken & Wild Rice Soup, Bread Bowl","Heritage Ham & Swiss Sandwich on Country Rustic, Half","Vegetarian Creamy Tomato Soup, Bread Bowl",6.45578,15.27
"Cream of Chicken & Wild Rice Soup, Bread Bowl",French Toast Bagel,"BBQ Chicken Flatbread, 2 Flatbreads",6.45728,11.620000000000001
"Bistro French Onion Soup, Bread Bowl","Vegetarian Creamy Tomato Soup, Bowl","Bistro French Onion Soup, Bread Bowl",6.45742,15.870000000000001
"Four Cheese Grilled Cheese on Country Rustic, Whole",French Baguette,"Bacon Mac & Cheese, Bread Bowl",6.45828,15.37
"Baked Potato Soup, Bread Bowl",Jalapeno Cheddar Bagel,Kitchen Sink Cookie,6.46021,13.97
Cherry Vanilla Bagel,"Cream of Chicken & Wild Rice Soup, Bread Bowl",Kitchen Sink Cookie,6.46227,12.37
Blueberry Bagel,"Baked Potato Soup, Bread Bowl","Chipotle Chicken Avocado Melt on Black Pepper Focaccia, Whole",6.46988,15.419999999999998
"Low-Fat Chicken Noodle Soup, Bread Bowl","Baja Mac & Cheese, Large",Black Pepper Focaccia Loaf,6.48211,16.37
"BBQ Chicken Mac & Cheese, Bread Bowl",Jalapeno Cheddar Bagel,"Steak & White Cheddar Panini on Artisan Ciabatta, Half",6.48346,18.37
"Baked Potato Soup, Bread Bowl",Sesame Bagel,"BBQ Chicken Flatbread, 2 Flatbreads",6.48465,11.33
"Broccoli Cheddar Soup, Bread Bowl",Cinnamon Crunch Bagel,Cinnamon Roll,6.48607,9.42
Sourdough Loaf,"Baja Mac & Cheese, Bread Bowl","Tuna Salad Sandwich on Black Pepper Focaccia, Whole",6.48807,15.969999999999999
"Low-Fat Chicken Noodle Soup, Bread Bowl",Cinnamon Crunch Scone,Sourdough Bread Bowl,6.48988,9.87
French Toast Bagel,"Spicy Thai Salad with Chicken, Whole","Mac & Cheese, Bread Bowl",6.49368,15.120000000000001
"Four Cheese Grilled Cheese on Country Rustic, Whole",Sourdough Loaf,"BBQ Chicken Mac & Cheese, Bread Bowl",6.49741,15.97
