Item 1,Item 2,Item 3,Metric,Price
Apple Turnover,Gyro Loaded Curly Fries,"Jamocha Handcrafted Shake, Medium",7.43989,6.17
Grand Turkey Club Sandwich,"Ultimate Chocolate Shake, Large","Curly Fries, Medium",7.44172,9.47
"Vanilla Handcrafted Shake, Medium",Steakhouse Onion Rings (5),"Jamocha Handcrafted Shake, Large",7.45293,6.2700000000000005
Sausage Gravy Biscuit,"Ultimate Chocolate Shake, Small","Sausage Gravy Biscuit, Double",7.45498,13.17
Roast Turkey Ranch & Bacon Sandwich,"Ultimate Chocolate Shake, Medium",Mozzarella Sticks (4),7.46093,10.77
"Sausage Gravy Biscuit, Double",Double Beef 'n Cheddar Sandwich,Arby-Q,7.46628,18.27
"Jamocha Handcrafted Shake, Large",Sausage Biscuit,"Curly Fries, Medium",7.46667,9.57
Ham Biscuit,Roast Turkey & Swiss Sandwich,"Orange Cream Shake, Large",7.46677,8.77
Buffalo Chicken Slider,"Ultimate Chocolate Shake, Medium","Orange Cream Shake, Large",7.47445,6.17
"Orange Cream Shake, Large","Ultimate Chocolate Shake, Medium",Chicken Tender 'n Cheese Slider,7.47684,6.17
"Orange Cream Shake, Medium",Roast Turkey & Swiss Sandwich,"Jamocha Handcrafted Shake, Small",7.47802,8.57
Chicken Biscuit,Fire-Roasted Philly Sandwich,"Sausage Gravy Biscuit, Double",7.47884,12.07
Gyro Loaded Curly Fries,"Ultimate Chocolate Shake, Medium",Steakhouse Onion Rings (5),7.48692,6.97
Buttermilk Chicken Bacon & Swiss Sandwich,"Ultimate Chocolate Shake, Large",Potato Cakes (3),7.48761,9.57
"Homestyle Fries, Large",Chopped Farmhouse Salad with Crispy Chicken,"Ultimate Chocolate Shake, Large",7.48837,10.17
Roast Turkey & Swiss Sandwich,"Jamocha Handcrafted Shake, Large",Ham Biscuit,7.49411,8.57
Salted Caramel & Chocolate Cookie,"Sausage Gravy Biscuit, Double",Prime-Cut Chicken Tenders (5),7.4967,13.77
"Ultimate Chocolate Shake, Large",Arby-Q,"Vanilla Handcrafted Shake, Medium",7.49708,12.67
"Ultimate Chocolate Shake, Medium",Buffalo Chicken Slider,"Jamocha Handcrafted Shake, Large",7.50179,5.970000000000001
"Ultimate Chocolate Shake, Medium",Chicken Tender 'n Cheese Slider,"Jamocha Handcrafted Shake, Large",7.50418,5.970000000000001
Bourbon BBQ Brisket Sandwich,"Curly Fries, Medium",Roast Turkey Ranch & Bacon Sandwich,7.505,12.27
Buttermilk Buffalo Chicken Sandwich,"Sausage Gravy Biscuit, Double",Sausage Gravy Biscuit,7.50552,16.47
Roast Turkey & Swiss Sandwich,Half Pound Beef 'n Cheddar Sandwich,"Curly Fries, Medium",7.50636,11.97
Bourbon BBQ Brisket Sandwich,"Homestyle Fries, Large","Orange Cream Shake, Medium",7.50835,9.17
"Homestyle Fries, Small","Sausage Gravy Biscuit, Double",Loaded Italian,7.50926,8.27
"Jamocha Handcrafted Shake, Medium",Roast Turkey & Swiss Sandwich,"Jamocha Handcrafted Shake, Small",7.51265,8.370000000000001
Fire-Roasted Philly Sandwich,"Homestyle Fries, Large","Ultimate Chocolate Shake, Medium",7.51388,9.67
Bourbon BBQ Chicken Sandwich,"Vanilla Handcrafted Shake, Large",Potato Cakes (4),7.51503,9.67
"Curly Fries, Small","Ultimate Chocolate Shake, Large",Roast Turkey Ranch & Bacon Wrap,7.51712,9.969999999999999
Roast Turkey Ranch & Bacon Sandwich,"Ultimate Chocolate Shake, Large",Kids Ham 'n Cheese Slider,7.52145,9.770000000000001
Classic Beef 'n Cheddar Sandwich,Roast Turkey Ranch & Bacon Sandwich,"Orange Cream Shake, Medium",7.5215,11.270000000000001
Loaded Curly Fries,Bourbon BBQ Triple Stack Sandwich,Cherry Turnover,7.52357,9.37
"Vanilla Handcrafted Shake, Large","Orange Cream Shake, Small","Curly Fries, Large",7.52582,6.07
Buttermilk Crispy Chicken Sandwich,"Sausage Gravy Biscuit, Double",Turkey Gyro,7.529,14.07
Turkey Gyro,"Vanilla Handcrafted Shake, Large",Roast Turkey & Swiss Sandwich,7.53162,11.67
Roast Beef Gyro,"Sausage Gravy Biscuit, Double",Sausage Gravy Biscuit,7.5381,12.77
Bourbon BBQ Chicken Sandwich,Bacon Biscuit,"Ultimate Chocolate Shake, Large",7.54183,12.87
Roast Turkey Ranch & Bacon Sandwich,Super Roast Beef,"Ultimate Chocolate Shake, Medium",7.54298,9.370000000000001
Bourbon BBQ Steak Sandwich,Roast Turkey & Swiss Sandwich,"Orange Cream Shake, Medium",7.54696,11.97
"Orange Cream Shake, Large","Vanilla Handcrafted Shake, Snack",Roast Turkey Ranch & Bacon Sandwich,7.54769,8.67
Roast Turkey Ranch & Bacon Sandwich,Super Greek Salad,"Homestyle Fries, Medium",7.55594,8.97
Roast Turkey Ranch & Bacon Sandwich,"Jamocha Handcrafted Shake, Medium",Classic Beef 'n Cheddar Sandwich,7.55613,11.07
"Ultimate Chocolate Shake, Small",Roast Turkey Ranch & Bacon Sandwich,Mozzarella Sticks (6),7.56147,11.97
Traditional Greek Gyro,"Homestyle Fries, Large",Bourbon BBQ Chicken Sandwich,7.56339,9.07
Bourbon BBQ Chicken Sandwich,Potato Cakes (4),Gyro Loaded Curly Fries,7.56371,9.67
"Orange Cream Shake, Large",Steakhouse Onion Rings (5),Double Beef 'n Cheddar Sandwich,7.56385,9.47
Roast Turkey Ranch & Bacon Sandwich,Prime-Cut Chicken Tenders (5),Prime-Cut Chicken Tenders (5),7.56425,15.670000000000002
"Orange Cream Shake, Small",Roast Turkey & Swiss Sandwich,"Ultimate Chocolate Shake, Medium",7.56654,9.17
Loaded Curly Fries,Buttermilk Chicken Cordon Bleu Sandwich,"Homestyle Fries, Large",7.56821,8.969999999999999
"Orange Cream Shake, Small","Curly Fries, Large",Gyro Loaded Curly Fries,7.57449,6.07
Roast Turkey Ranch & Bacon Sandwich,"Vanilla Handcrafted Shake, Snack","Jamocha Handcrafted Shake, Large",7.57503,8.47
"Orange Cream Shake, Large",Chicken Biscuit,Buttermilk Chicken Bacon & Swiss Sandwich,7.5755,8.27
Gyro Loaded Curly Fries,Turkey Gyro,Roast Turkey & Swiss Sandwich,7.5803,11.67
"Homestyle Fries, Large",Smokehouse Brisket,Roast Turkey Ranch & Bacon Sandwich,7.5807,13.07
Roast Turkey & Swiss Sandwich,Bourbon BBQ Steak Sandwich,"Jamocha Handcrafted Shake, Medium",7.5816,11.77
"Curly Fries, Medium",Half Pound French Dip & Swiss/Au Jus Sandwich,Roast Turkey & Swiss Sandwich,7.58218,11.47
Apple Turnover,"Sausage Gravy Biscuit, Double",Smokehouse Brisket,7.58784,13.37
Double Beef 'n Cheddar Sandwich,Steakhouse Onion Rings (5),"Jamocha Handcrafted Shake, Large",7.59119,9.27
Loaded Curly Fries,"Ultimate Chocolate Shake, Large",Arby's Melt,7.59144,6.77
Bourbon BBQ Triple Stack Sandwich,Mozzarella Sticks (4),"Curly Fries, Large",7.6006,10.17
Buttermilk Chicken Cordon Bleu Sandwich,"Orange Cream Shake, Large","Homestyle Fries, Small",7.6013,8.469999999999999
Buttermilk Chicken Bacon & Swiss Sandwich,Chicken Biscuit,"Jamocha Handcrafted Shake, Large",7.60284,8.07
Ham Biscuit,Bourbon BBQ Chicken Sandwich,"Sausage Gravy Biscuit, Double",7.6101,12.469999999999999
Mozzarella Sticks (6),Buttermilk Buffalo Chicken Sandwich,Roast Turkey Ranch & Bacon Sandwich,7.612,15.27
"Curly Fries, Medium","Orange Cream Shake, Medium",Buttermilk Chicken Cordon Bleu Sandwich,7.6145,8.57
"Orange Cream Shake, Large","Curly Fries, Small",Fire-Roasted Philly Sandwich,7.61639,8.870000000000001
Bourbon BBQ Chicken Sandwich,Prime-Cut Chicken Tenders (5),Roast Turkey & Swiss Sandwich,7.61831,15.47
"Ultimate Chocolate Shake, Large","Ultimate Chocolate Shake, Small",Sausage Gravy Biscuit,7.62404,10.57
Sausage Gravy Biscuit,"Ultimate Chocolate Shake, Medium","Ultimate Chocolate Shake, Medium",7.62638,10.57
"Homestyle Fries, Small","Jamocha Handcrafted Shake, Large",Buttermilk Chicken Cordon Bleu Sandwich,7.62864,8.27
"Ultimate Chocolate Shake, Large",Arby-Q,Double Beef 'n Cheddar Sandwich,7.63533,15.67
"Curly Fries, Medium","Vanilla Handcrafted Shake, Medium","Vanilla Handcrafted Shake, Large",7.63538,6.17
"Orange Cream Shake, Medium",Mozzarella Sticks (6),Prime-Cut Chicken Tenders (5),7.63553,11.870000000000001
"Sausage Gravy Biscuit, Double",Half Pound Roast Beef Sandwich,Steakhouse Onion Rings (5),7.63745,9.370000000000001
Bourbon BBQ Triple Stack Sandwich,Prime-Cut Chicken Tenders (5),Potato Cakes (4),7.64136,12.37
"Curly Fries, Small","Jamocha Handcrafted Shake, Large",Fire-Roasted Philly Sandwich,7.64373,8.67
"Orange Cream Shake, Medium",Classic French Dip & Swiss/Au Jus Sandwich,Roast Turkey & Swiss Sandwich,7.64445,11.47
Roast Beef Gyro,Roast Turkey Ranch & Bacon Sandwich,Mozzarella Sticks (6),7.64459,11.57
"Orange Cream Shake, Large",Potato Cakes (3),Loaded Italian,7.6478,5.17
Chicken Biscuit,"Ultimate Chocolate Shake, Large",Fire-Roasted Philly Sandwich,7.6479,9.47
"Jamocha Handcrafted Shake, Medium",Buttermilk Chicken Cordon Bleu Sandwich,"Curly Fries, Medium",7.64913,8.37
"Curly Fries, Large",Mozzarella Sticks (6),Buttermilk Chicken Cordon Bleu Sandwich,7.65169,11.47
"Orange Cream Shake, Medium",Roast Turkey Ranch & Bacon Sandwich,Triple Chocolate Cookie,7.65329,8.67
Arby-Q,"Orange Cream Shake, Large",Bourbon BBQ Brisket Sandwich,7.65393,14.870000000000001
Roast Turkey Ranch & Bacon Sandwich,"Curly Fries, Medium",Three Cheese Steak Sandwich,7.65565,12.870000000000001
Mozzarella Sticks (6),Loaded Curly Fries,Mozzarella Sticks (6),7.65718,11.57
"Orange Cream Shake, Medium","Homestyle Fries, Large",Three Cheese Steak Sandwich,7.659,9.77
"Ultimate Chocolate Shake, Large",Salted Caramel & Chocolate Cookie,Prime-Cut Chicken Tenders (5),7.66575,11.170000000000002
"Ultimate Chocolate Shake, Snack",Traditional Greek Gyro,"Sausage Gravy Biscuit, Double",7.66904,8.469999999999999
Mozzarella Sticks (6),"Jamocha Handcrafted Shake, Medium",Prime-Cut Chicken Tenders (5),7.67017,11.670000000000002
Buttermilk Buffalo Chicken Sandwich,"Ultimate Chocolate Shake, Large",Sausage Gravy Biscuit,7.67457,13.870000000000001
Potato Cakes (3),Loaded Italian,"Jamocha Handcrafted Shake, Large",7.67514,4.97
Bourbon BBQ Chicken Sandwich,Buttermilk Chicken Bacon & Swiss Sandwich,"Curly Fries, Large",7.67639,12.069999999999999
"Homestyle Fries, Small",Loaded Italian,"Ultimate Chocolate Shake, Large",7.67831,5.67
Roast Turkey & Swiss Sandwich,Classic French Dip & Swiss/Au Jus Sandwich,"Jamocha Handcrafted Shake, Medium",7.67908,11.27
Arby-Q,Bourbon BBQ Brisket Sandwich,"Jamocha Handcrafted Shake, Large",7.68127,14.67
Bourbon BBQ Triple Stack Sandwich,"Curly Fries, Large",Super Roast Beef,7.68265,8.77
Traditional Greek Gyro,Bacon Biscuit,"Orange Cream Shake, Large",7.68331,8.37
Prime-Cut Chicken Tenders (5),"Orange Cream Shake, Large",Classic Beef 'n Cheddar Sandwich,7.68378,11.370000000000001
Gyro Loaded Curly Fries,"Vanilla Handcrafted Shake, Medium","Curly Fries, Medium",7.68405,6.17
Roast Turkey & Swiss Wrap,Reuben,Roast Turkey Ranch & Bacon Sandwich,7.68715,15.27
Triple Chocolate Cookie,"Jamocha Handcrafted Shake, Medium",Roast Turkey Ranch & Bacon Sandwich,7.68792,8.469999999999999
Loaded Curly Fries,"Curly Fries, Large",Bourbon BBQ Brisket Sandwich,7.69008,9.370000000000001
"Curly Fries, Medium",Bourbon BBQ Triple Stack Sandwich,"Jamocha Handcrafted Shake, Small",7.69181,8.57
"Homestyle Fries, Large","Jamocha Handcrafted Shake, Medium",Three Cheese Steak Sandwich,7.69363,9.57
Reuben,Super Greek Salad,"Homestyle Fries, Large",7.69527,8.87
Buttermilk Crispy Chicken Sandwich,Turkey Gyro,"Ultimate Chocolate Shake, Large",7.69806,11.47
Sausage Gravy Biscuit,"Ultimate Chocolate Shake, Large",Roast Beef Gyro,7.70716,10.17
Buffalo Chicken Slider,"Sausage Gravy Biscuit, Double",Half Pound Beef 'n Cheddar Sandwich,7.70915,12.07
Loaded Curly Fries,"Orange Cream Shake, Medium","Ultimate Chocolate Shake, Small",7.70936,6.17
Traditional Greek Gyro,"Jamocha Handcrafted Shake, Large",Bacon Biscuit,7.71065,8.17
"Ultimate Chocolate Shake, Small","Sausage Gravy Biscuit, Double",Grand Turkey Club Sandwich,7.71076,12.07
"Jamocha Handcrafted Shake, Large",Prime-Cut Chicken Tenders (5),Classic Beef 'n Cheddar Sandwich,7.71112,11.170000000000002
"Sausage Gravy Biscuit, Double",Half Pound Beef 'n Cheddar Sandwich,Chicken Tender 'n Cheese Slider,7.71154,12.07
"Vanilla Handcrafted Shake, Large","Homestyle Fries, Medium",Buttermilk Chicken Cordon Bleu Sandwich,7.72396,8.77
Roast Turkey Ranch & Bacon Sandwich,Bourbon BBQ Triple Stack Sandwich,Buffalo Chicken Slider,7.72927,11.770000000000001
Reuben,Bourbon BBQ Triple Stack Sandwich,"Curly Fries, Small",7.73035,11.67
Roast Turkey Ranch & Bacon Sandwich,Chicken Tender 'n Cheese Slider,Bourbon BBQ Triple Stack Sandwich,7.73166,11.77
Loaded Curly Fries,Prime-Cut Chicken Tenders (5),Loaded Curly Fries,7.73379,9.57
"Sausage Gravy Biscuit, Double","Orange Cream Shake, Small",Sausage Biscuit,7.73421,12.87
Loaded Curly Fries,"Ultimate Chocolate Shake, Medium","Jamocha Handcrafted Shake, Small",7.73723,6.27
Loaded Curly Fries,Sausage Biscuit,Roast Turkey Ranch & Bacon Sandwich,7.73957,13.07
"Jamocha Handcrafted Shake, Medium",Loaded Curly Fries,"Ultimate Chocolate Shake, Small",7.74399,5.97
"Vanilla Handcrafted Shake, Small",Roast Turkey Ranch & Bacon Sandwich,"Orange Cream Shake, Medium",7.74834,8.97
Bourbon BBQ Triple Stack Sandwich,Chicken Biscuit,Loaded Curly Fries,7.75401,8.67
Smokehouse Brisket,Apple Turnover,"Ultimate Chocolate Shake, Large",7.7569,10.77
Buttermilk Buffalo Chicken Sandwich,Loaded Curly Fries,"Orange Cream Shake, Medium",7.75989,9.47
Bourbon BBQ Steak Sandwich,Bourbon BBQ Triple Stack Sandwich,"Curly Fries, Medium",7.76076,11.97
Buttermilk Buffalo Chicken Sandwich,"Sausage Gravy Biscuit, Double",Grand Turkey Club Sandwich,7.76129,15.37
Half Pound Beef 'n Cheddar Sandwich,Bourbon BBQ Triple Stack Sandwich,French Toast Sticks,7.76394,14.47
"Sausage Gravy Biscuit, Double",Buttermilk Chicken Cordon Bleu Sandwich,Arby's Melt,7.76562,11.77
"Homestyle Fries, Medium",Gyro Loaded Curly Fries,Buttermilk Chicken Cordon Bleu Sandwich,7.77263,8.77
Loaded Curly Fries,Sausage Gravy Biscuit,"Vanilla Handcrafted Shake, Large",7.77341,9.969999999999999
"Curly Fries, Medium",Double Beef 'n Cheddar Sandwich,"Vanilla Handcrafted Shake, Large",7.77363,9.17
"Ultimate Chocolate Shake, Large",Ham Biscuit,Bourbon BBQ Chicken Sandwich,7.77916,9.870000000000001
"Vanilla Handcrafted Shake, Small",Roast Turkey Ranch & Bacon Sandwich,"Jamocha Handcrafted Shake, Medium",7.78297,8.77
Half Pound French Dip & Swiss/Au Jus Sandwich,"Sausage Gravy Biscuit, Double",Buffalo Chicken Slider,7.78496,11.57
