Item 1,Item 2,Item 3,Metric,Price
Beer-Battered Cod Fish Sandwich,"Natural-Cut Fries, Kids",The 1/2 lb. Guacamole Bacon Thickburger,7.6056,12.27
Teriyaki Burger,"Hash Brown Nuggets, Large","Taco Salad, Steak",7.60575,11.870000000000001
Bean & Cheese Burrito,"Hash Brown Nuggets, Small",The 1/2 lb. Guacamole Bacon Thickburger,7.61098,11.27
The 1/2 lb. Western Bacon Thickburger,Bean & Cheese Burrito,"Beef, Bean & Cheese Burrito",7.61374,12.870000000000001
"Super Nachos, Steak",Vanilla Malt,"Natural-Cut Fries, Small",7.61499,6.7700000000000005
Bean & Cheese Burrito,The 1/3 lb. Original Six Dollar Thickburger,Western Bacon Cheeseburger,7.61603,14.469999999999999
Guacamole Turkey Burger,"Super Nachos, Ground Beef",Beer-Battered Cod Fish Sandwich,7.62481,14.97
"Burrito Mexicano, Steak",The 1/2 lb. Guacamole Bacon Thickburger,Side of Beans,7.62904,11.069999999999999
"Super Nachos, Steak","Natural-Cut Fries, Small",Strawberry Malt,7.63141,6.77
"Hash Brown Nuggets, Large",The 1/2 lb. Western Bacon Thickburger,"Hash Brown Nuggets, Small",7.63525,9.67
Chocolate Malt,"Natural-Cut Fries, Small","Super Nachos, Steak",7.64007,5.970000000000001
"Quesadilla, Steak","Natural-Cut Fries, Large","Super Nachos, Chicken",7.64192,7.47
The 1/2 lb. Jalapeno Thickburger,Biscuit 'N' Gravy (outside California),Bean & Cheese Burrito,7.64312,13.27
Big Chicken Fillet Sandwich,The 1/3 lb. Western Bacon Thickburger,Biscuit 'N' Gravy (California only),7.65242,14.07
The 1/3 lb. Western Bacon Thickburger,Made From Scratch Biscuit (outside California),The 1/3 lb. Original Six Dollar Thickburger,7.65395,14.870000000000001
Big Chicken Fillet Sandwich,Double Western Bacon Cheeseburger,Fried Zucchini,7.66241,12.370000000000001
"Super Nachos, Ground Beef","Burrito California, Steak",Beer-Battered Cod Fish Sandwich,7.6636,7.23
Single All-Natural Burger,The 1/3 lb. Guacamole Bacon Thickburger,Side of Beans,7.66906,11.97
"Taco Salad, Chicken",Biscuit 'N' Gravy (outside California),"Taco Salad, Chicken",7.67292,7.97
"Taco Salad, Chicken","Natural-Cut Fries, Kids",Double Western Bacon Cheeseburger,7.67303,6.37
Big Chicken Fillet Sandwich,The 1/3 lb. Western Bacon Thickburger,CrissCut Fries,7.67435,12.069999999999999
Made From Scratch Biscuit (California only),The 1/2 lb. Western Bacon Thickburger,"Chicken Taquitos, 5 Pieces",7.67477,15.270000000000001
"Super Nachos, Steak",Beer-Battered Cod Fish Sandwich,"Quesadilla, Cheese",7.67786,8.97
