Item 1,Item 2,Item 3,Metric,Price
Artisan Flatbread,Footlong Falafel,Cinnamon Rolls,5.77885,15.0
Footlong Tuna,Footlong Meatball Marinara,Egg White Patty,5.78175,17.5
Footlong Turkey & Bacon Guacamole,Habanero Wrap,"Footlong Bacon, Egg White & Cheese",5.78183,12.1
Egg White Patty,Footlong Breakfast B.M.T with Egg White,Footlong Mediterranean Chicken,5.7822,16.25
Footlong Veggie Delite,"Footlong Steak, Egg White & Cheese",Footlong Sweet Onion Chicken Teriyaki,5.78379,17.0
"Footlong Black Forest Ham, Egg White & Cheese",Footlong Turkey Breast,"Footlong Black Forest Ham, Egg White & Cheese",5.7874,13.0
Footlong Subway Seafood SensationTM,"6"" B.L.T.",Footlong Veggie Patty,5.78892,18.0
Footlong Sunrise Subway Melt with Egg White,Footlong Caesar Chicken Melt with Chicken Strips,Egg White Patty,5.78898,19.5
"Footlong Black Forest Ham, Egg White & Cheese",Footlong Sunrise Subway Melt Flatbread with Egg White,Spinach Wrap,5.78977,13.0
Footlong Egg White & Cheese Flatbread,Italian White Bread,Footlong Mega Melt Flatbread with Egg White,5.79091,13.0
"Footlong Sausage, Egg White & Cheese Flatbread",Egg White Patty,Footlong Tuna,5.79131,15.0
Footlong Turkey & Bacon Avocado,"Footlong Bacon, Egg White & Cheese Flatbread",Spinach Wrap,5.79327,17.0
"6"" Steak, Egg White & Cheese",Footlong Sunrise Subway Melt with Egg White,Footlong Egg White & Cheese,5.79712,16.75
"6"" Chicken Parmesan","Footlong Black Forest Ham, Egg White & Cheese Flatbread",Footlong Veggie Patty,5.79725,17.0
Chicken Enchilada,"Footlong Sausage, Egg White & Cheese","Footlong Sausage, Egg White & Cheese",5.79738,16.75
Footlong Egg White & Cheese Flatbread,Footlong Veggie Delite,Sausage Pizza,5.79777,12.0
Egg White Patty,Footlong Corned Beef Reuben,Footlong Breakfast B.M.T with Egg White,5.80287,16.25
Footlong Egg White & Cheese,Chicken Enchilada,Footlong Chicken & Bacon Ranch Melt,5.8046,16.75
"6"" Bacon, Egg White & Cheese Flatbread","6"" Bacon, Egg White & Cheese",Footlong Falafel,5.80761,12.5
Bagel,Footlong Falafel,"6"" Mega Melt with Egg White",5.80817,11.85
Footlong Subway Melt,"6"" Steak, Egg White & Cheese",Footlong Veggie Patty,5.8087,18.0
"Footlong Steak, Egg White & Cheese Flatbread",Egg White Patty,Footlong Italian Hero,5.80871,15.5
"Footlong Sausage, Egg White & Cheese",Egg White Patty,Footlong Mediterranean Chicken,5.80909,18.0
Footlong Veggie Patty,"6"" Applewood Pulled Pork","Footlong Steak, Egg White & Cheese",5.80924,13.5
Footlong Veggie Delite,Cheese Pizza,"Footlong Steak, Egg White & Cheese Flatbread",5.80955,12.0
Footlong Malibu Garden Vegan Patty,Footlong Breakfast B.M.T with Egg White,Spinach Wrap,5.81009,16.25
"Footlong Black Forest Ham, Egg White & Cheese",Tomato Basil Wrap,Footlong Sunrise Subway Melt Flatbread with Egg White,5.81199,9.5
"Footlong Steak, Egg White & Cheese",Footlong Veggie Delite,Footlong Orchard Chicken Salad,5.81233,18.5
"6"" Falafel",Footlong Chicken Parmesan,Footlong Veggie Delite,5.81341,18.5
Footlong Veggie Patty,Footlong Cubano,Spinach Wrap,5.81486,17.5
Tomato Basil Wrap,Footlong Turkey & Bacon Avocado,"Footlong Bacon, Egg White & Cheese Flatbread",5.81549,13.5
Footlong B.L.T.,"6"" Crunchy Chicken Enchilada",Footlong Egg White & Cheese,5.81587,16.75
"6"" Egg White & Cheese Flatbread","Footlong Bacon, Egg White & Cheese",Footlong Turkey & Bacon Avocado,5.81928,14.5
Footlong Chicken Parmesan,Footlong Veggie Delite,Footlong Black Forest Ham,5.81983,18.5
Footlong Turkey Breast,Footlong Falafel,"6"" Turkey Breast",5.82102,17.5
Footlong Veggie Patty,"6"" B.L.T.",Footlong Applewood Pulled Pork,5.82128,13.5
Kids Turkey Breast,Footlong Veggie Patty,Footlong Mediterranean Steak,5.82131,18.0
"6"" Turkey & Bacon Avocado","Footlong Bacon, Egg White & Cheese",Footlong Malibu Garden Vegan Patty,5.82245,17.0
"6"" Falafel","Footlong Bacon, Egg White & Cheese Flatbread",Footlong Turkey Breast,5.82323,15.5
Footlong Sunrise Subway Melt Flatbread with Egg White,Footlong Egg White & Cheese Flatbread,Gluten-Free Bread,5.82431,13.0
Chipotle Southwest Steak on Tomato Basil Wrap,Footlong Veggie Patty,Footlong Veggie Delite,5.82447,13.5
Spinach Wrap,Footlong Buffalo Chicken Rotisserie-Style,Footlong Veggie Patty,5.82483,19.75
"Footlong Black Forest Ham, Egg White & Cheese Flatbread","6"" Sea Salt & Pepper Fish",Footlong Egg White & Cheese,5.8252,14.25
Footlong Sunrise Subway Melt with Egg White,"Footlong Black Forest Ham, Egg White & Cheese","6"" Egg White & Cheese Flatbread",5.82599,11.75
Footlong Turkey Breast,Footlong Black Forest Ham,"Footlong Bacon, Egg White & Cheese Flatbread",5.82965,15.5
Footlong Corned Beef Reuben,"Footlong Sausage, Egg White & Cheese",Egg White Patty,5.82977,18.0
Egg White Patty,Footlong Pizza Sub Melt,Footlong Breakfast B.M.T with Egg White,5.83096,16.25
Footlong Breakfast B.M.T with Egg White,Tomato Basil Wrap,Footlong Malibu Garden Vegan Patty,5.83231,12.75
Egg White Patty,Meatball Marinara on Tomato Basil Wrap,Footlong Mega Melt with Egg White,5.83297,17.25
Footlong Turkey Breast & Black Forest Ham,"Footlong Black Forest Ham, Egg White & Cheese","Footlong Black Forest Ham, Egg White & Cheese",5.83378,13.0
Footlong Crunchy Chicken Enchilada,Cinnamon Rolls,Artisan Flatbread,5.83393,14.25
"Footlong Steak, Egg White & Cheese","Footlong Bacon, Egg White & Cheese Flatbread",Gluten-Free Bread,5.83401,15.5
"Footlong Black Forest Ham, Egg White & Cheese",Footlong Sunrise Subway Melt Flatbread with Egg White,Habanero Wrap,5.83421,8.1
Chicken Enchilada,Footlong Cold Cut Combo,Footlong Falafel,5.83449,16.25
"Footlong Bacon, Egg White & Cheese","Footlong Bacon, Egg White & Cheese","6"" Turkey & Bacon",5.83623,14.5
Footlong Malibu Garden Vegan Patty,"Footlong Sausage, Egg White & Cheese",Spinach Wrap,5.83699,18.0
Footlong Cubano,Footlong Veggie Patty,Tomato Basil Wrap,5.83708,14.0
Habanero Wrap,Footlong Turkey & Bacon Avocado,"Footlong Bacon, Egg White & Cheese Flatbread",5.83771,12.1
Footlong Egg White & Cheese Flatbread,"Footlong Black Forest Ham, Egg White & Cheese","6"" Sea Salt & Pepper Fish",5.83798,11.75
"6"" Chicken Parmesan",Footlong Malibu Garden Vegan Patty,Footlong Malibu Garden Vegan Patty,5.83958,19.5
Egg White Patty,Footlong Subway Melt,Footlong BBQ Rib Melt,5.84456,17.5
"6"" Chicken Parmesan","Footlong Bacon, Egg White & Cheese Flatbread",Footlong Egg White & Cheese,5.84581,17.0
Tomato Basil Wrap,Footlong Veggie Patty,Footlong Buffalo Chicken Rotisserie-Style,5.84705,16.25
Footlong Egg White & Cheese Flatbread,"6"" Falafel","Footlong Black Forest Ham, Egg White & Cheese Flatbread",5.84741,13.0
Footlong Sunrise Subway Melt with Egg White,Footlong B.L.T.,Spinach Wrap,5.84788,16.75
"6"" Black Forest Ham, Egg White & Cheese",Footlong Turkey & Bacon Guacamole,Footlong Malibu Garden Vegan Patty,5.84958,17.0
Footlong Turkey Italiano Melt,Footlong Breakfast B.M.T Flatbread with Egg White,Egg White Patty,5.85119,13.75
Footlong Black Forest Ham,"Footlong Black Forest Ham, Egg White & Cheese Flatbread",Footlong Egg White & Cheese Flatbread,5.85383,13.0
"6"" Malibu Garden Vegan Patty",Footlong Egg White & Cheese Flatbread,Footlong Breakfast B.M.T with Egg White,5.85394,13.75
Habanero Wrap,Footlong Breakfast B.M.T with Egg White,Footlong Malibu Garden Vegan Patty,5.85454,11.35
Footlong Breakfast B.M.T with Egg White,"Footlong Bacon, Egg White & Cheese Flatbread",Falafel,5.85532,10.25
"Footlong Sausage, Egg White & Cheese",Egg White Patty,Footlong Pizza Sub Melt,5.85786,18.0
Bacon Pizza,"6"" B.L.T.",Footlong Veggie Patty,5.85818,13.5
"Footlong Steak, Egg White & Cheese Flatbread",Footlong Sunrise Subway Melt Flatbread with Egg White,Falafel,5.8584,9.5
Footlong Malibu Garden Vegan Patty,Tomato Basil Wrap,"Footlong Sausage, Egg White & Cheese",5.85921,14.5
Footlong Cubano,Footlong Veggie Patty,Habanero Wrap,5.8593,12.6
Footlong Veggie Patty,"6"" Cubano",Footlong Malibu Garden Vegan Patty,5.86188,18.0
"6"" Bacon, Egg White & Cheese","6"" Bacon, Egg White & Cheese Flatbread",Footlong Crunchy Chicken Enchilada,5.86269,11.75
Footlong Crunchy Chicken Enchilada,Bagel,"6"" Mega Melt with Egg White",5.86325,11.1
"6"" Falafel",Footlong Veggie Patty,Footlong Roast Beef,5.86454,18.0
"6"" Malibu Garden Vegan Patty","Footlong Steak, Egg White & Cheese","Footlong Steak, Egg White & Cheese Flatbread",5.86671,15.5
Footlong Falafel,"6"" Turkey Breast",Footlong Turkey Breast & Black Forest Ham,5.8674,17.5
Footlong Turkey Italiano Melt,Egg White Patty,Footlong Meatball Marinara,5.86797,16.25
Footlong Chicken Parmesan,"6"" Crunchy Chicken Enchilada",Footlong Veggie Delite,5.86849,17.25
