Item 1,Item 2,Item 3,Metric,Price
Green Chile Double Jr. Whatameal,Hot Lemon Pie,Whataburger Jr.,6.58598,9.92
Whatachick'n Strips 2 Piece Kid's Meal with Lower Calorie Sides,Whataburger Jr. Whatameal,"French Fries, Large",6.58937,12.42
Jalapeno Cheddar Biscuit and Gravy,Grilled Chicken Sandwich Whatameal,Whole Grain Bun,6.58961,11.670000000000002
Hot Apple Pie,Chicken Fajita Taco Whatameal,"French Fries, Large",6.59569,9.32
Whataburger Jr. Whatameal with Lower Calorie Sides,Biscuit,Whatachick'n Sandwich Whatameal,6.60516,11.57
Sweet & Spicy Bacon Burger Jr. Whatameal with Lower Calorie Sides,Sweet & Spicy Bacon Burger Jr. Whatameal,Texas Toast (2 Slices),6.60522,9.13
Green Chile Double Jr. Whatameal,"French Fries, Small",Whataburger Jr. Whatameal with Lower Calorie Sides,6.60544,12.620000000000001
Whataburger Patty Melt,Texas Toast (2 Slices),Pancake Platter with Sausage,6.60849,9.280000000000001
Honey Butter Chicken Biscuit,Grilled Chicken Melt Whatameal,Whole Grain Bun,6.61019,11.72
Medium French Fry,Justaburger Kid's Meal,Jalapeno & Cheese Whataburger Whatameal with Lower Calorie Sides,6.62061,11.37
Pancake Platter with Bacon,Justaburger Kid's Meal,Double Meat Whataburger Jr. with Cheese,6.62393,10.17
Pancake Platter with Bacon Whatameal,Justaburger Kid's Meal with Lower Calorie Sides,Honey BBQ Chicken Strip Sandwich Jr. Whatameal with Lower Calorie Sides,6.62493,17.37
"Onion Rings, Large",Biscuit,Grilled Chicken Sandwich Whatameal,6.6258,9.620000000000001
Whatachick'n Bites 4 Piece Kid's Meal,Pancake Platter with Sausage,"French Fries, Small",6.62744,8.82
Whatachick'n Sandwich,Large White Bun,Chicken Fajita Taco Whatameal,6.63296,12.02
Avocado Bacon Burger Whatameal with Lower Calorie Sides,Large White Bun,Pancake Platter with Sausage,6.63457,8.82
Double Meat Whataburger Whatameal with Lower Calorie Sides,Honey BBQ Chicken Strip Sandwich Whatameal with Lower Calorie Sides,Texas Toast (2 Slices),6.64224,11.28
Texas Toast (2 Slices),Chop House Cheddar Burger Whatameal with Lower Calorie Sides,Whataburger Whatameal with Lower Calorie Sides,6.64625,13.18
Monterey Melt Jr. Whatameal,Biscuit,"French Fries, Small",6.65909,9.919999999999998
Biscuit,"French Fries, Small",Chop House Cheddar Burger Jr. Whatameal,6.66423,7.92
Whataburger Whatameal with Lower Calorie Sides,Grilled Cheese Kid's Meal,Kids Justaburger,6.66545,11.969999999999999
Medium Onion Rings,Honey Butter Chicken Biscuit Whatameal,Whataburger Jr. Whatameal,6.66655,9.32
Texas Toast (2 Slices),Honey BBQ Chicken Strip Sandwich,Honey BBQ Chicken Strip Sandwich Whatameal with Lower Calorie Sides,6.66921,13.18
