Item 1,Item 2,Item 3,Metric,Price
"French Toast Sticks, 5 Piece",Grilled Chicken Sandwich,Bacon King Sandwich,8.35854,10.27
Big Fish Sandwich,Spicy Crispy Chicken Sandwich,Bacon & Cheese Whopper Sandwich,8.35879,10.18
"French Fries, Medium (Salted)",Grilled Chicken Sandwich,Bacon King Sandwich,8.36036,10.27
"Garden Chicken Salad with Crispy Chicken, No Dressing",Cheesy Tots,Rodeo King Sandwich,8.36841,11.18
Bacon Cheeseburger,"French Fries, Large (Salted)",Rodeo King Sandwich,8.38352,7.87
Kids PB&J Jamwich,Double Whopper Sandwich,Bacon & Cheese Crispy Chicken Sandwich,8.39007,14.270000000000001
Bacon King Sandwich,Oreo Cookie Cheesecake,"Onion Rings, Large",8.39513,7.380000000000001
Triple Whopper Sandwich with Cheese,Oreo Cookie Cheesecake,"French Fries, Large (Salted)",8.41042,9.78
Double Whopper Sandwich with Cheese,Bacon & Cheese Crispy Chicken Sandwich,"French Fries, Value (Salted)",8.42127,11.670000000000002
Crispy Chicken Sandwich,Crispy Chicken Sandwich,Whopper Sandwich,8.42579,14.170000000000002
Pancake and Sausage Platter,Kids Oatmeal,Triple Whopper Sandwich with Cheese,8.43961,16.47
Bacon & Cheese Whopper Sandwich,Grilled Chicken Sandwich,Chocolate Oreo Shake,8.4554,11.280000000000001
Grilled Chicken Sandwich,"Chicken Nuggets, 20 Piece",Crispy Chicken Sandwich,8.46592,14.07
Double Whopper Sandwich,Bacon & Cheese Whopper Sandwich,Cheesy Tots,8.47473,11.48
Extra Long Cheeseburger,"Chicken Nuggets, 20 Piece",Big Fish Sandwich,8.47795,10.47
Bacon & Cheese Whopper Sandwich,BBQ Bacon Whopper Sandwich,"Onion Rings, Medium",8.48494,11.37
Value Menu Rodeo Crispy Chicken Jr.,Bacon & Cheese Whopper Sandwich,Bacon & Cheese Whopper Sandwich,8.48716,11.38
Double Whopper Sandwich with Cheese,Oreo Cookie Cheesecake,"Hash Browns, Large",8.49888,8.18
White Chocolate Macadamia Nut Cookies,Bacon & Cheese Crispy Chicken Sandwich,"Chicken Nuggets, 20 Piece",8.50156,11.98
Extra Long Cheeseburger,Crispy Chicken Sandwich,Spicy Crispy Chicken Sandwich,8.50398,7.48
"Onion Rings, Medium",Double Whopper Sandwich with Cheese,Pancake and Sausage Platter,8.53629,11.17
Double Quarter Pound King Sandwich,Kids PB&J Jamwich,Bacon & Cheese Crispy Chicken Sandwich,8.54129,13.47
Bacon King Sandwich,Value Menu Rodeo Crispy Chicken Jr.,"Chicken Nuggets, 10 Piece",8.54187,7.98
Rodeo King Sandwich,Big Fish Sandwich,Kids Hamburger,8.56011,8.98
Rodeo King Sandwich,Chocolate Chip Cookies,Sausage Biscuit,8.56434,6.99
Kids Hamburger,Bacon & Cheese Crispy Chicken Sandwich,Rodeo Crispy Chicken Sandwich,8.56755,6.99
White Chocolate Macadamia Nut Cookies,Big Fish Sandwich,Bacon King Sandwich,8.57451,9.98
"Onion Rings, Large",Triple Whopper Sandwich with Cheese,Chicken Fries,8.58763,11.77
Double Whopper Sandwich,"Hash Browns, Large","Chicken Nuggets, 10 Piece",8.58791,10.17
Cheesy Tots,"Club Salad with Crispy Chicken, No Dressing",Bacon King Sandwich,8.59051,5.99
BBQ Bacon Whopper Sandwich,Kids PB&J Jamwich,Double Whopper Sandwich,8.59093,13.27
"Hash Browns, Medium",Oreo Cookie Cheesecake,Bacon King Sandwich,8.59738,6.68
