Item 1,Item 2,Item 3,Metric,Price
10 Piece Chicken Nuggets,Baconator,Son of Baconator,10.0572,14.469999999999999
Plain Baked Potato,Sausage Breakfast Bowl,Dave's Triple,10.07131,11.17
"Natural-Cut Fries, Large",Bacon Breakfast Bowl,Two Sausage Biscuits,10.16498,8.47
Two Sausage Biscuits,Biggie Breakfast Sandwich,Cheese Baked Potato,10.43961,7.27
Gravy and Sausage Bowl,Two Sausage Biscuits,"Classic Chocolate Frosty, Large",10.6313,7.17
"Vanilla Frosty, Medium",Two Sausage Biscuits,Fresh Baked Biscuit with Natural Sausage,10.78566,6.57
Baconator,Chili & Cheese Baked Potato,Fresh Baked Biscuit with Natural Sausage,10.8344,11.17
Two Sausage and Egg Burritos,Two Sausage Biscuits,"Natural-Cut Fries, Small",10.93212,6.07
"Natural-Cut Fries, Small",Fresh Baked Biscuit with Natural Sausage,Dave's Triple,10.94489,9.969999999999999
Chili & Cheese Baked Potato,Gravy and Sausage Bowl,Dave's Triple,10.99612,10.469999999999999
Baconator,Biggie Breakfast Sandwich,Bacon Cheese Baked Potato,11.01788,9.97
Two Sausage Biscuits,Bacon Breakfast Bowl,Grilled Asiago Ranch Club,11.19773,11.77
Spicy Asiago Ranch Club,Biggie Breakfast Sandwich,"Spicy Caesar Chicken Salad, Full Size",11.37127,13.170000000000002
Biggie Breakfast Sandwich,4 Piece Chicken Tenders,Two Sausage Biscuits,11.44998,8.07
Dave's Triple,Sausage Breakfast Bowl,Grilled Chicken Wrap,11.47776,12.07
"Spicy Caesar Chicken Salad, Half Size",Sausage Breakfast Bowl,Baconator,11.57505,12.97
Baconator,Fresh Baked Biscuit with Natural Sausage,"Berry Burst Chicken Salad, Full Size",11.7529,14.969999999999999
Artisan Egg Sandwich with Sausage,Cheese Baked Potato,Dave's Triple,11.80721,9.969999999999999
Two Sausage and Egg Burritos,"Classic Chocolate Frosty, Medium",Dave's Double,11.82039,5.07
Crispy Chicken Sandwich,Two Sausage and Egg Burritos,Baconator,11.86078,8.07
Gravy and Sausage Bowl,Dave's Triple,"Berry Burst Chicken Salad, Full Size",11.91462,14.27
Two Sausage and Egg Burritos,Dave's Double,"Taco Salad, Half Size",11.93184,4.57
Chili Cheese Fries,Fresh-Baked Biscuit with Applewood Smoked Bacon,Dave's Triple,11.93538,9.969999999999999
Sugar Cookie,Baconator,Two Sausage and Egg Burritos,11.96179,8.469999999999999
Artisan Egg Sandwich with Sausage,"Apple Pecan Chicken Salad, Full Size",Two Sausage Biscuits,11.98592,11.07
Baconator,Artisan Egg Sandwich with Sausage,"Vanilla Frosty, Large",11.99626,8.07
Fresh-Baked Biscuit with Applewood Smoked Bacon,Dave's Triple,Honey Butter Chicken Biscuit,12.12066,12.469999999999999
Fresh-Baked Biscuit with Applewood Smoked Bacon,Two Sausage Biscuits,Son of Baconator,12.12111,9.77
Dave's Double,Fresh Baked Biscuit with Natural Sausage,"Southwest Avocado Chicken Salad, Full Size",12.15067,10.969999999999999
Baconator,Gravy and Sausage Bowl,"Southwest Avocado Chicken Salad, Full Size",12.15918,14.27
Two Sausage and Egg Burritos,"Vanilla Frosty, Junior",Dave's Triple,12.16672,8.07
"Spicy Caesar Chicken Salad, Full Size","Apple Pecan Chicken Salad, Full Size",Two Sausage and Egg Burritos,12.32698,14.370000000000001
Biggie Breakfast Sandwich,Dave's Triple,"Southwest Avocado Chicken Salad, Half Size",12.35529,11.77
6 Piece Chicken Tenders,Two Sausage and Egg Burritos,Son of Baconator,12.49467,9.370000000000001
Baconator,Two Sausage and Egg Burritos,3 Piece Chicken Tenders,12.54765,10.77
Artisan Egg Sandwich with Sausage,Dave's Single,Baconator,12.58136,8.57
Artisan Egg Sandwich with Sausage,Dave's Triple,4 Piece Chicken Tenders,12.81758,10.77
Artisan Egg Sandwich with Bacon,Dave's Triple,"Classic Chocolate Frosty, Large",13.03076,9.370000000000001
Artisan Egg Sandwich with Bacon,Two Sausage Biscuits,"Spicy Caesar Chicken Salad, Full Size",13.22081,11.07
"Spicy Caesar Chicken Salad, Full Size",Sausage Breakfast Bowl,Sausage Breakfast Bowl,13.30387,11.07
Gravy and Sausage Bowl,Fresh Baked Biscuit with Natural Sausage,Two Sausage Biscuits,13.43693,7.07
Biggie Breakfast Sandwich,Spicy Asiago Ranch Club,Two Sausage and Egg Burritos,13.97409,7.470000000000001
Baconator,Fresh-Baked Biscuit with Applewood Smoked Bacon,Sausage Breakfast Bowl,14.30507,9.969999999999999
Two Sausage and Egg Burritos,Two Sausage and Egg Burritos,"Apple Pecan Chicken Salad, Full Size",14.92979,8.67
Two Sausage and Egg Burritos,Artisan Egg Sandwich with Bacon,Two Sausage Biscuits,15.82362,5.37
Dave's Triple,Artisan Egg Sandwich with Bacon,Fresh Baked Biscuit with Natural Sausage,15.8364,9.27
Sausage Breakfast Bowl,Sausage Breakfast Bowl,Two Sausage and Egg Burritos,15.90669,5.37
