Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat,Carbs Metric,Cholesterol Metric,Fat Metric,Sodium Metric,Protein Metric,Price,Saturated Fat Metric
Chicken Club Salad with Crispy Chicken,375.0,28.0,36.0,32.0,4.0,5.0,1230.0,70.0,510.0,9.0,0.0,0.47058823529411764,0.9150326797385622,1.4260249554367201,2.0098039215686274,2.5098039215686274,5.49,1.7647058823529411
Chicken Club Salad with Grilled Chicken,376.0,20.0,11.0,39.0,5.0,4.0,1060.0,105.0,370.0,9.0,0.0,0.19819819819819823,1.8918918918918919,1.4040014040014042,2.3873873873873874,4.216216216216217,5.49,2.4324324324324325
Grilled Chicken Salad,372.0,9.0,13.0,30.0,6.0,5.0,750.0,80.0,250.0,4.5,0.0,0.3466666666666667,2.1333333333333333,0.9350649350649349,2.5,4.8,5.49,1.7999999999999998
Southwest Chicken Salad with Crispy Chicken,428.0,23.0,52.0,28.0,5.0,8.0,1260.0,55.0,500.0,7.0,0.0,0.6933333333333334,0.7333333333333334,1.1948051948051948,2.1,2.24,5.49,1.4000000000000001
Southwest Chicken Salad with Grilled Chicken,430.0,15.0,27.0,35.0,6.0,7.0,1090.0,90.0,350.0,6.0,0.0,0.5142857142857142,1.7142857142857142,1.1131725417439704,2.5952380952380953,4.0,5.49,1.7142857142857144
Bacon Cheddar Potato Wedges,252.0,41.0,58.0,17.0,2.0,5.0,1250.0,30.0,680.0,9.0,0.0,0.5686274509803922,0.29411764705882354,1.5660809778456837,1.531862745098039,1.0,3.09,1.3235294117647058
Egg Roll (3 pc.),174.0,22.0,46.0,16.0,6.0,7.0,950.0,20.0,440.0,5.0,0.0,0.6969696969696969,0.30303030303030304,1.2987012987012987,1.7992424242424243,1.4545454545454546,4.09,1.1363636363636365
"French Fries, Large",176.0,25.0,75.0,6.0,1.0,5.0,1010.0,0.0,550.0,2.5,0.0,0.9090909090909091,0.0,1.1806375442739079,1.5303030303030305,0.4363636363636364,2.29,0.45454545454545453
"French Fries, Medium",137.0,20.0,58.0,5.0,0.0,4.0,780.0,0.0,430.0,2.0,0.0,0.8992248062015505,0.0,1.2080942313500453,1.5116279069767442,0.46511627906976744,2.09,0.46511627906976744
"French Fries, Small",94.0,14.0,40.0,3.0,0.0,3.0,540.0,0.0,300.0,1.0,0.0,0.888888888888889,0.0,1.2121212121212122,1.5,0.4,1.89,0.33333333333333337
Panko Onion Rings,118.0,24.0,52.0,6.0,5.0,3.0,620.0,0.0,440.0,2.0,0.0,0.7878787878787878,0.0,1.4167650531286895,1.1742424242424243,0.5454545454545454,2.29,0.45454545454545453
"Seasoned Curly Fries, Medium",130.0,25.0,46.0,5.0,0.0,4.0,940.0,0.0,430.0,2.0,0.0,0.7131782945736435,0.0,1.5101177891875566,1.821705426356589,0.46511627906976744,2.29,0.46511627906976744
"Seasoned Curly Fries, Small",85.0,16.0,30.0,3.0,0.0,3.0,610.0,0.0,280.0,1.5,0.0,0.7142857142857143,0.0,1.484230055658627,1.8154761904761905,0.4285714285714286,1.99,0.5357142857142857
Stuffed Jalapenos (3 pc.),71.0,12.0,21.0,6.0,2.0,1.0,730.0,15.0,220.0,4.5,0.0,0.6363636363636365,0.45454545454545453,1.4167650531286895,2.7651515151515156,1.0909090909090908,2.19,2.0454545454545454
Stuffed Jalapenos (7 pc.),165.0,29.0,49.0,14.0,5.0,3.0,1690.0,40.0,510.0,10.0,0.5,0.6405228758169935,0.5228758169934641,1.4769544181308887,2.7614379084967324,1.0980392156862746,4.19,1.9607843137254901
"Taco, Regular",81.0,9.0,16.0,6.0,1.0,2.0,360.0,15.0,170.0,3.0,0.0,0.6274509803921569,0.5882352941176471,1.3750954927425516,1.7647058823529413,1.4117647058823528,0.99,1.7647058823529411
"Bacon, Egg & Cheese Biscuit",128.0,25.0,26.0,16.0,3.0,2.0,1180.0,240.0,410.0,12.0,0.0,0.42276422764227645,3.902439024390244,1.5837820715869495,2.3983739837398375,1.5609756097560976,2.99,2.9268292682926833
Bacon Breakfast Jack,123.0,21.0,30.0,17.0,4.0,1.0,850.0,240.0,380.0,7.0,0.0,0.5263157894736842,4.2105263157894735,1.4354066985645932,1.8640350877192984,1.7894736842105263,1.59,1.8421052631578945
