Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat,Carbs Metric,Cholesterol Metric,Fat Metric,Sodium Metric,Protein Metric,Price,Saturated Fat Metric
Pizza Slider,95.0,17.0,23.0,13.0,2.0,1.0,930.0,35.0,300.0,6.0,0.0,0.5111111111111111,0.7777777777777778,1.4718614718614718,2.5833333333333335,1.7333333333333334,1.49,2.0
Roast Beef 'n Cheese Slider,91.0,11.0,21.0,14.0,1.0,1.0,670.0,30.0,240.0,4.5,0.0,0.5833333333333334,0.8333333333333334,1.1904761904761905,2.326388888888889,2.3333333333333335,1.49,1.875
Turkey 'n Cheese Slider,91.0,7.0,21.0,14.0,2.0,1.0,760.0,25.0,200.0,2.5,0.0,0.7,0.8333333333333334,0.9090909090909092,3.1666666666666665,2.8000000000000003,3.99,1.25
"Curly Fries, Large",201.0,35.0,77.0,8.0,0.0,7.0,1480.0,0.0,650.0,5.0,0.0,0.7897435897435898,0.0,1.3986013986013988,1.8974358974358974,0.49230769230769234,2.19,0.7692307692307693
"Curly Fries, Medium",170.0,29.0,65.0,6.0,0.0,6.0,1250.0,0.0,550.0,4.0,0.0,0.7878787878787878,0.0,1.369539551357733,1.8939393939393943,0.4363636363636364,1.99,0.7272727272727273
"Curly Fries, Small",128.0,22.0,49.0,5.0,0.0,5.0,940.0,0.0,410.0,3.0,0.0,0.7967479674796748,0.0,1.3937282229965156,1.9105691056910568,0.4878048780487805,1.69,0.7317073170731708
"Curly Fries, Snack",77.0,13.0,29.0,3.0,0.0,3.0,570.0,0.0,250.0,2.0,0.0,0.7733333333333334,0.0,1.3506493506493507,1.9,0.48,1.69,0.8
Jalapeno Bites (5),110.0,17.0,31.0,5.0,3.0,2.0,660.0,25.0,290.0,6.0,0.0,0.7126436781609196,0.574712643678161,1.5226153157187639,1.8965517241379313,0.6896551724137931,2.99,2.0689655172413794
Jalapeno Bites (8),176.0,27.0,50.0,8.0,4.0,3.0,1060.0,40.0,470.0,10.0,0.5,0.7092198581560284,0.5673758865248227,1.4921248963802156,1.8794326241134751,0.6808510638297872,4.69,2.127659574468085
Loaded Curly Fries,233.0,46.0,57.0,14.0,2.0,5.0,1990.0,35.0,700.0,9.0,0.0,0.5428571428571429,0.33333333333333337,1.7068645640074211,2.369047619047619,0.8,2.19,1.2857142857142856
Mozzarella Sticks (4),137.0,23.0,37.0,19.0,3.0,2.0,1410.0,35.0,440.0,9.0,0.5,0.5606060606060607,0.5303030303030303,1.357733175914994,2.6704545454545454,1.7272727272727273,2.99,2.0454545454545454
Mozzarella Sticks (6),206.0,35.0,56.0,29.0,4.0,3.0,2110.0,55.0,650.0,14.0,1.0,0.5743589743589743,0.5641025641025642,1.3986013986013988,2.7051282051282053,1.7846153846153845,4.69,2.1538461538461537
Potato Cakes (3),150.0,21.0,35.0,3.0,0.0,4.0,650.0,0.0,370.0,3.0,0.0,0.6306306306306307,0.0,1.4742014742014742,1.463963963963964,0.32432432432432434,1.99,0.8108108108108109
Potato Cakes (4),200.0,28.0,46.0,4.0,0.0,5.0,860.0,0.0,490.0,4.5,0.0,0.6258503401360545,0.0,1.484230055658627,1.4625850340136055,0.326530612244898,2.19,0.9183673469387756
Steakhouse Onion Rings (5),132.0,21.0,52.0,6.0,4.0,3.0,1740.0,0.0,420.0,3.0,0.0,0.8253968253968255,0.0,1.2987012987012987,3.452380952380953,0.5714285714285714,2.29,0.7142857142857143
Apple Turnover,128.0,18.0,65.0,4.0,39.0,2.0,210.0,0.0,430.0,9.0,0.0,1.0077519379844961,0.0,1.0872848082150408,0.4069767441860465,0.37209302325581395,2.19,2.0930232558139537
Cherry Turnover,128.0,13.0,65.0,4.0,40.0,2.0,200.0,0.0,390.0,6.0,0.0,1.1111111111111112,0.0,0.8658008658008658,0.42735042735042733,0.41025641025641024,2.19,1.5384615384615385
