Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat,Carbs Metric,Cholesterol Metric,Fat Metric,Sodium Metric,Protein Metric,Price,Saturated Fat Metric
Lentil Quinoa Broth Bowl wtih Cage-Free Egg,,12.0,44.0,16.0,5.0,9.0,1240.0,185.0,340.0,2.5,0.0,0.8627450980392158,3.627450980392157,0.9167303284950343,3.0392156862745097,1.8823529411764706,8.19,0.7352941176470588
Soba Noodle Bowl with Chicken,,9.0,46.0,30.0,4.0,4.0,1190.0,65.0,380.0,1.5,0.0,0.8070175438596492,1.1403508771929824,0.6151742993848257,2.609649122807018,3.1578947368421053,8.69,0.39473684210526316
Soba Noodle Bowl with Edamame Blend,,11.0,50.0,13.0,6.0,7.0,1350.0,0.0,350.0,1.0,0.0,0.9523809523809523,0.0,0.8163265306122449,3.2142857142857144,1.4857142857142858,8.19,0.2857142857142857
Vegan Lentil Quinoa Broth Bowl,,7.0,43.0,10.0,5.0,9.0,1180.0,0.0,270.0,1.0,0.0,1.0617283950617284,0.0,0.6734006734006733,3.6419753086419755,1.4814814814814814,8.69,0.3703703703703704
"Bacon Mac & Cheese, Bread Bowl",,41.0,164.0,48.0,9.0,6.0,2470.0,95.0,1220.0,20.0,1.0,0.8961748633879781,0.5191256830601093,0.8728975942090695,1.6871584699453555,1.5737704918032789,5.99,1.639344262295082
"Bacon Mac & Cheese, Large",,73.0,67.0,43.0,16.0,2.0,2620.0,190.0,1100.0,39.0,1.5,0.40606060606060607,1.1515151515151516,1.7237308146399055,1.9848484848484849,1.5636363636363637,7.99,3.5454545454545454
"Bacon Mac & Cheese, Small",,37.0,34.0,22.0,8.0,1.0,1310.0,95.0,550.0,19.0,1.0,0.41212121212121217,1.1515151515151516,1.7473435655253837,1.9848484848484849,1.6,4.99,3.4545454545454546
"Baja Mac & Cheese, Bread Bowl",,39.0,169.0,44.0,10.0,8.0,2320.0,155.0,1200.0,18.0,1.0,0.938888888888889,0.8611111111111113,0.8441558441558442,1.6111111111111112,1.4666666666666668,5.99,1.5
"Baja Mac & Cheese, Large",,70.0,77.0,35.0,19.0,8.0,2320.0,80.0,1070.0,36.0,1.5,0.47975077881619943,0.4984423676012461,1.699235344095157,1.8068535825545171,1.308411214953271,7.99,3.364485981308411
"Baja Mac & Cheese, Small",,35.0,39.0,18.0,9.0,4.0,1160.0,155.0,530.0,18.0,1.0,0.49056603773584906,1.949685534591195,1.7152658662092624,1.8238993710691824,1.3584905660377358,4.99,3.3962264150943398
"BBQ Chicken Mac & Cheese, Bread Bowl",,38.0,172.0,50.0,14.0,6.0,2550.0,100.0,1230.0,18.0,1.0,0.9322493224932249,0.5420054200542006,0.8024495829373879,1.7276422764227644,1.6260162601626016,5.99,1.4634146341463417
"BBQ Chicken Mac & Cheese, Large",,68.0,84.0,47.0,27.0,3.0,2790.0,200.0,1130.0,36.0,1.5,0.49557522123893805,1.1799410029498525,1.563038731180324,2.0575221238938055,1.663716814159292,7.99,3.185840707964602
"BBQ Chicken Mac & Cheese, Small",,34.0,42.0,23.0,14.0,2.0,1390.0,100.0,570.0,18.0,1.0,0.49122807017543857,1.1695906432748537,1.5493278651173388,2.0321637426900585,1.6140350877192984,4.99,3.1578947368421053
Chicken Tortellini Alfredo,,39.0,68.0,31.0,2.0,3.0,1690.0,135.0,750.0,21.0,1.0,0.6044444444444446,1.2,1.3506493506493507,1.877777777777778,1.6533333333333333,8.19,2.8000000000000003
"Mac & Cheese, Bread Bowl",,35.0,163.0,43.0,8.0,6.0,2210.0,80.0,1140.0,18.0,1.0,0.9532163742690059,0.4678362573099415,0.7974481658692184,1.615497076023392,1.5087719298245614,5.99,1.5789473684210527
"Mac & Cheese, Large",437.0,62.0,66.0,33.0,15.0,2.0,2090.0,155.0,950.0,35.0,1.5,0.4631578947368421,1.087719298245614,1.695146958304853,1.8333333333333335,1.3894736842105262,7.99,3.684210526315789
"Mac & Cheese, Small",218.0,31.0,33.0,17.0,7.0,1.0,1040.0,80.0,470.0,17.0,1.0,0.4680851063829788,1.1347517730496455,1.7131804365846919,1.843971631205674,1.4468085106382977,4.99,3.6170212765957444
"Baked Potato Soup, Bowl",,20.0,33.0,9.0,5.0,4.0,1420.0,45.0,330.0,10.0,0.0,0.6666666666666667,0.9090909090909091,1.5741833923652107,3.5858585858585856,1.0909090909090908,5.29,3.0303030303030303
"Baked Potato Soup, Bread Bowl",,18.0,152.0,33.0,4.0,7.0,2110.0,30.0,890.0,7.0,0.0,1.1385767790262173,0.2247191011235955,0.5253173792499635,1.9756554307116103,1.4831460674157304,5.29,0.7865168539325843
"Baked Potato Soup, Cup",,13.0,22.0,6.0,3.0,3.0,950.0,30.0,220.0,7.0,0.0,0.6666666666666667,0.9090909090909091,1.5348288075560803,3.5984848484848486,1.0909090909090908,4.29,3.1818181818181817
