Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat,Carbs Metric,Cholesterol Metric,Fat Metric,Sodium Metric,Protein Metric,Price,Saturated Fat Metric
Big Chicken Fillet Sandwich,,35.0,62.0,32.0,11.0,4.0,1360.0,75.0,680.0,6.0,0.0,0.6078431372549019,0.7352941176470589,1.3368983957219251,1.6666666666666667,1.8823529411764706,4.59,0.8823529411764706
Charbroiled BBQ Chicken Sandwich,,7.0,50.0,30.0,13.0,3.0,990.0,60.0,390.0,1.5,0.0,0.8547008547008547,1.0256410256410258,0.4662004662004662,2.1153846153846154,3.076923076923077,4.79,0.38461538461538464
Charbroiled Chicken Club Sandwich,,28.0,46.0,36.0,11.0,2.0,1290.0,90.0,580.0,8.0,0.0,0.5287356321839081,1.0344827586206897,1.2539184952978055,1.853448275862069,2.4827586206896552,5.29,1.3793103448275863
Charbroiled Santa Fe Chicken Sandwich,,27.0,46.0,33.0,10.0,3.0,1290.0,85.0,560.0,7.0,0.0,0.5476190476190477,1.0119047619047619,1.2523191094619666,1.919642857142857,2.357142857142857,5.29,1.25
"Chicken Stars, 4 Pieces",,10.0,12.0,8.0,0.0,1.0,360.0,20.0,170.0,2.0,0.0,0.47058823529411764,0.7843137254901961,1.5278838808250572,1.7647058823529413,1.8823529411764706,3.99,1.1764705882352942
"Chicken Stars, 6 Pieces",,16.0,18.0,12.0,0.0,2.0,540.0,30.0,260.0,3.5,0.0,0.46153846153846156,0.7692307692307693,1.5984015984015985,1.730769230769231,1.8461538461538463,3.99,1.3461538461538463
"Chicken Stars, 9 Pieces",,23.0,26.0,18.0,0.0,3.0,810.0,45.0,390.0,5.0,0.0,0.4444444444444445,0.7692307692307693,1.5318015318015317,1.730769230769231,1.8461538461538463,3.99,1.282051282051282
"Hand-Breaded Chicken Tenders, 3 Pieces",,13.0,13.0,25.0,0.0,2.0,770.0,70.0,260.0,2.5,0.0,0.33333333333333337,1.794871794871795,1.2987012987012987,2.467948717948718,3.8461538461538463,3.99,0.9615384615384616
"Hand-Breaded Chicken Tenders, 5 Pieces",,21.0,21.0,41.0,0.0,3.0,1290.0,115.0,440.0,4.5,0.0,0.31818181818181823,1.7424242424242424,1.2396694214876034,2.4431818181818183,3.7272727272727275,5.79,1.0227272727272727
Kid's Hand-Breaded Chicken Tenders,,9.0,9.0,16.0,0.0,1.0,520.0,45.0,180.0,2.0,0.0,0.33333333333333337,1.6666666666666667,1.2987012987012987,2.4074074074074074,3.555555555555556,5.79,1.1111111111111112
Spicy Chicken Sandwich,,29.0,43.0,14.0,6.0,3.0,1330.0,40.0,490.0,6.0,0.0,0.5850340136054422,0.5442176870748299,1.5372382719321496,2.2619047619047623,1.1428571428571428,5.55,1.2244897959183674
Chocolate Cake,,12.0,48.0,3.0,36.0,1.0,350.0,30.0,300.0,3.0,0.0,1.0666666666666667,0.6666666666666667,1.0389610389610389,0.9722222222222223,0.4,0.89,1.0
Chocolate Chip Cookie,,19.0,48.0,3.0,27.0,2.0,350.0,30.0,370.0,10.0,0.0,0.8648648648648649,0.5405405405405406,1.333801333801334,0.7882882882882883,0.32432432432432434,0.89,2.7027027027027026
Strawberry Swirl Cheesecake,,16.0,32.0,6.0,21.0,0.0,230.0,55.0,290.0,9.0,0.0,0.735632183908046,1.264367816091954,1.4330497089117777,0.6609195402298851,0.8275862068965517,1.79,3.103448275862069
Bean & Cheese Burrito,,15.0,56.0,19.0,1.0,8.0,1200.0,30.0,440.0,8.0,0.0,0.8484848484848484,0.45454545454545453,0.8854781582054309,2.2727272727272725,1.7272727272727273,3.29,1.8181818181818181
"Beef, Bean & Cheese Burrito",,18.0,52.0,24.0,1.0,7.0,1280.0,50.0,470.0,9.0,0.0,0.7375886524822695,0.7092198581560284,0.9947499309201436,2.269503546099291,2.0425531914893615,3.29,1.9148936170212765
"Burrito California, Chicken",,18.0,41.0,31.0,2.0,2.0,1360.0,85.0,450.0,8.0,0.0,0.6074074074074075,1.2592592592592593,1.0389610389610389,2.5185185185185186,2.7555555555555555,1.89,1.7777777777777777
"Burrito California, Steak",,21.0,44.0,28.0,3.0,2.0,1780.0,80.0,480.0,10.0,0.0,0.611111111111111,1.1111111111111112,1.1363636363636362,3.090277777777778,2.3333333333333335,0.25,2.083333333333333
"Burrito Especial, Chicken",,19.0,55.0,35.0,3.0,7.0,1710.0,85.0,530.0,8.0,0.0,0.6918238993710693,1.069182389937107,0.9311443273707424,2.688679245283019,2.641509433962264,5.29,1.509433962264151
"Burrito Especial, Steak",,22.0,58.0,33.0,4.0,7.0,2120.0,80.0,560.0,10.0,0.0,0.6904761904761906,0.9523809523809523,1.0204081632653061,3.1547619047619047,2.357142857142857,2.79,1.7857142857142856
"Burrito Mexicano, Chicken",,16.0,54.0,35.0,2.0,6.0,1630.0,85.0,500.0,8.0,0.0,0.72,1.1333333333333335,0.8311688311688312,2.716666666666667,2.8000000000000003,5.29,1.6
"Burrito Mexicano, Steak",,19.0,56.0,32.0,3.0,6.0,2050.0,80.0,540.0,9.0,0.0,0.691358024691358,0.9876543209876543,0.913900913900914,3.1635802469135803,2.3703703703703702,2.79,1.6666666666666667
"Chicken Taquitos, 3 Pieces",,20.0,37.0,18.0,2.0,5.0,730.0,50.0,400.0,6.0,0.0,0.6166666666666667,0.8333333333333334,1.2987012987012987,1.5208333333333333,1.7999999999999998,2.99,1.5
"Chicken Taquitos, 5 Pieces",,30.0,62.0,28.0,4.0,9.0,1140.0,70.0,620.0,8.0,0.0,0.6666666666666667,0.7526881720430108,1.2568077084206115,1.532258064516129,1.8064516129032258,3.99,1.2903225806451613
Chips,,17.0,35.0,4.0,0.0,3.0,35.0,0.0,300.0,3.0,0.0,0.7777777777777778,0.0,1.4718614718614718,0.09722222222222222,0.5333333333333333,1.49,1.0
"Quesadilla, Cheese",,34.0,37.0,16.0,0.0,1.0,980.0,55.0,520.0,12.0,0.0,0.47435897435897434,0.7051282051282052,1.6983016983016983,1.5705128205128205,1.2307692307692308,1.99,2.307692307692308
"Quesadilla, Chicken",,36.0,39.0,34.0,1.0,1.0,1450.0,110.0,610.0,13.0,0.0,0.4262295081967213,1.2021857923497268,1.5328933361720247,1.980874316939891,2.2295081967213113,2.99,2.1311475409836063
"Quesadilla, Steak",,39.0,41.0,31.0,1.0,2.0,1860.0,105.0,640.0,14.0,0.0,0.4270833333333333,1.09375,1.5827922077922076,2.421875,1.9375,1.99,2.1875
Side of Beans,,6.0,34.0,14.0,1.0,11.0,910.0,15.0,250.0,3.0,0.0,0.9066666666666667,0.4,0.6233766233766234,3.0333333333333337,2.24,1.69,1.2
"Super Nachos, Chicken",,43.0,92.0,35.0,5.0,12.0,1720.0,70.0,900.0,9.0,0.0,0.6814814814814816,0.5185185185185186,1.240981240981241,1.5925925925925928,1.5555555555555556,3.29,1.0
"Super Nachos, Ground Beef",,51.0,95.0,33.0,5.0,15.0,1770.0,65.0,970.0,12.0,1.0,0.6529209621993127,0.44673539518900346,1.3656446646137368,1.5206185567010309,1.360824742268041,3.29,1.2371134020618557
"Super Nachos, Steak",,46.0,94.0,33.0,6.0,13.0,2140.0,70.0,930.0,11.0,0.0,0.6738351254480287,0.5017921146953406,1.2847367686077362,1.9175627240143371,1.4193548387096775,3.29,1.1827956989247312
"Taco Salad, Chicken",,39.0,67.0,40.0,8.0,11.0,1710.0,90.0,770.0,12.0,0.0,0.5800865800865801,0.7792207792207793,1.315567549333783,1.8506493506493509,2.077922077922078,1.89,1.5584415584415585
