Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat,Carbs Metric,Cholesterol Metric,Fat Metric,Sodium Metric,Protein Metric
"Hash Browns, Large",225,44,65,5,0,9,1530,0,670,9,0,0.646766169,0,1.70575693,1.902985075,0.049751244
"Hash Browns, Medium",169,33,48,4,0,7,1140,0,500,7,0,0.64,0,1.714285714,1.9,0.053333333
King Croissan'wich with Double Sausage,224,52,31,29,5,1,1420,240,710,20,0.5,0.291079812,2.253521127,1.902323029,1.666666667,0.272300469
King Croissan'wich with Ham And Sausage,211,38,31,27,5,1,1530,220,580,16,0.5,0.356321839,2.528735632,1.701746529,2.198275862,0.310344828
King Croissan'wich with Sausage And Bacon,187,40,31,23,5,1,1260,215,580,16,0.5,0.356321839,2.471264368,1.791312136,1.810344828,0.264367816
NY Ultimate Platter,400,46,95,25,31,5,1760,380,900,12,0,0.703703704,2.814814815,1.327561328,1.62962963,0.185185185
Pancake and Sausage Platter,217,31,72,12,30,1,1010,80,610,9,0,0.786885246,0.87431694,1.319991484,1.379781421,0.131147541
Quaker Oatmeal Maple Flavor,172,3,32,4,12,3,270,5,170,1.5,0,1.254901961,0.196078431,0.458365164,1.323529412,0.156862745
"Sausage, Egg, & Cheese Biscuit",189,38,29,19,3,1,1440,195,530,17,0,0.364779874,2.452830189,1.862288655,2.264150943,0.238993711
"Sausage, Egg, Cheese & Hash Brown Burrito",143,23,27,15,2,3,930,150,370,8,0,0.486486486,2.702702703,1.614601615,2.094594595,0.27027027
Sausage Biscuit,121,28,28,12,2,1,1050,35,420,6,0,0.444444444,0.555555556,1.731601732,2.083333333,0.19047619
Caramel Sundae,153,6,53,6,39,0,260,25,290,4,0,1.218390805,0.574712644,0.537393641,0.747126437,0.137931034
Chocolate Chip Cookies,76,15,47,3,29,1,250,20,330,8,0,0.949494949,0.404040404,1.180637544,0.631313131,0.060606061
Dutch Apple Pie,107,14,51,3,25,1,310,0,340,6,0,1,0,1.069518717,0.759803922,0.058823529
Hershey's Chocolate Sundae,153,7,47,6,41,1,220,20,280,5,0,1.119047619,0.476190476,0.649350649,0.654761905,0.142857143
Hershey's Sundae Pie,79,19,32,3,22,1,220,10,310,12,0,0.688172043,0.215053763,1.591956431,0.591397849,0.064516129
Oatmeal Raisin Cookies,76,13,46,4,26,3,260,20,310,8,0,0.989247312,0.430107527,1.089233347,0.698924731,0.086021505
Oreo Cookie Cheesecake,92,18,41,6,25,1,310,35,350,8,0,0.780952381,0.666666667,1.33580705,0.738095238,0.114285714
Pie Made with Twix,102,20,45,4,30,1,330,10,370,13,0,0.810810811,0.18018018,1.404001404,0.743243243,0.072072072
Soft Serve Cone,120,4.5,32,5,24,0,150,20,190,3,0,1.122807018,0.701754386,0.615174299,0.657894737,0.175438596
Soft Serve Cup,115,4.5,28,5,24,0,150,20,170,3,0,1.098039216,0.784313725,0.687547746,0.735294118,0.196078431
White Chocolate Macadamia Nut Cookies,76,18,44,4,28,0,240,20,340,8,0,0.862745098,0.392156863,1.375095493,0.588235294,0.078431373
Chocolate Oreo Shake,,22,121,17,101,1,680,70,740,13,0.5,1.09009009,0.630630631,0.772200772,0.765765766,0.153153153
Froot Loops Shake,,17,126,16,103,2,560,65,720,11,0.5,1.166666667,0.601851852,0.613275613,0.648148148,0.148148148
Oreo Shake,,20,118,16,98,1,540,65,720,12,0.5,1.092592593,0.601851852,0.721500722,0.625,0.148148148
Strawberry Banana Smoothie,,1,71,4,50,3,55,0,310,0,0,1.52688172,0,0.083787181,0.147849462,0.086021505
Tropical Mango Smoothie,,0,86,5,56,2,70,0,370,0,0,1.54954955,0,0,0.157657658,0.09009009
Value Menu Bacon Cheeseburger,118,16,27,17,7,1,710,55,320,7,0.5,0.5625,1.145833333,1.298701299,1.848958333,0.354166667
Value Menu Bacon Double Cheeseburger,155,24,27,25,7,1,740,90,420,10,1.5,0.428571429,1.428571429,1.484230056,1.468253968,0.396825397
Value Menu Cheeseburger,111,13,27,15,7,1,560,45,280,6,0.5,0.642857143,1.071428571,1.20593692,1.666666667,0.357142857
Value Menu Crispy Chicken Jr.,142,30,34,12,5,2,780,30,450,5,0,0.503703704,0.444444444,1.731601732,1.444444444,0.177777778
Value Menu Double Cheeseburger,148,21,27,23,7,1,590,85,390,9,1.5,0.461538462,1.452991453,1.398601399,1.260683761,0.393162393
Value Menu Rodeo Burger,117,14,38,13,9,1,520,35,330,4.5,0.5,0.767676768,0.707070707,1.101928375,1.313131313,0.262626263
Value Menu Rodeo Crispy Chicken Jr.,154,16,55,13,14,2,860,20,420,3,0,0.873015873,0.317460317,0.989486704,1.706349206,0.206349206
Value Menu Spicy Crispy Chicken Jr.,142,21,37,12,6,2,740,30,390,3.5,0,0.632478632,0.512820513,1.398601399,1.581196581,0.205128205
