Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat,Carbs Metric,Cholesterol Metric,Fat Metric,Sodium Metric,Protein Metric
"Sausage, Egg & Cheese Biscuit",212.0,45.0,39.0,20.0,5.0,1.0,1990.0,185.0,640.0,20.0,0.0,0.40625,1.9270833333333335,1.8262987012987013,2.5911458333333335,0.20833333333333334
"Sausage, Egg & Cheese Croissant",178.0,44.0,30.0,20.0,5.0,1.0,1280.0,215.0,590.0,19.0,0.5,0.33898305084745767,2.4293785310734464,1.937046004842615,1.807909604519774,0.22598870056497175
"Sausage, Egg & Cheese Sourdough",210.0,39.0,47.0,25.0,6.0,2.0,1530.0,185.0,640.0,13.0,0.0,0.48958333333333337,1.9270833333333335,1.5827922077922076,1.9921875,0.2604166666666667
"Sausage, Egg & Cheese Wrap",213.0,41.0,42.0,20.0,5.0,4.0,1550.0,185.0,630.0,15.0,0.0,0.4444444444444445,1.957671957671958,1.6903731189445477,2.0502645502645507,0.21164021164021163
Sausage Biscuit,144.0,33.0,36.0,12.0,3.0,1.0,1450.0,40.0,500.0,15.0,0.0,0.48,0.5333333333333333,1.7142857142857144,2.4166666666666665,0.16
Sausage Gravy Biscuit,261.0,28.0,48.0,9.0,3.0,1.0,1770.0,20.0,480.0,13.0,0.0,0.6666666666666667,0.2777777777777778,1.5151515151515151,3.072916666666667,0.125
"Sausage Gravy Biscuit, Double",522.0,56.0,96.0,18.0,5.0,3.0,3540.0,35.0,970.0,27.0,0.0,0.6597938144329897,0.24054982817869414,1.499531396438613,3.0412371134020617,0.12371134020618557
Arby's Melt,146.0,12.0,39.0,18.0,5.0,2.0,940.0,35.0,330.0,4.0,0.5,0.7878787878787878,0.7070707070707071,0.9445100354191263,2.373737373737374,0.36363636363636365
Arby-Q,182.0,11.0,58.0,18.0,23.0,3.0,1250.0,30.0,400.0,3.5,0.5,0.9666666666666667,0.5,0.7142857142857143,2.604166666666667,0.3
Ham & Swiss Melt,131.0,8.0,37.0,18.0,6.0,2.0,1060.0,35.0,300.0,3.5,0.0,0.8222222222222223,0.7777777777777778,0.6926406926406927,2.9444444444444446,0.4
"Homestyle Fries, Kids",85.0,11.0,33.0,3.0,0.0,3.0,550.0,0.0,240.0,1.5,0.0,0.9166666666666667,0.0,1.1904761904761905,1.909722222222222,0.08333333333333334
"Homestyle Fries, Large",213.0,26.0,84.0,7.0,0.0,7.0,1380.0,0.0,600.0,3.5,0.0,0.9333333333333335,0.0,1.1255411255411256,1.9166666666666665,0.07777777777777778
"Homestyle Fries, Medium",170.0,21.0,67.0,5.0,0.0,6.0,1100.0,0.0,480.0,3.0,0.0,0.9305555555555556,0.0,1.1363636363636362,1.909722222222222,0.06944444444444445
"Homestyle Fries, Small",126.0,16.0,49.0,4.0,0.0,4.0,810.0,0.0,350.0,2.0,0.0,0.9333333333333335,0.0,1.1873840445269017,1.9285714285714288,0.0761904761904762
Super Roast Beef,210.0,19.0,43.0,23.0,11.0,3.0,1080.0,50.0,440.0,6.0,1.0,0.6515151515151516,0.7575757575757576,1.1216056670602126,2.0454545454545454,0.34848484848484845
