Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat,Price
Artisan Ciabatta Loaf,57g,1.5g,30g,6g,0g,1g,280mg,0mg,160,0g,0g,$3.09
Asiago Cheese Focaccia Loaf,,3g,24g,6g,0g,1g,300mg,5mg,150,1g,0g,0
Asiago Cheese Loaf,57g,4g,23g,7g,0g,1g,300mg,10mg,150,2g,0g,$3.39
Black Pepper Focaccia Loaf,,3g,26g,5g,0g,1g,390mg,0mg,150,0g,0g,0
Brioche Roll,,7g,31g,7g,5g,1g,300mg,50mg,220,4g,0g,$1.79
Challah Loaf,,5g,29g,6g,4g,1g,270mg,60mg,190,1g,0g,0
Cinnamon Raisin Swirl Loaf,,6g,31g,5g,12g,1g,190mg,30mg,190,3g,0g,$4.69
Classic White Loaf,,2g,28g,5g,2g,1g,280mg,5mg,150,1g,0g,$3.69
Country Rustic XL Loaf,57g,0.5g,26g,5g,0g,1g,270mg,0mg,130,0g,0g,$7.69
Cranberry Walnut Miche Loaf,,2.5g,25g,6g,4g,2g,250mg,0mg,140,0g,0g,$2.99
French Baguette,,0.5g,29g,5g,0g,1g,360mg,0mg,150,0g,0g,$2.99
Honey Wheat Loaf,57g,3g,24g,4g,4g,1g,240mg,0mg,140,1.5g,0g,$3.69
Sea Salt Focaccia Loaf,57g,2g,30g,6g,0g,1g,410mg,0mg,160,0g,0g,$3.09
Sourdough Bread Bowl,,4.5g,130g,27g,1g,4g,1160mg,0mg,670,0g,0g,$3.49
Sourdough Loaf,,0.5g,28g,5g,0g,1g,290mg,0mg,140,0g,0g,$3.59
Sourdough XL Loaf,57g,0.5g,28g,5g,0g,1g,290mg,0mg,140,0g,0g,$4.69
Sprouted Grain Roll,,1g,33g,6g,3g,3g,360mg,0mg,170,0g,0g,$2.99
Tomato Basil XL Loaf,57g,1g,28g,6g,1g,1g,370mg,0mg,150,0g,0g,$4.99
Whole Grain Farmstyle Loaf,,0g,18g,4g,0g,2g,240mg,0mg,90,0g,0g,0
Whole Grain Flatbread,,7g,29g,5g,3g,3g,250mg,15mg,200,4g,0g,$4.99
Whole Grain Pan Loaf,57g,1g,26g,6g,2g,3g,240mg,0mg,130,0g,0g,$3.69
"Agave Lemonade, Large",,0g,59g,0g,56g,0g,15mg,0mg,220,0g,0g,$2.19
"Agave Lemonade, Medium",,0g,37g,0g,35g,0g,10mg,0mg,140,0g,0g,$2.19
"Blood Orange Lemonade, Large",,0g,68g,1g,63g,1g,40mg,0mg,260,0g,0g,0
"Blood Orange Lemonade, Medium",,0g,43g,1g,40g,0g,25mg,0mg,160,0g,0g,0
Bottled Agave Lemonade,,0g,38g,0g,36g,0g,0mg,0mg,140,0g,0g,0
Bottled Passionfruit Papaya Green Tea,,0g,31g,0g,28g,0g,0mg,0mg,120,0g,0g,0
Bottled Water,,0g,0g,0g,0g,0g,10mg,0mg,0,0g,0g,0
"Brewed Iced Tea, Large",,0g,3g,0g,0g,0g,30mg,0mg,0,0g,0g,$6.79
"Brewed Iced Tea, Medium",,0g,2g,0g,0g,0g,20mg,0mg,0,0g,0g,$1.99
"Caffeine Free Diet Pepsi, Large",907g,0g,0g,0g,0g,0g,150mg,0mg,0,0g,0g,0
"Caffeine Free Diet Pepsi, Medium",567g,0g,0g,0g,0g,0g,95mg,0mg,0,0g,0g,0
Caffe Latte,284g,5g,13g,8g,12g,0g,110mg,20mg,130,3g,0g,$4.14
Caffe Mocha,369g,11g,56g,11g,40g,2g,170mg,35mg,370,6g,0g,$7.69
Cappuccino,241g,5g,13g,8g,12g,0g,110mg,20mg,130,3g,0g,$4.14
Caramel Latte,369g,15g,54g,11g,46g,0g,240mg,50mg,390,9g,0g,$4.74
Chai Tea Latte,283g,6g,49g,10g,48g,0g,125mg,25mg,290,4g,0g,$1.79
"Dark Roast Coffee, 12 fl oz",,0g,3g,1g,0g,0g,5mg,0mg,15,0g,0g,0
"Dark Roast Coffee, 16 fl oz",,0g,4g,1g,0g,0g,10mg,0mg,20,0g,0g,0
"Dark Roast Coffee, 20 fl oz",,0g,5g,2g,0g,0g,10mg,0mg,25,0g,0g,0
"Diet Mountain Dew, Large",,0g,1g,0g,1g,0g,150mg,0mg,15,0g,0g,0
"Diet Mountain Dew, Medium",,0g,1g,0g,1g,0g,90mg,0mg,10,0g,0g,0
"Diet Pepsi, Large",907g,0g,0g,0g,0g,0g,150mg,0mg,0,0g,0g,0
"Diet Pepsi, Medium",567g,0g,0g,0g,0g,0g,95mg,0mg,0,0g,0g,0
"Dr. Pepper, Large",907g,0g,104g,0g,102g,0g,115mg,0mg,380,0g,0g,0
"Dr. Pepper, Medium",567g,0g,65g,0g,64g,0g,75mg,0mg,240,0g,0g,0
Espresso,,0g,0g,0g,0g,0g,0mg,0mg,5,0g,0g,$0.50
Frozen Caramel,,23g,82g,7g,69g,0g,190mg,70mg,560,14g,0.5g,$4.79
Frozen Mocha,,19g,84g,7g,63g,2g,115mg,55mg,530,11g,0g,$9.99
Green Passion Smoothie,,0g,51g,2g,47g,2g,30mg,0mg,200,0g,0g,$4.29
"Hazelnut Coffee, 12 fl oz",,0g,2g,1g,0g,0g,5mg,0mg,15,0g,0g,0
"Hazelnut Coffee, 16 fl oz",,0g,3g,1g,0g,0g,10mg,0mg,20,0g,0g,0
"Hazelnut Coffee, 20 fl oz",,0g,4g,2g,0g,0g,10mg,0mg,25,0g,0g,$0.80
Iced Caffe Latte,,6g,16g,10g,15g,0g,140mg,25mg,160,4g,0g,$3.39
Iced Caffe Mocha,,13g,59g,13g,43g,2g,200mg,40mg,400,7g,0g,$3.99
Iced Caramel Latte,,16g,57g,13g,49g,0g,270mg,55mg,430,9g,0g,$3.99
Iced Chai Tea Latte,454g,6g,49g,10g,48g,0g,130mg,25mg,290,4g,0g,$4.74
"Iced Coffee, Large",,0g,4g,1g,0g,0g,10mg,0mg,20,0g,0g,$2.99
"Iced Coffee, Medium",,0g,2g,1g,0g,0g,5mg,0mg,10,0g,0g,$2.69
Kids Organic Apple Juice,255g,0g,29g,0g,26g,0g,25mg,0mg,120,0g,0g,$1.69
"Light Roast Coffee, 12 fl oz",,0g,2g,1g,0g,0g,5mg,0mg,15,0g,0g,0
"Light Roast Coffee, 16 fl oz",,0g,3g,1g,0g,0g,10mg,0mg,20,0g,0g,0
"Light Roast Coffee, 20 fl oz",,0g,4g,2g,0g,0g,10mg,0mg,25,0g,0g,0
"Lipton Brisk Raspberry Tea, Large",,0g,52g,0g,52g,0g,115mg,0mg,200,0g,0g,0
"Lipton Brisk Raspberry Tea, Medium",,0g,33g,0g,33g,0g,70mg,0mg,130,0g,0g,0
Mango Smoothie,460g,5g,50g,13g,44g,2g,50mg,15mg,290,3.5g,0g,$4.29
"Mist Twist, Large",907g,0g,108g,0g,108g,0g,90mg,0mg,410,0g,0g,0
"Mist Twist, Medium",567g,0g,68g,0g,68g,0g,55mg,0mg,260,0g,0g,0
"Mountain Dew, Large",907g,0g,117g,0g,117g,0g,135mg,0mg,430,0g,0g,0
"Mountain Dew, Medium",567g,0g,73g,0g,73g,0g,85mg,0mg,270,0g,0g,0
Organic Chocolate Milk,,2.5g,22g,8g,22g,0g,180mg,15mg,150,1.5g,0g,$1.69
Organic White Milk,,2.5g,12g,8g,12g,0g,130mg,10mg,110,1.5g,0g,0
"Panera Decaf Coffee, 12 fl oz",,0g,2g,1g,0g,0g,5mg,0mg,10,0g,0g,0
"Panera Decaf Coffee, 16 fl oz",,0g,2g,1g,0g,0g,10mg,0mg,15,0g,0g,0
"Panera Decaf Coffee, 20 fl oz",,0g,3g,2g,0g,0g,10mg,0mg,20,0g,0g,0
"Passion Papaya Green Tea, Large",,0g,48g,0g,48g,0g,15mg,0mg,200,0g,0g,0
"Passion Papaya Green Tea, Medium",,0g,30g,0g,30g,0g,10mg,0mg,130,0g,0g,0
Peach & Blueberry Smoothie with Almond Milk,,1g,43g,2g,39g,2g,35mg,0mg,180,0g,0g,0
"Pepsi, Large",907g,0g,110g,0g,110g,0g,85mg,0mg,410,0g,0g,0
"Pepsi, Medium",567g,0g,72g,0g,72g,0g,55mg,0mg,260,0g,0g,$1.99
Premium Orange Juice,,0g,37g,3g,30g,0g,0mg,0mg,160,0g,0g,$2.49
"Prickly Pear Hibiscus Fresca, Large",,0g,37g,2g,31g,2g,25mg,0mg,150,0g,0g,0
"Prickly Pear Hibiscus Fresca, Medium",,0g,24g,1g,20g,1g,15mg,0mg,100,0g,0g,0
Purity Organic Strawberry Paradise Juice,,0g,66g,0g,64g,0g,0mg,0mg,260,0g,0g,0
San Pellegrino Orange,,0g,34g,0g,32g,0g,0mg,0mg,140,0g,0g,0
San Pellegrino Sparkling Water,,0g,0g,0g,0g,0g,10mg,0mg,0,0g,0g,$2.49
Signature Hot Chocolate,,13g,85g,12g,63g,3g,250mg,40mg,510,8g,0g,$2.99
Skinny Caffe Mocha,326g,1.5g,49g,10g,34g,2g,160mg,5mg,240,0.5g,0g,$4.74
Spindrift Lemon Seltzer,,0g,1g,0g,0g,0g,0mg,0mg,0,0g,0g,0
Spindrift Orange Mango,,0g,3g,0g,1g,0g,0mg,0mg,10,0g,0g,0
Spindrift Raspberry Lime Seltzer,,0g,2g,0g,2g,0g,0mg,0mg,10,0g,0g,0
Strawberry Banana Smoothie,,3g,52g,6g,38g,4g,30mg,10mg,250,1.5g,0g,$4.29
Strawberry Smoothie,460g,5g,47g,13g,42g,3g,55mg,15mg,280,3g,0g,$3.79
Superfruit Smoothie with Greek yogurt,,5g,33g,12g,30g,4g,45mg,15mg,230,3g,0g,$4.29
"Tropical Fruit Punch, Large",907g,0g,120g,0g,120g,0g,100mg,0mg,440,0g,0g,0
"Tropical Fruit Punch, Medium",567g,0g,75g,0g,75g,0g,65mg,0mg,280,0g,0g,0
"Bacon Turkey Bravo Sandwich on Tomato Basil, Half",,12g,28g,23g,3g,2g,770mg,50mg,310,4.5g,0g,$5.69
"Bacon Turkey Bravo Sandwich on Tomato Basil, Whole",,24g,57g,46g,6g,3g,1540mg,100mg,630,9g,0g,$7.69
"Chipotle Chicken Avocado Melt on Black Pepper Focaccia, Half",,21g,28g,21g,2g,3g,870mg,70mg,380,7g,0g,0
"Chipotle Chicken Avocado Melt on Black Pepper Focaccia, Whole",,42g,56g,43g,4g,6g,1730mg,140mg,770,14g,0g,0
"Four Cheese Grilled Cheese on Country Rustic, Half",,14g,30g,16g,0g,1g,580mg,50mg,310,9g,0g,0
"Four Cheese Grilled Cheese on Country Rustic, Whole",,28g,60g,31g,1g,3g,1170mg,95mg,630,18g,0.5g,$6.39
"Frontega Chicken Panini on Sea Salt Focaccia, Half",,15g,42g,23g,2g,2g,1020mg,55mg,390,4.5g,0g,$6.59
"Frontega Chicken Panini on Sea Salt Focaccia, Whole",,29g,84g,46g,4g,4g,2040mg,110mg,790,9g,0g,$9.29
"Heritage Ham & Swiss Sandwich on Country Rustic, Half",,13g,25g,21g,3g,1g,740mg,50mg,300,5g,0g,0
"Heritage Ham & Swiss Sandwich on Whole Grain, Whole",,26g,50g,41g,6g,3g,1480mg,100mg,600,11g,0g,0
"Mediterranean Veggie Sandwich on Tomato Basil, Half",,6g,33g,9g,4g,3g,620mg,5mg,220,1.5g,0g,$4.69
"Mediterranean Veggie Sandwich on Tomato Basil, Whole",,13g,67g,18g,8g,6g,1230mg,10mg,440,3g,0g,$6.39
"Napa Almond Chicken Salad Sandwich on Country Rustic, Half",,16g,30g,14g,6g,2g,340mg,35mg,310,2.5g,0g,$5.29
"Napa Almond Chicken Salad Sandwich on Country Rustic, Whole",,32g,60g,28g,12g,5g,680mg,70mg,630,4.5g,0g,$7.19
"Roasted Turkey & Avocado BLT on Country Rustic, Half",,17g,26g,21g,2g,3g,590mg,40mg,340,3.5g,0g,$4.69
