,Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat,Price
688,"Bacon, Egg & Cheese on English Muffin",,19g,37g,18g,4g,1g,800mg,185mg,390,6g,0g,0
689,"Bacon, Egg & Cheese Wake-Up Wrap",,13g,15g,9g,1g,1g,550mg,100mg,210,5g,0g,$3.29
690,Belgian Waffle Breakfast Sandwich with Maple Sugar Bacon,,23g,40g,22g,15g,1g,1040mg,210mg,460,8g,0g,$6.19
691,Big n' Toasted (Regional),,38g,41g,29g,3g,0g,1200mg,360mg,620,12g,0g,$14.99
692,"Biscuit, Bacon, Fried Egg and Cheese",,31g,34g,17g,2g,1g,1180mg,195mg,490,15g,0g,$16.99
693,Chicken Biscuit,,22g,46g,21g,3g,1g,1080mg,45mg,460,11g,0g,$2.99
694,Chicken Croissant Sandwich (Regional),,40g,54g,29g,8g,1g,1200mg,65mg,690,15g,0g,$5.99
695,Double Sausage Breakfast Sandwich,,53g,68g,35g,7g,5g,1970mg,250mg,890,19g,0g,0
696,Egg & Cheese on a Plain Bagel,,13g,66g,19g,6g,4g,1010mg,175mg,460,5g,0g,$1.39
697,Egg & Cheese on Croissant,,31g,40g,15g,6g,1g,640mg,175mg,500,13g,0g,0
698,Egg & Cheese on English Muffin,,15g,37g,14g,4g,1g,640mg,175mg,340,5g,0g,0
699,Grilled Cheese (Regional),,24g,37g,17g,3g,0g,960mg,50mg,430,11g,0g,$2.99
700,Grilled Cheese with Bacon (Regional),,29g,37g,21g,3g,0g,1120mg,60mg,490,13g,0g,0
701,Grilled Cheese with Ham (Regional),,25g,38g,22g,4g,0g,1220mg,60mg,460,12g,0g,$5.99
702,"Ham, Egg & Cheese on a Plain Bagel",,14g,67g,24g,7g,4g,1270mg,190mg,490,5g,0g,0
703,"Ham, Egg & Cheese on Croissant",,32g,41g,19g,7g,1g,900mg,190mg,530,13g,0g,0
704,"Ham, Egg & Cheese on English Muffin",,15g,37g,19g,4g,1g,900mg,190mg,360,5g,0g,$5.59
705,Ham and Cheese Rollups,,13g,27g,13g,2g,1g,1050mg,40mg,280,6g,0g,0
706,Maple Sugar Bacon Breakfast Sandwich,,40g,47g,22g,12g,2g,960mg,195mg,640,16g,0g,$3.69
707,Maple Sugar Bacon Wake-Up Wrap,,15g,18g,11g,4g,1g,630mg,105mg,250,6g,0g,0
708,"Sausage, Egg & Cheese on a Plain Bagel",,33g,68g,27g,7g,4g,1490mg,215mg,680,12g,0g,0
709,"Sausage, Egg & Cheese on Croissant",,51g,41g,22g,6g,1g,1120mg,215mg,710,20g,0g,$5.79
710,"Sausage, Egg & Cheese on English Muffin",,34g,37g,22g,4g,1g,1120mg,215mg,550,12g,0g,0
711,"Sausage, Egg & Cheese Wake-Up Wrap",,20g,15g,11g,1g,1g,710mg,115mg,290,8g,0g,0
712,Sausage Biscuit,,34g,32g,13g,2g,1g,1120mg,45mg,490,16g,0g,0
713,Spam Breakfast Sandwich,,42g,42g,20g,7g,1g,1210mg,200mg,630,16g,0g,$3.69
714,Turkey Sausage Sandwich on English Muffin,,21g,37g,25g,4g,1g,1110mg,240mg,450,7g,0g,$5.79
715,Veggie Egg White Sandwich on an English Muffin,,10g,38g,15g,4g,1g,730mg,20mg,310,5g,0g,0
716,Waffle Breaded Chicken Tenders,,15g,19g,19g,2g,0g,650mg,45mg,290,3g,0g,0
717,"Extra Thick Shake, Chocolate",,20g,92g,19g,85g,3g,320mg,70mg,620,13g,0.5g,0
718,"Extra Thick Shake, Coffee",,19g,55g,18g,51g,1g,310mg,70mg,460,12g,0.5g,0
719,"Extra Thick Shake, Vanilla",,19g,54g,18g,51g,1g,300mg,70mg,460,12g,0.5g,0
720,Frozen Coffee Float,,15g,50g,8g,47g,1g,170mg,55mg,360,9g,0.5g,$4.99
721,M&M Mix-In,,27g,89g,16g,82g,3g,270mg,60mg,660,17g,0.5g,0
722,Orep Mix-In,,21g,70g,14g,55g,2g,360mg,55mg,510,11g,0.5g,0
723,Soft Serve Cone,,9g,35g,9g,27g,1g,160mg,35mg,260,6g,0g,0
724,Strawberry Coolatta Float,,6g,56g,6g,54g,1g,105mg,25mg,300,4g,0g,0
725,"Turbo Shot, Small",,0g,1g,0g,0g,0g,5mg,0mg,5,0g,0g,0
