,Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat,Price
74,Pepperoni - Medium Hand Tossed Slice,91.5g,9g,25g,9g,1g,2g,420mg,20mg,220,4g,0g,0
75,Pepperoni Lover's® - Medium Hand Tossed Slice,105.5g,13g,26g,12g,1g,2g,530mg,35mg,270,6g,0g,0
76,Supreme - Medium Hand Tossed Slice,111.7g,10g,26g,10g,2g,2g,450mg,25mg,240,4.5g,0g,0
77,Ultimate Cheese Lover's® - Medium Hand Tossed Slice,93.4g,10g,25g,11g,1g,2g,390mg,25mg,230,4.5g,0g,0
78,Veggie Lover's® - Medium Hand Tossed Slice,111.3g,6g,27g,8g,2g,2g,370mg,15mg,200,2.5g,0g,0
79,Backyard BBQ Chicken - Medium Thin 'N Crispy® Slice,88.1g,7g,27g,10g,7g,1g,440mg,25mg,210,3g,0g,0
80,Buffalo Chicken - Medium Thin 'N Crispy® Slice,88.3g,5g,25g,9g,3g,1g,620mg,20mg,190,3g,0g,0
81,Cheese - Medium Thin 'N Crispy® Slice,82.8g,7g,22g,10g,3g,2g,440mg,25mg,190,4g,0g,0
82,Chicken-Bacon Parmesan - Medium Thin 'N Crispy® Slice,94.4g,9g,21g,11g,3g,1g,460mg,30mg,210,4g,0g,0
83,Hawaiian Chicken - Medium Thin 'N Crispy® Slice,100.3g,6g,24g,10g,4g,2g,480mg,25mg,180,3g,0g,0
84,Meat Lover's® - Medium Thin 'N Crispy® Slice,100.9g,14g,22g,12g,3g,2g,650mg,35mg,260,6g,0g,0
85,Pepperoni - Medium Thin 'N Crispy® Slice,80.8g,9g,22g,9g,3g,2g,480mg,25mg,210,4g,0g,0
86,Pepperoni Lover's® - Medium Thin 'N Crispy®; Slice,96.3g,13g,22g,12g,3g,2g,600mg,40mg,260,6g,0g,0
87,Supreme - Medium Thin 'N Crispy® Slice,104.5g,10g,23g,10g,3g,2g,490mg,25mg,220,4.5g,0g,0
88,Ultimate Cheese Lover's® - Medium Thin 'N Crispy® Slice,83.7g,10g,22g,11g,3g,1g,450mg,25mg,220,5g,0g,0
