,Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat,Price
29,Chicken Nuggets (10 pc.),153g,33g,26g,19g,0g,2g,1210mg,50mg,480,4.5g,0g,$5.29
30,Chicken Nuggets (20 pc.),306g,66g,51g,38g,1g,4g,2420mg,105mg,950,9g,0g,$3.99
31,Chicken Sandwich,156g,31g,42g,15g,4g,2g,940mg,35mg,510,5g,0g,$1.29
32,Chicken Sandwich with Bacon,169g,35g,42g,21g,4g,2g,1210mg,45mg,560,7g,0.5g,0
33,Crispy Chicken Strips,195g,24g,53g,33g,0g,3g,1580mg,60mg,560,3g,0g,$6.89
34,Fish Sandwich,173g,19g,45g,16g,4g,2g,890mg,30mg,410,3g,0g,0
35,Homestyle Ranch Chicken Club,267g,33g,66g,40g,12g,4g,1880mg,80mg,710,8g,0g,$7.19
36,Jack's Spicy Chicken,232g,29g,48g,26g,5g,2g,770mg,55mg,550,5g,0g,$6.79
37,Jack's Spicy Chicken with Cheese,255g,35g,49g,30g,5g,2g,1060mg,70mg,630,8g,0.5g,0
38,Sourdough Grilled Chicken Club,266g,30g,38g,39g,6g,3g,1500mg,95mg,580,8g,0g,$7.19
39,Bacon Ranch Monster Taco,117g,24g,19g,11g,1g,1g,660mg,30mg,340,6g,0.5g,$1.29
40,Chicken Teriyaki Bowl,499g,6g,134g,27g,35g,5g,1910mg,40mg,690,1g,0g,$6.89
41,Monster Taco,118g,17g,19g,9g,1g,2g,630mg,25mg,270,6g,0.5g,$1.29
42,Nacho Monster Taco,136g,22g,23g,9g,2g,2g,930mg,15mg,330,6g,0.5g,$1.69
43,Chicken Club Salad with Crispy Chicken,375g,28g,36g,32g,4g,5g,1230mg,70mg,510,9g,0g,$5.49
44,Chicken Club Salad with Grilled Chicken,376g,20g,11g,39g,5g,4g,1060mg,105mg,370,9g,0g,0
45,Creamy Southwest Dressing,50g,19g,3g,1g,1g,0g,740mg,20mg,190,3g,0g,0
46,Gourmet Seasoned Croutons,14g,3g,9g,1g,1g,0g,150mg,0mg,70,0g,0g,0
47,Grilled Chicken Salad,372g,9g,13g,30g,6g,5g,750mg,80mg,250,4.5g,0g,$5.49
48,Low Fat Balsamic Vinaigrette Dressing,43g,1.5g,3g,0g,2g,0g,370mg,0mg,25,0g,0g,0
49,Ranch Dressing,50g,25g,5g,1g,1g,0g,410mg,25mg,250,4g,0g,0
50,Southwest Chicken Salad with Crispy Chicken,428g,23g,52g,28g,5g,8g,1260mg,55mg,500,7g,0g,$5.49
51,Southwest Chicken Salad with Grilled Chicken,430g,15g,27g,35g,6g,7g,1090mg,90mg,350,6g,0g,0
52,Spicy Corn Sticks,12g,2.5g,8g,1g,0g,1g,60mg,0mg,60,0g,0g,0
53,Bacon Cheddar Potato Wedges,252g,41g,58g,17g,2g,5g,1250mg,30mg,680,9g,0g,$3.09
54,Chiquita Apple Bites,57g,0g,1g,0g,0g,6g,60mg,0mg,30,0g,0g,0
55,Egg Roll (1 pc.),58g,7g,15g,5g,2g,2g,320mg,5mg,150,1.5g,0g,$1.79
56,Egg Roll (3 pc.),174g,22g,46g,16g,6g,7g,950mg,20mg,440,5g,0g,$4.09
57,"French Fries, Large",176g,25g,75g,6g,1g,5g,1010mg,0mg,550,2.5g,0g,$2.09
58,"French Fries, Medium",137g,20g,58g,5g,0g,4g,780mg,0mg,430,2g,0g,$1.89
59,"French Fries, Small",94g,14g,40g,3g,0g,3g,540mg,0mg,300,1g,0g,$1.69
60,Panko Onion Rings,118g,24g,52g,6g,5g,3g,620mg,0mg,440,2g,0g,$2.29
61,"Seasoned Curly Fries, Large",147g,28g,4g,0g,6g,0g,600mg,1060mg,480,2.5g,0g,$1.69
62,"Seasoned Curly Fries, Medium",130g,25g,46g,5g,0g,4g,940mg,0mg,430,2g,0g,$2.49
63,"Seasoned Curly Fries, Small",85g,16g,30g,3g,0g,3g,610mg,0mg,280,1.5g,0g,$1.99
64,Side Salad,115g,0g,4g,1g,2g,2g,10mg,0mg,20,0g,0g,$1.69
65,Stuffed Jalapenos (3 pc.),71g,12g,21g,6g,2g,1g,730mg,15mg,220,4.5g,0g,$2.19
66,Stuffed Jalapenos (7 pc.),165g,29g,49g,14g,5g,3g,1690mg,40mg,510,10g,0.5g,$4.19
67,"Taco, Regular",81g,9g,16g,6g,1g,2g,360mg,15mg,170,3g,0g,$6.00
68,"Bacon, Egg & Cheese Biscuit",128g,25g,26g,16g,3g,2g,1180mg,240mg,410,12g,0g,0
69,Bacon Breakfast Jack,123g,21g,30g,17g,4g,1g,850mg,240mg,380,7g,0g,0
70,Biscuit,68g,14g,25g,5g,2g,2g,690mg,0mg,260,7g,0g,0
71,Breakfast Jack,132g,18g,30g,16g,4g,1g,840mg,240mg,350,6g,0g,$3.79
72,Extreme Sausage Sandwich,192g,49g,29g,25g,3g,1g,1140mg,295mg,650,16g,0.5g,$4.69
73,Grande Sausage Breakfast Burrito without Salsa,358g,70g,67g,35g,4g,4g,2010mg,390mg,1040,20g,0.5g,0
74,Grande Sausage Breakfast Burrito with Salsa,381g,70g,68g,36g,5g,5g,2130mg,390mg,1040,20g,0.5g,$5.09
75,Grilled Breakfast Sandwich,253g,29g,53g,36g,4g,4g,1810mg,490mg,620,10g,0g,$5.09
76,Hash Browns,64g,13g,17g,2g,0g,2g,350mg,0mg,190,1g,0g,0
77,Jumbo Breakfast Platter with Bacon,247g,29g,47g,23g,7g,3g,1390mg,345mg,540,6g,0g,$4.49
78,Jumbo Breakfast Platter with Sausage,267g,39g,47g,21g,7g,3g,1250mg,360mg,620,9g,0g,0
79,Loaded Breakfast Sandwich,242g,47g,36g,36g,4g,2g,1690mg,515mg,710,16g,0g,$5.09
80,Meat Lovers Breakfast Burrito without Salsa,292g,50g,48g,39g,3g,2g,1590mg,410mg,780,21g,0.5g,0
81,Meat Lovers Breakfast Burrito with Salsa,316g,50g,50g,39g,4g,3g,1710mg,410mg,790,21g,0.5g,$5.09
82,Mini Pancakes,71g,1.5g,28g,4g,6g,1g,350mg,0mg,140,0g,0g,$1.00
83,"Sausage, Egg & Cheese Biscuit",158g,38g,27g,18g,3g,2g,1240mg,265mg,530,16g,0g,$3.99
84,Sausage Biscuit,107g,29g,26g,11g,3g,2g,960mg,30mg,430,12g,0g,0
85,Sausage Breakfast Jack,152g,34g,30g,19g,4g,1g,920mg,265mg,500,11g,0.5g,0
86,Sausage Croissant,159g,39g,32g,19g,3g,2g,760mg,275mg,560,16g,0.5g,$4.69
87,Sourdough Breakfast Melt,152g,21g,35g,20g,4g,2g,1010mg,250mg,410,8g,0g,0
88,Spicy Chicken Biscuit,170g,29g,44g,25g,3g,2g,1110mg,50mg,550,9g,0g,0
89,Supreme Croissant,148g,27g,32g,19g,4g,2g,890mg,260mg,450,12g,0.5g,$4.69
90,Ultimate Breakfast Sandwich,214g,31g,30g,3g,4g,1g,1540mg,490mg,520,11g,0g,$4.89
91,Chick-N-Tater Melt Munchie Meal,1213g,109g,220g,44g,76g,13g,3470mg,120mg,2010,28g,1.5g,0
92,Halfsies (a al carte),122g,21g,46g,5g,0g,4g,810mg,0mg,390,2g,0g,0
93,Halfsies (in Munchie Meal),140g,24g,53g,5g,0g,4g,930mg,0mg,450,2g,0g,0
94,Spicy Nacho Chicken Munchie Meal,1199g,80g,224g,48g,78g,13g,3260mg,80mg,1790,14g,1g,0
95,Sriracha Curly Fry Burger Munchie Meal,1121g,87g,196g,44g,75g,11g,2700mg,105mg,1720,20g,2.5g,0
96,Stacked Grilled Cheese Burger Munchie Meal,1241g,94g,213g,56g,79g,13g,3660mg,130mg,1890,27g,2.5g,0
97,"Blood Orange Fruit Cooler, 16 fl oz",435g,0g,53g,0g,52g,0g,45mg,0mg,200,0g,0g,0
98,"Blood Orange Fruit Cooler, 24 fl oz",641g,0g,78g,0g,77g,0g,65mg,0mg,300,0g,0g,0
99,"Coffee, Decaf, 12 fl oz",340g,0g,0g,0g,0g,0g,5mg,0mg,5,0g,0g,0
100,"Coffee, Decaf, 16 fl oz",454g,0g,0g,1g,0g,0g,10mg,0mg,5,0g,0g,0
101,"Coffee, Regular, 12 fl oz",340g,0g,0g,0g,0g,0g,5mg,0mg,5,0g,0g,0
102,"Coffee, Regular, 16 fl oz",454g,0g,0g,1g,0g,0g,10mg,0mg,5,0g,0g,$1.49
103,"Diet Dr. Pepper, 16 fl oz",479g,0g,0g,0g,0g,0g,95mg,0mg,0,0g,0g,$1.00
104,"Diet Dr. Pepper, 20 fl oz",599g,0g,1g,0g,0g,0g,120mg,0mg,0,0g,0g,0
105,"Diet Dr. Pepper, 30 fl oz",898g,0g,1g,0g,0g,0g,180mg,0mg,0,0g,0g,0
106,"Diet Dr. Pepper, 40 fl oz",1198g,0g,1g,0g,0g,0g,240mg,0mg,0,0g,0g,0
107,"Dr. Pepper, 16 fl oz",499g,0g,53g,0g,52g,0g,60mg,0mg,190,0g,0g,0
108,"Dr. Pepper, 20 fl oz",624g,0g,66g,0g,65g,0g,75mg,0mg,240,0g,0g,0
109,"Dr. Pepper, 30 fl oz",936g,0g,99g,0g,97g,0g,110mg,0mg,370,0g,0g,0
110,"Dr. Pepper, 40 fl oz",1248g,0g,132g,0g,130g,0g,150mg,0mg,490,0g,0g,0
111,"Gold Peak Classic Blend Iced Tea, 16 fl oz",454g,0g,1g,0g,0g,0g,15mg,0mg,5,0g,0g,0
112,"Gold Peak Classic Blend Iced Tea, 20 fl oz",567g,0g,2g,0g,0g,0g,15mg,0mg,5,0g,0g,0
113,"Gold Peak Classic Blend Iced Tea, 30 fl oz",907g,0g,3g,0g,0g,0g,25mg,0mg,10,0g,0g,0
114,"Gold Peak Classic Blend Iced Tea, 40 fl oz",1191g,0g,3g,0g,0g,0g,35mg,0mg,10,0g,0g,$1.89
115,"Iced Coffee, Caramel, 16 fl oz",264g,6g,26g,2g,23g,0g,45mg,15mg,160,4g,0g,0
116,"Iced Coffee, Caramel, 24 fl oz",440g,10g,42g,4g,37g,0g,80mg,25mg,270,7g,0g,0
117,"Iced Coffee, Mocha, 16 fl oz",270g,6g,32g,3g,30g,1g,85mg,15mg,190,4g,0g,0
118,"Iced Coffee, Mocha, 24 fl oz",454g,11g,55g,5g,50g,1g,140mg,25mg,320,7g,0g,0
119,"Iced Coffee, Original, 16 fl oz",295g,9g,21g,3g,17g,0g,70mg,25mg,180,6g,0g,0
120,"Iced Coffee, Original, 24 fl oz",445g,14g,32g,5g,26g,0g,105mg,35mg,270,9g,0g,$2.69
121,"Iced Tea, Mango Flavored, 24 fl oz",344g,0g,21g,0g,19g,0g,15mg,0mg,80,0g,0g,0
122,"Iced Tea, Peach Flavored, 24 fl oz",344g,0g,20g,0g,18g,0g,10mg,0mg,80,0g,0g,0
123,"Iced Tea, Raspberry Flavored, 24 fl oz",344g,0g,21g,0g,19g,0g,15mg,0mg,80,0g,0g,0
124,"Milk, Low Fat",214g,2g,12g,9g,12g,0g,130mg,10mg,110,1.5g,0g,$1.29
125,"Barq's Root Beer with/without Vanilla, 16 fl oz",495g,0g,60g,0g,60g,0g,50mg,0mg,220,0g,0g,0
126,"Barq's Root Beer with/without Vanilla, 20 fl oz",619g,0g,75g,0g,75g,0g,60mg,0mg,280,0g,0g,0
127,"Barq's Root Beer with/without Vanilla, 30 fl oz",928g,0g,112g,0g,112g,0g,90mg,0mg,420,0g,0g,0
128,"Barq's Root Beer with/without Vanilla, 40 fl oz",1237g,0g,150g,0g,150g,0g,120mg,0mg,550,0g,0g,0
129,"Caffeine Free Diet Coke with/without Flavors, 16 fl oz",472g,0g,0g,0g,0g,0g,50mg,0mg,5,0g,0g,0
130,"Caffeine Free Diet Coke with/without Flavors, 20 fl oz",590g,0g,0g,0g,0g,0g,65mg,0mg,10,0g,0g,0
131,"Caffeine Free Diet Coke with/without Flavors, 30 fl oz",885g,0g,0g,0g,0g,0g,95mg,0mg,10,0g,0g,0
132,"Caffeine Free Diet Coke with/without Flavors, 40 fl oz",1181g,0g,1g,0g,0g,0g,125mg,0mg,15,0g,0g,0
133,"Coke with/without Cherry, Lemon, Lime, Orange, Raspberry, Vanilla or Cherry Vanilla, 16 fl oz",494g,0g,56g,0g,56g,0g,50mg,0mg,210,0g,0g,0
134,"Coke with/without Cherry, Lemon, Lime, Orange, Raspberry, Vanilla or Cherry Vanilla, 20 fl oz",617g,0g,70g,0g,70g,0g,60mg,0mg,260,0g,0g,0
135,"Coke with/without Cherry, Lemon, Lime, Orange, Raspberry, Vanilla or Cherry Vanilla, 30 fl oz",925g,0g,105g,0g,105g,0g,90mg,0mg,390,0g,0g,0
136,"Coke with/without Cherry, Lemon, Lime, Orange, Raspberry, Vanilla or Cherry Vanilla, 40 fl oz",1234g,0g,139g,0g,139g,0g,120mg,0mg,520,0g,0g,0
137,"Coke Zero with/without Orange, Cherry, Raspberry, Lemon, Lime, Vanilla or Cherry Vanilla, 16 fl oz",472g,0g,0g,0g,0g,0g,50mg,0mg,5,0g,0g,0
138,"Coke Zero with/without Orange, Cherry, Raspberry, Lemon, Lime, Vanilla or Cherry Vanilla, 20 fl oz",590g,0g,0g,0g,0g,0g,65mg,0mg,5,0g,0g,0
139,"Coke Zero with/without Orange, Cherry, Raspberry, Lemon, Lime, Vanilla or Cherry Vanilla, 30 fl oz",885g,0g,0g,0g,0g,0g,95mg,0mg,10,0g,0g,0
140,"Coke Zero with/without Orange, Cherry, Raspberry, Lemon, Lime, Vanilla or Cherry Vanilla, 40 fl oz",1181g,0g,0g,0g,0g,0g,125mg,0mg,15,0g,0g,0
141,"Dasani Sparkling Seltzer Water with/without Lemon Lime, 16 fl oz",473g,0g,0g,0g,0g,0g,50mg,0mg,0,0g,0g,0
142,"Dasani Sparkling Seltzer Water with/without Lemon Lime, 20 fl oz",591g,0g,0g,0g,0g,0g,60mg,0mg,5,0g,0g,0
143,"Dasani Sparkling Seltzer Water with/without Lemon Lime, 30 fl oz",887g,0g,0g,0g,0g,0g,90mg,0mg,10,0g,0g,0
144,"Dasani Sparkling Seltzer Water with/without Lemon Lime, 40 fl oz",1183g,0g,0g,0g,0g,0g,120mg,0mg,10,0g,0g,0
145,"Dasani with Cherry, Grape, Lemon, Lime, Orange, Peach, Raspberry or Strawberry, 16 fl oz",472g,0g,1g,0g,0g,0g,50mg,0mg,0,0g,0g,0
146,"Dasani with Cherry, Grape, Lemon, Lime, Orange, Peach, Raspberry or Strawberry, 20 fl oz",590g,0g,1g,0g,0g,0g,65mg,0mg,0,0g,0g,0
147,"Dasani with Cherry, Grape, Lemon, Lime, Orange, Peach, Raspberry or Strawberry, 30 fl oz",885g,0g,1g,0g,0g,0g,95mg,5mg,5,0g,0g,0
148,"Dasani with Cherry, Grape, Lemon, Lime, Orange, Peach, Raspberry or Strawberry, 40 fl oz",1181g,0g,2g,0g,0g,0g,130mg,5mg,10,0g,0g,0
149,"Diet Barq's Root Beer with/without Vanilla, 16 fl oz",472g,0g,0g,0g,0g,0g,55mg,0mg,0,0g,0g,0
150,"Diet Barq's Root Beer with/without Vanilla, 20 fl oz",590g,0g,0g,0g,0g,0g,65mg,0mg,0,0g,0g,0
151,"Diet Barq's Root Beer with/without Vanilla, 30 fl oz",885g,0g,0g,0g,0g,0g,100mg,0mg,5,0g,0g,0
152,"Diet Barq's Root Beer with/without Vanilla, 40 fl oz",1181g,0g,1g,0g,0g,0g,130mg,0mg,10,0g,0g,0
153,"Diet Coke with/without Orange, Cherry, Raspberry, Lemon, Lime, Vanilla or Cherry Vanilla, 16 fl oz",472g,0g,0g,0g,0g,0g,50mg,0mg,5,0g,0g,0
154,"Diet Coke with/without Orange, Cherry, Raspberry, Lemon, Lime, Vanilla or Cherry Vanilla, 20 fl oz",590g,0g,0g,0g,0g,0g,65mg,0mg,10,0g,0g,0
155,"Diet Coke with/without Orange, Cherry, Raspberry, Lemon, Lime, Vanilla or Cherry Vanilla, 30 fl oz",885g,0g,0g,0g,0g,0g,95mg,0mg,10,0g,0g,0
156,"Diet Coke with/without Orange, Cherry, Raspberry, Lemon, Lime, Vanilla or Cherry Vanilla, 40 fl oz",1181g,0g,1g,0g,0g,0g,125mg,0mg,15,0g,0g,0
157,"Diet Seagram's Ginger Ale with/without Cherry, Lime, Orange, Raspberry or Vanilla, 16 fl oz",472g,0g,1g,0g,0g,0g,50mg,0mg,10,0g,0g,0
158,"Diet Seagram's Ginger Ale with/without Cherry, Lime, Orange, Raspberry or Vanilla, 20 fl oz",590g,0g,1g,0g,0g,0g,60mg,0mg,10,0g,0g,0
159,"Diet Seagram's Ginger Ale with/without Cherry, Lime, Orange, Raspberry or Vanilla, 30 fl oz",885g,0g,1g,0g,0g,0g,95mg,0mg,20,0g,0g,0
160,"Diet Seagram's Ginger Ale with/without Cherry, Lime, Orange, Raspberry or Vanilla, 40 fl oz",1181g,0g,2g,0g,0g,0g,125mg,0mg,25,0g,0g,0
161,"Fanta Cherry, Fruit Punch, Grape, Lime, Orange, Peach, Raspberry or Strawberry, 16 fl oz",495g,0g,59g,0g,59g,0g,55mg,0mg,220,0g,0g,0
162,"Fanta Cherry, Fruit Punch, Grape, Lime, Orange, Peach, Raspberry or Strawberry, 20 fl oz",619g,0g,74g,0g,74g,0g,70mg,0mg,270,0g,0g,0
163,"Fanta Cherry, Fruit Punch, Grape, Lime, Orange, Peach, Raspberry or Strawberry, 30 fl oz",928g,0g,111g,0g,111g,0g,105mg,0mg,410,0g,0g,0
164,"Fanta Cherry, Fruit Punch, Grape, Lime, Orange, Peach, Raspberry or Strawberry, 40 fl oz",1237g,0g,149g,0g,148g,0g,140mg,0mg,550,0g,0g,0
165,"Fanta Zero Cherry, Fruit Punch, Grape, Lime, Orange, Peach, Raspberry or Strawberry, 16 fl oz",472g,0g,1g,0g,0g,0g,60mg,0mg,10,0g,0g,0
166,"Fanta Zero Cherry, Fruit Punch, Grape, Lime, Orange, Peach, Raspberry or Strawberry, 20 fl oz",590g,0g,1g,0g,0g,0g,70mg,0mg,10,0g,0g,0
167,"Fanta Zero Cherry, Fruit Punch, Grape, Lime, Orange, Peach, Raspberry or Strawberry, 30 fl oz",885g,0g,1g,0g,0g,0g,110mg,0mg,15,0g,0g,0
168,"Fanta Zero Cherry, Fruit Punch, Grape, Lime, Orange, Peach, Raspberry or Strawberry, 40 fl oz",1181g,0g,2g,0g,0g,0g,140mg,0mg,25,0g,0g,0
169,"Fruitwater Fizzy, Any Flavor, 16 fl oz",472g,0g,1g,0g,0g,0g,50mg,0mg,10,0g,0g,0
170,"Fruitwater Fizzy, Any Flavor, 20 fl oz",590g,0g,1g,0g,0g,0g,60mg,0mg,15,0g,0g,0
171,"Fruitwater Fizzy, Any Flavor, 30 fl oz",885g,0g,1g,0g,0g,0g,95mg,0mg,20,0g,0g,0
172,"Fruitwater Fizzy, Any Flavor, 40 fl oz",1181g,0g,2g,0g,0g,0g,125mg,0mg,25,0g,0g,0
173,"Hi-C Any Flavor, 16 fl oz",496g,0g,61g,0g,61g,0g,55mg,0mg,240,0g,0g,0
174,"Hi-C Any Flavor, 20 fl oz",620g,0g,76g,0g,76g,0g,70mg,0mg,300,0g,0g,0
175,"Hi-C Any Flavor, 30 fl oz",930g,0g,114g,0g,113g,0g,105mg,0mg,450,0g,0g,0
176,"Hi-C Any Flavor, 40 fl oz",1240g,0g,151g,0g,151g,0g,140mg,0mg,600,0g,0g,0
177,"Mello Yello with/without Flavors, 16 fl oz",490g,0g,46g,0g,46g,0g,50mg,0mg,170,0g,0g,0
178,"Mello Yello with/without Flavors, 20 fl oz",613g,0g,57g,0g,57g,0g,65mg,0mg,210,0g,0g,0
179,"Mello Yello with/without Flavors, 40 fl oz",1226g,0g,114g,0g,114g,0g,130mg,0mg,430,0g,0g,0
180,"Mello Yello with/withouttFlavors, 30 fl oz",919g,0g,86g,0g,86g,0g,95mg,0mg,320,0g,0g,0
181,"Mello Yello Zero with/without Flavors, 16 fl oz",472g,0g,1g,0g,0g,0g,55mg,0mg,5,0g,0g,0
182,"Mello Yello Zero with/without Flavors, 20 fl oz",590g,0g,1g,0g,0g,0g,70mg,0mg,10,0g,0g,0
183,"Mello Yello Zero with/without Flavors, 30 fl oz",885g,0g,1g,0g,0g,0g,105mg,0mg,10,0g,0g,0
184,"Mello Yello Zero with/without Flavors, 40 fl oz",1181g,0g,2g,0g,0g,0g,135mg,0mg,15,0g,0g,0
185,"Minute Maid Lemonade with/without Lime, Orange, Peach, Raspberry or Strawberry, 16 fl oz",494g,0g,56g,0g,56g,0g,95mg,0mg,220,0g,0g,0
186,"Minute Maid Lemonade with/without Lime, Orange, Peach, Raspberry or Strawberry, 20 fl oz",618g,0g,70g,0g,70g,0g,120mg,0mg,270,0g,0g,0
187,"Minute Maid Lemonade with/without Lime, Orange, Peach, Raspberry or Strawberry, 30 fl oz",927g,0g,105g,0g,104g,0g,180mg,0mg,410,0g,0g,0
188,"Minute Maid Lemonade with/without Lime, Orange, Peach, Raspberry or Strawberry, 40 fl oz",1236g,0g,139g,0g,139g,0g,240mg,0mg,550,0g,0g,0
189,"Minute Maid Light Lemonade with/without Lime, Orange, Peach, Raspberry or Strawberry, 16 fl oz",473g,0g,3g,0g,0g,0g,100mg,0mg,15,0g,0g,0
190,"Minute Maid Light Lemonade with/without Lime, Orange, Peach, Raspberry or Strawberry, 20 fl oz",591g,0g,3g,0g,0g,0g,125mg,0mg,20,0g,0g,0
191,"Minute Maid Light Lemonade with/without Lime, Orange, Peach, Raspberry or Strawberry, 30 fl oz",887g,0g,5g,0g,0g,0g,190mg,0mg,30,0g,0g,0
192,"Minute Maid Light Lemonade with/without Lime, Orange, Peach, Raspberry or Strawberry, 40 fl oz",1183g,0g,6g,0g,0g,0g,250mg,0mg,40,0g,0g,0
193,"Minute Maid Light Pink Lemonade, 16 fl oz",473g,0g,3g,0g,0g,0g,95mg,0mg,10,0g,0g,0
194,"Minute Maid Light Pink Lemonade, 20 fl oz",591g,0g,3g,0g,0g,0g,120mg,0mg,15,0g,0g,0
195,"Minute Maid Light Pink Lemonade, 30 fl oz",887g,0g,5g,0g,0g,0g,180mg,0mg,20,0g,0g,0
196,"Minute Maid Light Pink Lemonade, 40 fl oz",1183g,0g,6g,0g,0g,0g,240mg,0mg,30,0g,0g,0
197,"Minute Maid Pink Lemonade, 16 fl oz",494g,0g,56g,0g,56g,0g,95mg,0mg,210,0g,0g,0
198,"Minute Maid Pink Lemonade, 20 fl oz",618g,0g,70g,0g,70g,0g,115mg,0mg,270,0g,0g,0
199,"Minute Maid Pink Lemonade, 30 fl oz",927g,0g,105g,0g,104g,0g,170mg,0mg,400,0g,0g,0
200,"Minute Maid Pink Lemonade, 40 fl oz",1236g,0g,139g,0g,139g,0g,230mg,0mg,540,0g,0g,0
201,"POWERade Cherry, Fruit Punch, Grape, Lemon, Lime, Orange, Raspberry or Strawberry, 16 fl oz",485g,0g,34g,0g,34g,0g,150mg,0mg,130,0g,0g,0
202,"POWERade Cherry, Fruit Punch, Grape, Lemon, Lime, Orange, Raspberry or Strawberry, 20 fl oz",607g,0g,42g,0g,42g,0g,190mg,0mg,160,0g,0g,0
203,"POWERade Cherry, Fruit Punch, Grape, Lemon, Lime, Orange, Raspberry or Strawberry, 30 fl oz",910g,0g,63g,0g,63g,0g,290mg,0mg,250,0g,0g,0
204,"POWERade Cherry, Fruit Punch, Grape, Lemon, Lime, Orange, Raspberry or Strawberry, 40 fl oz",1214g,0g,84g,0g,84g,0g,390mg,0mg,330,0g,0g,0
205,"POWERade Zero Cherry, Fruit Punch, Grape, Lemon, Lime, Orange, Raspberry or Strawberry, 16 fl oz",473g,0g,1g,0g,0g,0g,150mg,0mg,10,0g,0g,0
206,"POWERade Zero Cherry, Fruit Punch, Grape, Lemon, Lime, Orange, Raspberry or Strawberry, 20 fl oz",591g,0g,2g,0g,0g,0g,190mg,0mg,10,0g,0g,0
207,"POWERade Zero Cherry, Fruit Punch, Grape, Lemon, Lime, Orange, Raspberry or Strawberry, 30 fl oz",886g,0g,2g,0g,0g,0g,290mg,0mg,15,0g,0g,0
208,"POWERade Zero Cherry, Fruit Punch, Grape, Lemon, Lime, Orange, Raspberry or Strawberry, 40 fl oz",1182g,0g,3g,0g,0g,0g,390mg,0mg,20,0g,0g,0
