,Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat,Price
606,Pasta Primavera in Dish,337g,27g,61g,16g,5g,3g,790mg,65mg,550,16g,1g,$1.79
607,BBQ Wings,118g,13g,18g,13g,10g,0g,840mg,85mg,240,3.5g,0g,0
608,Boneless Chicken,75g,7g,18g,9g,1g,0g,660mg,35mg,170,1.5g,0g,$25.99
609,Classic Hot Buffalo Specialty Chicken,85g,10g,14g,9g,1g,1g,1110mg,35mg,180,3.5g,0g,$0.75
610,Crispy Bacon & Tomato Specialty Chicken,90g,17g,15g,11g,1g,0g,840mg,45mg,250,4.5g,0g,$5.99
611,Fire Wings,118g,13g,8g,13g,1g,1g,1690mg,85mg,200,3.5g,0g,0
612,Hot Wings,118g,13g,8g,13g,1g,1g,1660mg,85mg,200,3.5g,0g,$25.99
613,Mild Wings,118g,13g,8g,13g,1g,0g,1400mg,85mg,200,3.5g,0g,0
614,Plain Wings,90g,13g,7g,13g,0g,0g,660mg,85mg,190,3.5g,0g,0
615,Red BBQ Wings,118g,13g,15g,13g,7g,0g,940mg,85mg,230,3.5g,0g,$0.99
616,Spicy Jalapeno & Pineapple Specialty Chicken,90g,8g,22g,9g,7g,1g,660mg,35mg,180,2.5g,0g,0
617,Sweet BBQ Bacon Specialty Chicken,85g,10g,20g,11g,6g,0g,790mg,40mg,210,3.5g,0g,0
618,Sweet Mango Habanero Wings,118g,13g,20g,13g,11g,0g,720mg,85mg,240,3.5g,0g,0
619,Chicken Apple Pecan Salad,170g,4.5g,23g,13g,14g,4g,350mg,40mg,190,2.5g,0g,$6.49
620,Chicken Caesar Salad,198g,7g,15g,16g,3g,2g,520mg,45mg,210,3.5g,0g,$6.49
621,Classic Garden Salad,244g,9g,17g,8g,6g,4g,220mg,20mg,200,4.5g,0g,$6.49
622,Ken's Caesar Dressing,43g,23g,2g,1g,1g,0g,400mg,5mg,210,3.5g,0g,$0.59
623,Ken's Golden Italian Dressing,43g,17g,4g,0g,3g,0g,390mg,0mg,160,2.5g,0g,$0.59
624,Ken's Lite Balsamic with Olive Oil Vinaigrette,43g,9g,5g,0g,3g,0g,370mg,0mg,90,1.5g,0g,0
625,Ken's Ranch Dressing,43g,21g,2g,1g,2g,0g,280mg,15mg,200,3g,0g,0
626,Marzetti Balsamic Vinaigrette Dressing,43g,12g,4g,0g,4g,0g,470mg,0mg,120,2g,0g,$0.59
627,Marzetti Cardini Caesar Dressing,43g,25g,1g,1g,0g,0g,280mg,45mg,230,4g,0g,0
628,Marzetti Garden Ranch Dressing,43g,24g,2g,1g,1g,0g,400mg,10mg,220,3.5g,0g,$0.59
629,Marzetti Golden Italian Dressing,43g,14g,4g,0g,3g,0g,320mg,0mg,140,2g,0g,0
630,Cinnamon Bread Twists,73g,12g,31g,5g,5g,1g,170mg,0mg,250,4.5g,0g,0
631,Garlic Bread Twists,67g,11g,27g,5g,1g,1g,220mg,0mg,220,4.5g,0g,$4.99
632,Jalapeno Bacon Stuffed Cheesy Bread,60g,8g,17g,7g,1g,1g,370mg,20mg,170,3.5g,0g,0
633,Parmesan Bread Bites,67g,10g,27g,5g,1g,1g,220mg,0mg,220,4.5g,0g,$0.99
634,Parmesan Bread Twists,69g,11g,27g,5g,1g,1g,240mg,0mg,230,4.5g,0g,0
635,Spinach & Feta Stuffed Cheesy Bread,57g,7g,17g,7g,1g,1g,270mg,15mg,160,3g,0g,0
636,Stuffed Cheesy Bread,54g,7g,17g,6g,1g,1g,250mg,15mg,150,3g,0g,$5.99
637,BBQ Dipping Cup,35g,0g,14g,0g,13g,0g,240mg,0mg,60,0g,0g,$0.59
638,Blue Cheese Dipping Cup,35g,21g,2g,1g,1g,0g,270mg,20mg,200,3.5g,0g,$0.59
639,Garlic Dipping Cup,28g,28g,0g,0g,0g,0g,160mg,0mg,250,5g,0g,$0.59
640,Kicker Hot Dipping Cup,35g,3.5g,2g,0g,0g,1g,1130mg,0mg,45,0.5g,0g,$0.59
641,Marinara Dipping Cup,57g,0g,6g,1g,4g,1g,290mg,0mg,30,0g,0g,$0.59
642,Nacho Cheese Dipping Cup,57g,8g,5g,6g,0g,1g,830mg,25mg,120,5g,0g,$0.75
643,Ranch Dipping Cup,35g,17g,1g,0g,1g,0g,290mg,5mg,160,2.5g,0g,$0.59
644,Sweet Icing Dipping Cup,64g,4g,51g,0g,50g,0g,110mg,0mg,230,0.5g,0g,$0.59
645,Sweet Mango Habanero Dipping Cup,35g,0g,17g,0g,14g,0g,65mg,0mg,60,0g,0g,$0.59
646,Ben & Jerry's Cherry Garcia Ice Cream,107g,15g,27g,4g,23g,1g,40mg,70mg,260,9g,1g,0
647,Ben & Jerry's Chocolate Chip Cookie Dough Ice Cream,104g,15g,32g,4g,25g,0g,50mg,75mg,280,9g,1g,0
648,Ben & Jerry's Chocolate Fudge Brownie Ice Cream,105g,13g,30g,5g,27g,2g,70mg,50mg,260,8g,0g,0
649,Breyers Chocolate Ice Cream,66g,7g,17g,2g,16g,1g,55mg,20mg,140,5g,0g,0
650,Breyers Natural Vanilla Ice Cream,66g,7g,14g,2g,14g,0g,35mg,20mg,130,4g,0g,0
651,Chocolate Lava Crunch Cake,85g,17g,47g,4g,31g,1g,150mg,60mg,350,10g,0g,$4.99
652,Cinnamon Bread Twists,73g,12g,31g,5g,5g,1g,170mg,0mg,250,4.5g,0g,0
653,Dipped Chocolate Chunk Cookie,85g,18g,55g,4g,35g,3g,310mg,10mg,380,12g,0g,0
654,Marbled Cookie Brownie,42g,9g,25g,2g,18g,1g,120mg,20mg,190,3.5g,0g,$6.49
