Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat,Price
"Frosted Sunrise, Large",,7g,74g,9g,58g,5g,25mg,0mg,390,0g,0g,0
"Frosted Sunrise, Small",,5g,60g,7g,47g,4g,135mg,20mg,320,3.5g,0g,0
"Icedream Cone, Large",,6g,45g,7g,38g,0g,170mg,20mg,260,3.5g,0g,$1.85
"Icedream Cone, Small",,4g,31g,5g,25g,0g,115mg,15mg,170,2g,0g,$1.35
Icedream Cup,,7g,50g,8g,49g,0g,200mg,25mg,290,5g,0g,$0.25
"Strawberry Milkshake, Large",,25g,113g,15g,101g,1g,480mg,85mg,720,15g,0g,0
"Strawberry Milkshake, Small",,21g,85g,12g,77g,1g,380mg,70mg,570,13g,0g,0
"Vanilla Milkshake, Large",,25g,86g,15g,85g,0g,470mg,85mg,620,15g,0g,0
"Vanilla Milkshake, Small",,21g,67g,11g,66g,0g,370mg,70mg,500,13g,0g,$1.59
"Coca-Cola, Large",,0g,69g,0g,69g,0g,25mg,0mg,250,0g,0g,0
"Coca-Cola, Medium",,0g,47g,0g,47g,0g,15mg,0mg,170,0g,0g,0
"Coca-Cola, Small",,0g,34g,0g,34g,0g,40mg,0mg,130,0g,0g,0
"Coffee, Large",,0g,0g,1g,0g,0g,10mg,0mg,5,0g,0g,$2.15
"Coffee, Medium",,0g,0g,1g,0g,0g,10mg,0mg,5,0g,0g,$1.95
"Coffee, Small",,0g,0g,0g,0g,0g,5mg,0mg,5,0g,0g,$12.75
"Diet Coke, Large",,0g,0g,0g,0g,0g,80mg,0mg,0,0g,0g,0
"Diet Coke, Medium",,0g,0g,0g,0g,0g,5mg,0mg,0,0g,0g,0
"Diet Coke, Small",,0g,0g,0g,0g,0g,5mg,0mg,0,0g,0g,0
"Diet Lemonade, Large",,0g,9g,0g,3g,0g,15mg,0mg,30,0g,0g,0
"Diet Lemonade, Medium",,0g,6g,0g,2g,0g,10mg,0mg,20,0g,0g,0
"Diet Lemonade, Small",,0g,4g,0g,2g,0g,10mg,0mg,15,0g,0g,0
"Dr Pepper, Large",,0g,70g,0g,70g,0g,90mg,0mg,260,0g,0g,0
"Dr Pepper, Medium",,0g,48g,0g,48g,0g,60mg,0mg,180,0g,0g,0
"Dr Pepper, Small",,0g,35g,0g,35g,0g,45mg,0mg,130,0g,0g,0
Honest Kids Apple Juice,,0g,9g,0g,9g,0g,15mg,0mg,35,0g,0g,$1.09
"Lemonade, Large",,0g,90g,0g,85g,0g,15mg,0mg,340,0g,0g,0
"Lemonade, Medium",,0g,61g,0g,58g,0g,10mg,0mg,230,0g,0g,0
"Lemonade, Small",,0g,45g,0g,43g,0g,10mg,0mg,170,0g,0g,0
"Original Iced Coffee, Large",,3g,33g,6g,31g,0g,85mg,10mg,180,2g,0g,0
"Original Iced Coffee, Small",,2.5g,26g,5g,25g,0g,70mg,10mg,150,1.5g,0g,0
Simply Orange Juice,,0g,38g,3g,35g,2g,0mg,0mg,160,0g,0g,$2.15
"Sprite, Large",,0g,65g,0g,57g,0g,55mg,0mg,260,0g,0g,$1.85
"Sprite, Medium",,0g,44g,0g,39g,0g,40mg,0mg,170,0g,0g,$1.59
"Sprite, Small",,0g,32g,0g,29g,0g,30mg,0mg,130,0g,0g,$1.35
"Sweet Iced Tea, Large",,0g,57g,0g,57g,0g,15mg,0mg,220,0g,0g,0
"Sweet Iced Tea, Medium",,0g,31g,0g,30g,0g,10mg,0mg,120,0g,0g,0
"Sweet Iced Tea, Small",,0g,24g,0g,24g,0g,5mg,0mg,90,0g,0g,$4.50
"Unsweetened Iced Tea, Large",,0g,0g,0g,0g,0g,20mg,0mg,0,0g,0g,0
"Unsweetened Iced Tea, Medium",,0g,0g,0g,0g,0g,10mg,0mg,0,0g,0g,$1.59
"Unsweetened Iced Tea, Small",,0g,0g,0g,0g,0g,10mg,0mg,0,0g,0g,0
"Vanilla Iced Coffee, Large",,3g,38g,6g,35g,0g,85mg,10mg,200,2g,0g,$2.65
"Vanilla Iced Coffee, Small",,2.5g,30g,5g,28g,0g,70mg,10mg,160,1.5g,0g,0
Avocado Lime Ranch Dressing,,32g,3g,1g,2g,0g,520mg,25mg,310,5g,0g,0
Chick-fil-A Sauce,,13g,6g,0g,6g,0g,170mg,10mg,140,2g,0g,0
Chili Lime Vinaigrette Dressing,,0g,9g,0g,7g,1g,390mg,0mg,60,0g,0g,0
Creamy Salsa Dressing,,31g,3g,1g,1g,0g,640mg,25mg,290,4.5g,0g,0
Fat Free Honey Mustard Dressing,,0g,22g,0g,20g,1g,330mg,0mg,90,0g,0g,$0.46
Garlic & Herb Ranch Dressing,,29g,2g,1g,1g,0g,460mg,25mg,280,5g,0g,0
Garlic & Herb Ranch Sauce,,14g,1g,0g,1g,0g,230mg,15mg,140,2.5g,0g,0
Honey Mustard Sauce,,0g,11g,0g,10g,0g,150mg,0mg,45,0g,0g,$1.95
Honey Roasted BBQ Sauce,,5g,2g,0g,2g,0g,70mg,5mg,60,1g,0g,0
Light Balsamic Vinaigrette Dressing,,4g,10g,0g,9g,0g,360mg,0mg,80,0.5g,0g,0
Light Italian Dressing,,1.5g,3g,0g,2g,0g,470mg,0mg,25,0g,0g,0
Polynesian Sauce,,6g,13g,0g,13g,0g,210mg,0mg,110,1g,0g,$1.29
Smokehouse Barbeque Sauce,,0g,8g,0g,8g,0g,260mg,0mg,35,0g,0g,0
Sweet & Spicy Sriracha Sauce,,0g,10g,0g,10g,0g,380mg,0mg,45,0g,0g,0
Zesty Apple Cider Vinaigrette,,19g,16g,0g,15g,0g,460mg,0mg,230,3g,0g,0
Zesty Buffalo Sauce,,4.5g,1g,0g,0g,0g,710mg,5mg,50,1g,0g,0
