Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat
Kids Hamburger,99g,10g,26g,13g,6g,1g,380mg,35mg,240,3.5g,0.5g
Kids Mott's Natural Applesauce,111g,0g,13g,0g,11g,1g,0mg,0mg,50,0g,0g
Kids Oatmeal,167g,3g,32g,4g,12g,3g,260mg,5mg,170,1.5g,0g
Kids PB&J Jamwich,79g,16g,33g,11g,11g,4g,290mg,0mg,300,3g,0g
Kids Soft Serve Cone,120g,4.5g,32g,5g,24g,0g,150mg,20mg,190,3g,0g
Buttery Garlic Croutons,14g,2.5g,9g,1g,1g,0g,180mg,10mg,60,0g,0g
Cheesy Tots,128g,15g,34g,9g,0g,3g,780mg,0mg,310,1g,0g
"Club Salad with Crispy Chicken, No Dressing",308g,33g,31g,31g,5g,3g,1380mg,95mg,540,10g,0g
"Club Salad with Grilled Chicken, No Dressing",334g,23g,16g,44g,5g,7g,1220mg,120mg,440,9g,0g
"French Fries, Large (Salted)",173g,19g,60g,6g,0g,4g,640mg,0mg,430,3.5g,0g
"French Fries, Medium (Salted)",153g,17g,53g,5g,0g,4g,570mg,0mg,380,3g,0g
"French Fries, Small (Salted)",128g,14g,44g,4g,0g,3g,480mg,0mg,320,2.5g,0g
"French Fries, Value (Salted)",89g,10g,31g,3g,0g,2g,330mg,0mg,220,1.5g,0g
"Garden Chicken Salad with Crispy Chicken, No Dressing",287g,25g,31g,25g,4g,3g,930mg,75mg,440,7g,0g
"Garden Chicken Salad with Grilled Chicken, No Dressing",313g,15g,16g,39g,4g,7g,770mg,100mg,340,6g,0g
"Garden Side Salad, No Dressing",99g,4g,3g,4g,2g,1g,95mg,10mg,60,2.5g,0g
Ken's Golden Italian Dressing,43g,17g,4g,0g,3g,0g,380mg,0mg,160,2.5g,0g
Ken's Lite Honey Balsamic Vinaigrette,43g,8g,14g,0g,11g,0g,220mg,0mg,120,1g,0g
Ken's Ranch Dressing,43g,28g,2g,1g,2g,0g,240mg,10mg,260,4g,0g
"Onion Rings, Large",142g,25g,64g,5g,7g,5g,1310mg,0mg,500,4.5g,0g
"Onion Rings, Medium",117g,21g,53g,4g,5g,4g,1080mg,0mg,410,3.5g,0g
"Onion Rings, Small",91g,16g,41g,3g,4g,3g,840mg,0mg,320,3g,0g
"Onion Rings, Value",43g,8g,19g,1g,2g,1g,400mg,0mg,150,1.5g,0g
"Bacon, Egg & Cheese Biscuit",152g,26g,29g,13g,3g,1g,1270mg,170mg,400,13g,0g
BK Ultimate Breakfast Platter,487g,70g,122g,29g,33g,5g,2550mg,380mg,1230,23g,0.5g
"Croissan'wich Bacon, Egg & Cheese",132g,21g,30g,14g,4g,1g,760mg,170mg,370,9g,0g
Croissan'wich Egg & Cheese,125g,18g,29g,12g,4g,1g,610mg,160mg,340,8g,0g
"Croissan'wich Ham, Egg & Cheese",156g,19g,30g,17g,5g,1g,1030mg,175mg,370,8g,0g
"Croissan'wich Sausage, Egg & Cheese",169g,33g,30g,19g,4g,1g,930mg,195mg,500,13g,0g
Egg-Normous Burrito,371g,57g,68g,38g,5g,7g,2460mg,375mg,940,20g,1g
"French Toast Sticks, 3 Piece",65g,11g,29g,3g,8g,1g,260mg,0mg,230,2g,0g
"French Toast Sticks, 5 Piece",109g,18g,49g,5g,13g,2g,430mg,0mg,380,3g,0g
Fully Loaded Biscuit,238g,45g,31g,28g,4g,1g,2190mg,225mg,640,20g,0g
Fully Loaded Croissan'wich,218g,40g,31g,28g,5g,1g,1680mg,225mg,610,17g,0.5g
"Ham, Egg, & Cheese Biscuit",176g,24g,29g,17g,3g,1g,1550mg,175mg,400,12g,0g
"Hash Browns, Large",225g,44g,65g,5g,0g,9g,1530mg,0mg,670,9g,0g
"Hash Browns, Medium",169g,33g,48g,4g,0g,7g,1140mg,0mg,500,7g,0g
"Hash Browns, Small",84g,16g,24g,2g,0g,3g,580mg,0mg,250,3.5g,0g
