Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat
"French Vanilla Swirl Frozen Coffee with Cream, Small",N/A,21g,104g,6g,98g,0g,140mg,60mg,630,12g,2.5g
"French Vanilla Swirl Frozen Coffee with Skim Milk, Large",N/A,4.5g,202g,11g,192g,1g,220mg,15mg,900,3g,1g
"French Vanilla Swirl Frozen Coffee with Skim Milk, Medium",N/A,4g,152g,9g,144g,1g,170mg,10mg,680,2.5g,1g
"French Vanilla Swirl Frozen Coffee with Skim Milk, Small",N/A,4g,106g,6g,100g,0g,115mg,10mg,490,2.5g,1g
"French Vanilla Swirl Frozen Coffee with Whole Milk, Large",N/A,10g,202g,11g,192g,1g,230mg,30mg,950,6g,1g
"French Vanilla Swirl Frozen Coffee with Whole Milk, Medium",N/A,8g,152g,8g,144g,1g,170mg,20mg,720,5g,1g
"French Vanilla Swirl Frozen Coffee with Whole Milk, Small",N/A,7g,106g,6g,99g,0g,115mg,15mg,510,4.5g,1g
"Frozen Coffee with Cream, Large",N/A,35g,128g,6g,123g,1g,130mg,120mg,840,22g,1g
"Frozen Coffee with Cream, Medium",N/A,26g,96g,5g,92g,1g,95mg,90mg,630,16g,1g
"Frozen Coffee with Cream, Small",N/A,18g,64g,3g,61g,0g,65mg,60mg,420,11g,0.5g
"Frozen Coffee with Skim Milk, Large",N/A,0g,131g,8g,125g,1g,135mg,5mg,550,0g,0g
"Frozen Coffee with Skim Milk, Medium",N/A,0g,98g,6g,94g,1g,100mg,5mg,420,0g,0g
"Frozen Coffee with Skim Milk, Small",N/A,0g,65g,4g,63g,0g,65mg,0mg,280,0g,0g
"Frozen Coffee with Whole Milk, Large",N/A,6g,130g,7g,125g,1g,135mg,20mg,600,3.5g,0g
"Frozen Coffee with Whole Milk, Medium",N/A,4.5g,98g,5g,94g,1g,100mg,15mg,450,2.5g,0g
"Frozen Coffee with Whole Milk, Small",N/A,3g,65g,4g,63g,0g,70mg,10mg,300,1.5g,0g
"Hazelnut Swirl Frozen Coffee with Cream, Large",N/A,39g,199g,11g,188g,1g,280mg,115mg,1180,21g,2g
"Hazelnut Swirl Frozen Coffee with Cream, Medium",N/A,30g,150g,8g,141g,1g,210mg,90mg,900,16g,2g
"Hazelnut Swirl Frozen Coffee with Cream, Small",N/A,21g,104g,6g,98g,0g,140mg,60mg,630,12g,1.5g
"Hazelnut Swirl Frozen Coffee with Skim Milk, Large",N/A,7g,203g,11g,192g,1g,220mg,15mg,900,15g,1g
"Hazelnut Swirl Frozen Coffee with Skim Milk, Medium",N/A,6g,153g,9g,144g,1g,170mg,10mg,680,13g,1g
"Hazelnut Swirl Frozen Coffee with Skim Milk, Small",N/A,6g,106g,6g,100g,0g,115mg,10mg,490,13g,1g
"Hazelnut Swirl Frozen Coffee with Whole Milk, Large",N/A,10g,202g,11g,192g,1g,230mg,30mg,950,6g,1g
"Hazelnut Swirl Frozen Coffee with Whole Milk, Medium",N/A,8g,152g,8g,144g,1g,170mg,20mg,720,5g,1g
"Hazelnut Swirl Frozen Coffee with Whole Milk, Small",N/A,7g,106g,6g,99g,0g,115mg,15mg,510,4.5g,1g
"Mocha Swirl Frozen Coffee with Cream, Large",N/A,40g,200g,10g,185g,4g,250mg,110mg,1190,22g,2g
"Mocha Swirl Frozen Coffee with Cream, Medium",N/A,31g,151g,7g,140g,3g,190mg,85mg,900,17g,2g
"Mocha Swirl Frozen Coffee with Cream, Small",N/A,22g,105g,5g,96g,2g,125mg,60mg,630,12g,1.5g
"Mocha Swirl Frozen Coffee with Skim Milk, Large",N/A,6g,204g,11g,189g,4g,190mg,10mg,910,3.5g,1g
"Mocha Swirl Frozen Coffee with Skim Milk, Medium",N/A,5g,154g,8g,143g,3g,150mg,5mg,690,3g,1g
"Mocha Swirl Frozen Coffee with Skim Milk, Small",N/A,4.5g,107g,6g,98g,2g,100mg,5mg,490,3g,1g
"Mocha Swirl Frozen Coffee with Whole Milk, Large",N/A,11g,203g,10g,189g,4g,200mg,25mg,960,7g,1g
"Mocha Swirl Frozen Coffee with Whole Milk, Medium",N/A,9g,154g,8g,142g,3g,150mg,20mg,730,6g,1g
"Mocha Swirl Frozen Coffee with Whole Milk, Small",N/A,7g,107g,5g,98g,2g,100mg,15mg,520,4.5g,1g
"Frozen Dunkaccino, Large",N/A,21g,179g,11g,160g,4g,350mg,30mg,940,15g,1.5g
"Frozen Dunkaccino, Medium",N/A,16g,135g,8g,121g,3g,260mg,20mg,720,12g,1g
"Frozen Dunkaccino, Small",N/A,12g,94g,6g,84g,2g,180mg,15mg,510,9g,1g
"Frozen Vanilla Chai, Large",N/A,14g,161g,9g,151g,0g,250mg,25mg,800,10g,0g
"Frozen Vanilla Chai, Medium",N/A,10g,121g,7g,113g,0g,190mg,15mg,600,7g,0g
