Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat
Fat Free Honey Mustard Dressing,N/A,0g,22g,0g,20g,1g,330mg,0mg,90,0g,0g
Garlic & Herb Ranch Dressing,N/A,29g,2g,1g,1g,0g,460mg,25mg,280,5g,0g
Garlic & Herb Ranch Sauce,N/A,14g,1g,0g,1g,0g,230mg,15mg,140,2.5g,0g
Honey Mustard Sauce,N/A,0g,11g,0g,10g,0g,150mg,0mg,45,0g,0g
Honey Roasted BBQ Sauce,N/A,5g,2g,0g,2g,0g,70mg,5mg,60,1g,0g
Light Balsamic Vinaigrette Dressing,N/A,4g,10g,0g,9g,0g,360mg,0mg,80,0.5g,0g
Light Italian Dressing,N/A,1.5g,3g,0g,2g,0g,470mg,0mg,25,0g,0g
Polynesian Sauce,N/A,6g,13g,0g,13g,0g,210mg,0mg,110,1g,0g
Smokehouse Barbeque Sauce,N/A,0g,8g,0g,8g,0g,260mg,0mg,35,0g,0g
Sweet & Spicy Sriracha Sauce,N/A,0g,10g,0g,10g,0g,380mg,0mg,45,0g,0g
Zesty Apple Cider Vinaigrette,N/A,19g,16g,0g,15g,0g,460mg,0mg,230,3g,0g
Zesty Buffalo Sauce,N/A,4.5g,1g,0g,0g,0g,710mg,5mg,50,1g,0g
