Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat
"Build Your Own Grand Slam, Wheat Toast with Margarine",N/A,11g,29g,6g,2g,2g,400mg,0mg,230,1.5g,0g
"Build Your Own Grand Slam, Wheat Toast without Margarine",N/A,2g,29g,6g,2g,2g,310mg,0mg,150,0g,0g
"Build Your Own Grand Slam, White Toast with Margarine",N/A,11g,31g,5g,2g,0g,400mg,0mg,240,2g,1g
"Build Your Own Grand Slam, White Toast without Margarine",N/A,1.5g,31g,5g,2g,0g,320mg,0mg,160,0g,0g
"Build Your Own Grand Slam, Yogurt",N/A,1.5g,19g,6g,18g,0g,100mg,10mg,120,1g,0g
Bacon Avocado Cheeseburger (Add Side Choice),N/A,66g,53g,50g,12g,5g,1980mg,165mg,1000,24g,2g
Bacon Gouda Burger (Add Side Choice),N/A,68g,58g,61g,16g,3g,2880mg,200mg,1090,28g,2g
Bourbon Bacon Burger (Add Side Choice),N/A,52g,58g,50g,18g,3g,2110mg,165mg,910,21g,2g
Double Cheeseburger (Add Cheese & Side Choices),N/A,56g,49g,66g,11g,3g,2220mg,235mg,980,25g,3.5g
Slamburger (Add Egg & Side Choices),N/A,49g,55g,47g,10g,2g,1870mg,155mg,850,20g,2g
Spicy Sriracha Burger (Add Side Choice),N/A,55g,55g,49g,15g,3g,2200mg,165mg,920,22g,2g
"Blue Cheese Dressing, 1.5 Oz",N/A,16g,2g,2g,1g,0g,330mg,30mg,160,4g,0g
"Blue Cheese Dressing, 3 Oz",N/A,33g,5g,5g,3g,1g,650mg,60mg,320,9g,1g
Bourbon Sauce,N/A,0g,26g,0g,24g,0g,270mg,0mg,110,0g,0g
Brown Gravy,N/A,0g,2g,0g,0g,0g,135mg,0mg,10,0g,0g
Buffalo Sauce,N/A,7g,1g,0g,0g,1g,1180mg,0mg,70,0g,0g
"Caesar Dressing, 1.5 Oz",N/A,26g,1g,2g,0g,0g,490mg,15mg,250,5g,0g
"Caesar Dressing, 3 Oz",N/A,53g,2g,4g,0g,0g,990mg,25mg,500,10g,0g
Country Gravy,N/A,1.5g,2g,0g,0g,0g,105mg,0mg,20,0g,0g
Cream Cheese Icing,N/A,3g,46g,0g,45g,0g,65mg,5mg,210,1.5g,0g
"Creamer, Half & Half",N/A,1g,0g,0g,0g,0g,5mg,5mg,10,0.5g,0g
"Creamer, Hazelnut Or French Vanilla",N/A,1.5g,4g,0g,4g,0g,0mg,0mg,30,1.5g,0g
Croutons,N/A,2.5g,11g,2g,1g,0g,200mg,0mg,70,0g,0g
"Fat-Free Italian Dressing, 1.5 Oz",N/A,0g,4g,0g,3g,0g,410mg,0mg,15,0g,0g
"Fat-Free Italian Dressing, 3 Oz",N/A,0g,8g,0g,6g,0g,820mg,0mg,30,0g,0g
"Fat-Free Ranch Dressing, 1.5 Oz",N/A,0g,7g,0g,3g,0g,420mg,0mg,35,0g,0g
"Fat-Free Ranch Dressing, 3 Oz",N/A,0g,15g,0g,6g,0g,830mg,0mg,70,0g,0g
"French Dressing, 1.5 Oz",N/A,8g,2g,0g,0g,0g,430mg,5mg,130,1.5g,0g
"French Dressing, 3 Oz",N/A,17g,4g,0g,0g,1g,850mg,10mg,260,2.5g,0g
"Honey Mustard Dressing, 1.5 Oz",N/A,15g,12g,0g,8g,0g,190mg,15mg,180,2g,0g
"Honey Mustard Dressing, 3 Oz",N/A,30g,25g,0g,15g,0g,390mg,30mg,360,4.5g,1g
"Low-Fat Balsamic Vinaigrette,1.5 Oz",N/A,2g,12g,0g,11g,0g,240mg,0mg,60,0g,0g
"Low-Fat Balsamic Vinaigrette, 3 Oz",N/A,4g,24g,0g,23g,0g,490mg,0mg,130,0.5g,0g
Maple-Flavored Syrup,N/A,0g,54g,0g,29g,0g,40mg,0mg,220,0g,0g
Pico De Gallo,N/A,0g,3g,1g,2g,1g,75mg,0mg,15,0g,0g
"Ranch Dressing, 1.5 oz",N/A,21g,1g,0g,0g,0g,290mg,10mg,200,4g,0g
"Ranch Dressing, 3 oz",N/A,42g,2g,0g,1g,0g,580mg,20mg,390,8g,0g
Sour Cream,N/A,4g,1g,1g,0g,0g,5mg,15mg,45,2g,0g
Sugar-Free Maple-Flavored Syrup,N/A,0g,11g,0g,0g,1g,70mg,0mg,30,0g,0g
Sweet & Tangy BBQ Sauce,N/A,0g,30g,0g,28g,1g,470mg,0mg,110,0g,0g
"Thousand Island Dressing, 1.5 Oz",N/A,16g,7g,0g,4g,0g,400mg,20mg,160,3g,0g
"Thousand Island Dressing, 3 Oz",N/A,33g,15g,0g,9g,0g,810mg,45mg,330,6g,1g
Tomato Sauce,N/A,1g,3g,1g,2g,0g,190mg,0mg,25,0g,0g
Whipped Margarine,N/A,4.5g,0g,0g,0g,0g,35mg,0mg,40,1.5g,0g
"Build Your Own Sundae, Chocolate Ice Cream",N/A,30g,60g,10g,47g,0g,115mg,115mg,530,20g,0g
"Build Your Own Sundae, Chopped Nuts",N/A,13g,5g,6g,1g,2g,0mg,0mg,150,1.5g,0g
"Build Your Own Sundae, Hot Fudge Topping",N/A,3g,23g,2g,20g,1g,105mg,0mg,120,2.5g,0g
"Build Your Own Sundae, Oreo Cookie Pieces",N/A,4.5g,16g,1g,9g,1g,110mg,0mg,110,1g,0g
"Build Your Own Sundae, Salted Caramel Topping",N/A,2g,24g,1g,18g,0g,180mg,5mg,120,1g,0g
"Build Your Own Sundae, Strawberry Ice Cream",N/A,23g,63g,7g,43g,0g,170mg,100mg,470,15g,0g
"Build Your Own Sundae, Strawberry Topping",N/A,0g,10g,0g,9g,1g,0mg,0mg,40,0g,0g
