Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat
Grilled Steak Soft Taco,106.3g,10g,17g,12g,2g,1g,510mg,30mg,200,3.5g,0g
Nacho Cheese Doritos® Double Decker® Taco,148.8g,13g,36g,14g,2g,7g,750mg,25mg,320,5g,0g
Nacho Cheese Doritos® Locos Taco,78g,9g,13g,8g,1g,3g,360mg,25mg,160,3.5g,0g
Nacho Cheese Doritos® Locos Taco Supreme®,109.1g,11g,15g,8g,2g,3g,380mg,30mg,190,4.5g,0g
Soft Taco - Beef,92.1g,9g,18g,9g,1g,3g,500mg,25mg,180,4g,0g
Soft Taco - Chicken,92.1g,8g,16g,10g,1g,1g,450mg,40mg,170,3g,0g
Soft Taco Supreme® - Beef,123.3g,10g,20g,10g,2g,3g,520mg,30mg,210,4.5g,0g
Spicy Potato Soft Taco,97.8g,12g,27g,5g,1g,2g,460mg,10mg,230,3g,0g
Beach Berry Freeze™ (16 oz),460.7g,0g,59g,0g,59g,0g,10mg,0mg,240,0g,0g
Beach Berry Freeze™(20 oz),581.2g,0g,75g,0g,75g,0g,15mg,0mg,300,0g,0g
Berry Sangria Freeze™ (16 oz),460.7g,0g,59g,0g,59g,0g,10mg,0mg,240,0g,0g
Berry Sangria Freeze™ (20 oz),581.2g,0g,75g,0g,75g,0g,15mg,0mg,300,0g,0g
Blue Raspberry Freeze™ (16 oz),460.7g,0g,59g,0g,59g,0g,10mg,0mg,240,0g,0g
Blue Raspberry Freeze™ (20 oz),581.2g,0g,75g,0g,75g,0g,15mg,0mg,300,0g,0g
Caleb's Kola (20 oz),567g,0g,60g,0g,58g,0g,115mg,0mg,230,0g,0g
Cheesy Jalapeno Dippers,309g,31g,80g,26g,7g,7g,2120mg,55mg,700,14g,0.5g
IZZE Sparkling Clementine (20 oz),567g,0g,48g,0g,45g,0g,190mg,0mg,180,0g,0g
Lemonade Freeze™ (16 oz),460.7g,0g,59g,0g,59g,0g,10mg,0mg,240,0g,0g
Lemonade Freeze™ (20 oz),581.2g,0g,75g,0g,75g,0g,15mg,0mg,300,0g,0g
Margarita Freeze™ (16 oz),460.7g,0g,59g,0g,59g,0g,10mg,0mg,240,0g,0g
Margarita Freeze™ (20 oz),581.2g,0g,75g,0g,75g,0g,15mg,0mg,300,0g,0g
Mini Quesadilla Nachos,321.8g,40g,69g,37g,6g,8g,2060mg,95mg,790,21g,1g
Mtn Dew® Baja Blast Freeze™ (16 oz),N/A,0g,51g,0g,51g,0g,50mg,0mg,180,0g,0g
Mtn Dew® Baja Blast Freeze™ (20 oz),N/A,0g,64g,0g,64g,0g,65mg,0mg,230,0g,0g
Mtn Dew® Freeze™ (16 oz),N/A,0g,33g,0g,33g,0g,40mg,0mg,120,0g,0g
Mtn Dew® Freeze™ (20 oz),N/A,0g,42g,0g,42g,0g,50mg,0mg,160,0g,0g
Naked Chicken Chips (12 pieces) - Cantina,309g,67g,56g,28g,2g,3g,2210mg,120mg,940,10g,0g
Orange Cream Pop Freeze™ (16 oz),460.7g,0g,34g,0g,34g,0g,30mg,0mg,130,0g,0g
Orange Cream Pop Freeze™ (20 oz),581.2g,0g,44g,0g,43g,0g,40mg,0mg,160,0g,0g
Pepsi® Freeze™ (16 oz),N/A,0g,31g,0g,31g,0g,25mg,0mg,110,0g,0g
Pepsi® Freeze™ (20 oz),N/A,0g,39g,0g,39g,0g,30mg,0mg,140,0g,0g
Pina Colada Freeze™ (16 oz),460.7g,0g,59g,0g,59g,0g,10mg,0mg,240,0g,0g
Pina Colada Freeze™ (20 oz),581.2g,0g,75g,0g,75g,0g,15mg,0mg,300,0g,0g
Prosecco Sparkling Wine (350 mL),346.9g,0g,9g,0g,3g,0g,15mg,0mg,280,0g,0g
Red Cherry Freeze™ (16 oz),460.7g,0g,59g,0g,59g,0g,10mg,0mg,240,0g,0g
Red Cherry Freeze™ (20 oz),581.2g,0g,75g,0g,75g,0g,15mg,0mg,300,0g,0g
Red Sangria (16 oz),453.6g,0g,27g,0g,27g,0g,0mg,0mg,330,0g,0g
Red Wine (6.3 fl oz),185.2g,0g,5g,0g,1g,0g,5mg,0mg,160,0g,0g
Rum (80 proof),28.4g,0g,0g,0g,0g,0g,0mg,0mg,70,0g,0g
Strawberry Skittles Freeze™ (16 oz),460.7g,0g,43g,0g,43g,0g,40mg,0mg,160,0g,0g
Strawberry Skittles Freeze™ (20 oz),581.2g,0g,54g,0g,54g,0g,50mg,0mg,210,0g,0g
Stubborn Soda - Black Cherry Tarragon (20 oz),567g,0g,61g,0g,61g,0g,75mg,0mg,240,0g,0g
Stubborn Soda - Classic Root Beer (20 oz),567g,0g,73g,0g,70g,0g,140mg,0mg,280,0g,0g
Tequila (80 proof),28.4g,0g,0g,0g,0g,0g,0mg,0mg,70,0g,0g
Vodka (80 proof),28.4g,0g,0g,0g,0g,0g,0mg,0mg,70,0g,0g
Watermelon Freeze™ (16 oz),467.8g,0g,59g,0g,58g,0g,60mg,0mg,220,0g,0g
Watermelon Freeze™ (20 oz),588.3g,0g,72g,0g,72g,0g,70mg,0mg,270,0g,0g
Watermelon Freeze™ without Seeds (16 oz),N/A,0g,52g,0g,52g,0g,55mg,0mg,190,0g,0g
Watermelon Freeze™ without Seeds (20 oz),581.2g,0g,66g,0g,65g,0g,70mg,0mg,250,0g,0g
Barrio Blonde (12 oz),N/A,0g,10g,0g,0g,0g,0mg,0mg,160,0g,0g
Barrio Blonde (16 oz),N/A,0g,13g,0g,0g,0g,0mg,0mg,210,0g,0g
Beach Bell Beer (12 oz),N/A,0g,14g,0g,0g,0g,0mg,0mg,180,0g,0g
Beach Bell Beer (16 oz),N/A,0g,19g,0g,0g,0g,0mg,0mg,240,0g,0g
Beer - General (12 oz),N/A,0g,13g,2g,0g,0g,15mg,0mg,150,0g,0g
Beer - General (16 oz),N/A,0g,17g,2g,0g,0g,20mg,0mg,200,0g,0g
Bell Tower Cerveza (12 oz),N/A,0g,11g,2g,0g,0g,0mg,0mg,110,0g,0g
Bell Tower Cerveza (16 oz),N/A,0g,15g,2g,0g,0g,0mg,0mg,140,0g,0g
Blue Moon Belgian White (12 oz),N/A,0g,14g,2g,0g,0g,15mg,0mg,170,0g,0g
Blue Moon Belgian White (16 oz),N/A,0g,19g,3g,0g,0g,20mg,0mg,220,0g,0g
Blue Point Big City Bells Pilsner (12 oz),N/A,0g,10g,2g,0g,0g,0mg,0mg,160,0g,0g
Blue Point Big City Bells Pilsner (16 oz),N/A,0g,14g,2g,0g,0g,0mg,0mg,210,0g,0g
Blue Point Hoptical Illusion IPA (12 oz),N/A,0g,18g,3g,0g,0g,20mg,0mg,220,0g,0g
Blue Point Hoptical Illusion IPA (16 oz),N/A,0g,24g,4g,0g,0g,25mg,0mg,290,0g,0g
