Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat
"Mocha Iced Coffee, Small",N/A,6g,28g,2g,25g,0g,30mg,20mg,170,3.5g,0g
"Pear Berry Fruit Tea, Large",N/A,0g,82g,0g,76g,0g,60mg,0mg,320,0g,0g
"Pear Berry Fruit Tea, Medium",N/A,0g,76g,0g,70g,0g,50mg,0mg,300,0g,0g
"Pear Berry Fruit Tea, Small",N/A,0g,44g,0g,40g,0g,30mg,0mg,170,0g,0g
"Skinny Vanilla Iced Coffee, Medium",N/A,8g,14g,3g,0g,0g,45mg,25mg,100,5g,0g
"Skinny Vanilla Iced Coffee, Small",N/A,5g,6g,2g,0g,0g,30mg,15mg,70,3.5g,0g
"Small Sprite, Small",N/A,0g,53g,0g,53g,0g,90mg,0mg,200,0g,0g
"Sprite, Large",N/A,0g,105g,0g,105g,0g,180mg,0mg,390,0g,0g
"Sprite, Medium",N/A,0g,84g,0g,84g,0g,140mg,0mg,310,0g,0g
"Strawberry Lemonade, Large",N/A,0g,121g,0g,114g,0g,55mg,0mg,480,0g,0g
"Strawberry Lemonade, Medium",N/A,0g,98g,0g,92g,0g,45mg,0mg,380,0g,0g
"Strawberry Lemonade, Small",N/A,0g,58g,0g,54g,0g,30mg,0mg,230,0g,0g
"Strawberry Sweet Tea, Large",N/A,0g,69g,0g,67g,0g,15mg,0mg,270,0g,0g
"Strawberry Sweet Tea, Medium",N/A,0g,60g,0g,59g,0g,15mg,0mg,240,0g,0g
"Strawberry Sweet Tea, Small",N/A,0g,36g,0g,35g,0g,10mg,0mg,140,0g,0g
"Strawberry Tea, Large",N/A,0g,22g,0g,20g,0g,20mg,0mg,90,0g,0g
"Strawberry Tea, Medium",N/A,0g,16g,0g,14g,0g,15mg,0mg,60,0g,0g
"Strawberry Tea, Small",N/A,0g,11g,0g,10g,0g,10mg,0mg,45,0g,0g
"Sweetened Iced Tea, Large",N/A,0g,77g,0g,75g,0g,25mg,0mg,300,0g,0g
"Sweetened Iced Tea, Medium",N/A,0g,58g,0g,56g,0g,20mg,0mg,220,0g,0g
"Sweetened Iced Tea, Small",N/A,0g,41g,0g,40g,0g,10mg,0mg,160,0g,0g
"Vanilla Iced Coffee, Medium",N/A,8g,42g,3g,39g,0g,40mg,25mg,250,5g,0g
