Item,Price
Orange Scone 1 Pc.,$2.59
Caramel Apple Thumbprint Scone 1 Pc.,$2.59
Wild Blueberry Scone 1 Pc.,$2.59
Mini Scone Variety Pack 9 Pc.,$6.99
Cinnamon Raisin Swirl Loaf,$4.69
French Baguette,$2.99
Asiago Cheese Demi,$3.09
Asiago Cheese Loaf,$4.49
All Natural White Bread Loaf,$3.69
All Natural White Bread Miche,$7.69
Sourdough Bread Bowl,$1.99
Sourdough Loaf,$3.59
Sourdough Extra Large Loaf,$4.69
Whole Grain Loaf,$3.69
Whole Grain Miche,$7.69
Honey Wheat Loaf,$3.69
Tomato Basil Loaf,$4.99
Country Loaf,$3.69
Country Miche,$7.69
Rye Loaf,$3.69
Rye Miche,$7.69
Ciabatta Loaf,$3.09
Sesame Semolina Bread Loaf,$3.69
Sesame Semolina Bread Miche,$7.69
Focaccia Bread With Asiago Cheese Loaf,$3.39
Sea Salt Focaccia Loaf,$3.09
Soft Dinner Roll ,$0.75
Sprouted Whole Grain Roll ,$0.99
Sourdough Bread Bowl 2-Pack,$3.49
Sprouted Grain Rolls 6-Pack,$3.99
Soft Dinner Rolls 6-Pack,$2.99
Holiday Bread (Limited Time) ,$6.79
Apple ,$0.99
Banana ,$0.99
Chips ,$0.85
Baked Chips ,$0.99
Blueberry or Strawberry Squeezable Yogurt ,$1.25
