Item,Price
"Traditional Bone-Out (Naked, Garlic Parmesan, Honey BBQ, Sweet Chili, Spicy BBQ, Honey Sriracha or Buffalo - Mild, Medium or Burnin' Hot) 48 Pc.",$35.98
"Traditional Bone-In (Naked, Garlic Parmesan, Honey BBQ, Sweet Chili, Spicy BBQ, Honey Sriracha or Buffalo - Mild, Medium or Burnin' Hot) 8 Pc.",$6.99
"Traditional Bone-In (Naked, Garlic Parmesan, Honey BBQ, Sweet Chili, Spicy BBQ, Honey Sriracha or Buffalo - Mild, Medium or Burnin' Hot) 16 Pc.",$13.49
"Traditional Bone-In (Naked, Garlic Parmesan, Honey BBQ, Sweet Chili, Spicy BBQ, Honey Sriracha or Buffalo - Mild, Medium or Burnin' Hot) 24 Pc.",$18.99
"Traditional Bone-In (Naked, Garlic Parmesan, Honey BBQ, Sweet Chili, Spicy BBQ, Honey Sriracha or Buffalo - Mild, Medium or Burnin' Hot) 48 Pc.",$37.98
"Breaded Bone-In (Naked, Garlic Parmesan, Honey BBQ, Sweet Chili, Spicy BBQ, Honey Sriracha or Buffalo - Mild, Medium or Burnin' Hot) 8 Pc.",$6.99
"Breaded Bone-In (Naked, Garlic Parmesan, Honey BBQ, Sweet Chili, Spicy BBQ, Honey Sriracha or Buffalo - Mild, Medium or Burnin' Hot) 16 Pc.",$13.49
"Breaded Bone-In (Naked, Garlic Parmesan, Honey BBQ, Sweet Chili, Spicy BBQ, Honey Sriracha or Buffalo - Mild, Medium or Burnin' Hot) 24 Pc.",$18.99
"Breaded Bone-In (Naked, Garlic Parmesan, Honey BBQ, Sweet Chili, Spicy BBQ, Honey Sriracha or Buffalo - Mild, Medium or Burnin' Hot) 48 Pc.",$37.98
Breadsticks 5 Pc.,$4.29
Cheese Sticks 5 Pc.,$5.29
"Flavor Sticks (Hut Favorite, Fiery Red Pepper, Toasted Cheddar, Toasted Parmesan, Toasted Asiago, or Honey Sriracha) ",$4.29
Waffle Fries ,$3.49
Mozzarella Cheese Sticks ,$4.49
HERSHEY'S Triple Chocolate Brownie 9 Pc.,$5.99
The Ultimate HERSHEY'S Chocolate Chip Cookie ,$5.99
Hershey's Chocolate Dunkers 5 Pc.,$5.49
Cinnamon Sticks 5 Pc.,$4.49
Apple Pies ,$4.99
Blue Cheese ,$0.60
Chocolate ,$0.60
Ranch ,$0.60
Garlic ,$0.60
Marinara ,$0.60
Icing ,$0.60
Side of Banana Peppers or Jalapenos ,$1.00
Parmesan Cheese Packet Free ,
Red Pepper Packet Free ,
Pepsi Bottle,$1.79
Pepsi 2 Liter,$2.99
Diet Pepsi Bottle,$1.79
Diet Pepsi 2 Liter,$2.99
Mountain Dew Bottle,$1.79
Mountain Dew 2 Liter,$2.99
Aquafina Bottle,$1.49
Dr. Pepper 2 Liter,$2.99
