Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat,Price,Carbs Metric,Cholesterol Metric,Protein Metric,Fat Metric,Sodium Metric,Saturated Fat Metric
"Natural-Cut Fries, Medium",,19.0,56,6,0,5,420,0,420,3.5,0.0,1.99,0.888888888888889,0.0,0.5714285714285714,1.1750154607297465,0.8333333333333334,0.8333333333333334
"Natural-Cut Fries, Small",,15.0,43,5,0,4,320,0,320,2.5,0.0,1.69,0.8958333333333334,0.0,0.625,1.2175324675324675,0.8333333333333334,0.78125
Plain Baked Potato,,0.0,61,7,3,7,25,0,270,0.0,0.0,2.89,1.5061728395061729,0.0,1.037037037037037,0.0,0.07716049382716049,0.0
Sour Cream and Chive Baked Potato,,2.5,63,8,4,7,35,10,310,2.5,0.0,2.79,1.3548387096774193,0.21505376344086022,1.032258064516129,0.20946795140343527,0.09408602150537634,0.8064516129032258
"Classic Chocolate Frosty, Junior",,5.0,33,6,27,0,90,20,200,3.0,0.0,2.29,1.1,0.6666666666666667,1.2,0.6493506493506493,0.375,1.5
"Classic Chocolate Frosty, Large",,15.0,99,17,81,0,260,60,590,10.0,0.5,2.29,1.11864406779661,0.6779661016949153,1.152542372881356,0.6603565925599825,0.3672316384180791,1.694915254237288
"Classic Chocolate Frosty, Medium",,12.0,79,13,65,0,210,50,470,8.0,0.5,1.99,1.1205673758865249,0.7092198581560284,1.106382978723404,0.6631666206134291,0.3723404255319149,1.702127659574468
"Classic Chocolate Frosty, Small",,9.0,58,10,47,0,150,35,350,6.0,0.0,0.99,1.1047619047619048,0.6666666666666667,1.1428571428571428,0.6679035250463822,0.35714285714285715,1.7142857142857144
"Vanilla Frosty, Junior",,5.0,32,5,27,0,90,25,190,3.5,0.0,0.99,1.1228070175438596,0.8771929824561403,1.0526315789473684,0.683526999316473,0.39473684210526316,1.8421052631578945
"Vanilla Frosty, Large",,15.0,94,15,78,0,260,70,570,10.0,0.5,0.99,1.0994152046783627,0.8187134502923976,1.0526315789473684,0.683526999316473,0.38011695906432746,1.7543859649122806
"Vanilla Frosty, Medium",,12.0,75,12,63,0,210,55,450,8.0,0.5,0.99,1.1111111111111112,0.8148148148148148,1.0666666666666667,0.6926406926406927,0.3888888888888889,1.7777777777777777
"Vanilla Frosty, Small",,9.0,56,9,47,0,160,45,340,6.0,0.0,0.99,1.0980392156862746,0.8823529411764707,1.0588235294117647,0.6875477463712758,0.39215686274509803,1.7647058823529411
Chocolate Chunk Cookie,,16.0,40,3,24,2,210,20,310,8.0,0.0,1.39,0.8602150537634409,0.43010752688172044,0.3870967741935484,1.3405948889819856,0.564516129032258,2.5806451612903225
Double Chocolate Chunk Cookie,,14.0,39,4,21,4,230,20,290,7.0,0.0,1.39,0.896551724137931,0.45977011494252873,0.5517241379310345,1.2539184952978055,0.6609195402298851,2.413793103448276
Sugar Cookie,,16.0,43,3,24,1,300,25,330,8.0,0.0,1.39,0.8686868686868687,0.5050505050505051,0.36363636363636365,1.2593467138921683,0.7575757575757576,2.4242424242424243
Kids 2 Piece Chicken Tenders,,10.0,13,15,0,0,620,45,200,1.5,0.0,3.69,0.43333333333333335,1.5,3.0,1.2987012987012987,2.5833333333333335,0.75
Kids 4 Piece Chicken Nuggets,,11.0,10,9,0,0,340,35,170,2.0,0.0,3.69,0.39215686274509803,1.3725490196078431,2.1176470588235294,1.6806722689075633,1.6666666666666667,1.1764705882352942
Kids Cheeseburger,,13.0,25,15,5,1,540,50,280,6.0,0.5,3.69,0.5952380952380952,1.1904761904761905,2.142857142857143,1.2059369202226344,1.6071428571428572,2.142857142857143
Kids Grilled Chicken Wrap,,10.0,24,20,3,2,640,55,270,3.5,0.0,3.79,0.5925925925925927,1.3580246913580247,2.962962962962963,0.962000962000962,1.9753086419753085,1.2962962962962963
Kids Hamburger,,9.0,24,13,5,1,350,40,240,3.5,0.5,3.39,0.6666666666666667,1.1111111111111112,2.166666666666667,0.974025974025974,1.2152777777777777,1.4583333333333333
Artisan Egg Sandwich with Bacon,,17.0,25,18,4,1,750,245,320,8.0,0.0,0.99,0.5208333333333334,5.104166666666667,2.25,1.37987012987013,1.953125,2.5
Artisan Egg Sandwich with Sausage,,33.0,27,21,4,1,980,275,480,13.0,0.0,0.99,0.375,3.819444444444444,1.75,1.7857142857142858,1.7013888888888888,2.7083333333333335
Bacon Breakfast Bowl,,28.0,44,19,2,4,1390,245,510,9.0,0.0,2.89,0.5751633986928105,3.2026143790849675,1.4901960784313726,1.4260249554367201,2.27124183006536,1.7647058823529411
Biggie Breakfast Sandwich,,40.0,37,27,7,2,1400,290,610,15.0,0.0,0.99,0.40437158469945356,3.169398907103825,1.7704918032786885,1.7032148179689164,1.9125683060109289,2.459016393442623
