Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat,Price,Carbs Metric,Cholesterol Metric,Protein Metric,Fat Metric,Sodium Metric,Saturated Fat Metric
Strawberry Swirl Cheesecake,,16.0,32,6,21,0,230,55,290,9.0,0.0,1.79,0.735632183908046,1.264367816091954,0.8275862068965517,1.4330497089117777,0.6609195402298851,3.103448275862069
Bean & Cheese Burrito,,15.0,56,19,1,8,1200,30,440,8.0,0.0,3.29,0.8484848484848484,0.45454545454545453,1.7272727272727273,0.8854781582054309,2.2727272727272725,1.8181818181818181
"Beef, Bean & Cheese Burrito",,18.0,52,24,1,7,1280,50,470,9.0,0.0,3.29,0.7375886524822695,0.7092198581560284,2.0425531914893615,0.9947499309201436,2.269503546099291,1.9148936170212765
"Burrito California, Chicken",,18.0,41,31,2,2,1360,85,450,8.0,0.0,1.89,0.6074074074074075,1.2592592592592593,2.7555555555555555,1.0389610389610389,2.5185185185185186,1.7777777777777777
"Burrito California, Steak",,21.0,44,28,3,2,1780,80,480,10.0,0.0,0.25,0.611111111111111,1.1111111111111112,2.3333333333333335,1.1363636363636362,3.090277777777778,2.083333333333333
"Burrito Especial, Chicken",,19.0,55,35,3,7,1710,85,530,8.0,0.0,5.29,0.6918238993710693,1.069182389937107,2.641509433962264,0.9311443273707424,2.688679245283019,1.509433962264151
"Burrito Especial, Steak",,22.0,58,33,4,7,2120,80,560,10.0,0.0,2.79,0.6904761904761906,0.9523809523809523,2.357142857142857,1.0204081632653061,3.1547619047619047,1.7857142857142856
"Burrito Mexicano, Chicken",,16.0,54,35,2,6,1630,85,500,8.0,0.0,5.29,0.72,1.1333333333333335,2.8000000000000003,0.8311688311688312,2.716666666666667,1.6
"Burrito Mexicano, Steak",,19.0,56,32,3,6,2050,80,540,9.0,0.0,2.79,0.691358024691358,0.9876543209876543,2.3703703703703702,0.913900913900914,3.1635802469135803,1.6666666666666667
"Chicken Taquitos, 3 Pieces",,20.0,37,18,2,5,730,50,400,6.0,0.0,2.99,0.6166666666666667,0.8333333333333334,1.7999999999999998,1.2987012987012987,1.5208333333333333,1.5
"Chicken Taquitos, 5 Pieces",,30.0,62,28,4,9,1140,70,620,8.0,0.0,3.99,0.6666666666666667,0.7526881720430108,1.8064516129032258,1.2568077084206115,1.532258064516129,1.2903225806451613
Chips,,17.0,35,4,0,3,35,0,300,3.0,0.0,1.49,0.7777777777777778,0.0,0.5333333333333333,1.4718614718614718,0.09722222222222222,1.0
"Quesadilla, Cheese",,34.0,37,16,0,1,980,55,520,12.0,0.0,1.99,0.47435897435897434,0.7051282051282052,1.2307692307692308,1.6983016983016983,1.5705128205128205,2.307692307692308
"Quesadilla, Chicken",,36.0,39,34,1,1,1450,110,610,13.0,0.0,2.99,0.4262295081967213,1.2021857923497268,2.2295081967213113,1.5328933361720247,1.980874316939891,2.1311475409836063
"Quesadilla, Steak",,39.0,41,31,1,2,1860,105,640,14.0,0.0,1.99,0.4270833333333333,1.09375,1.9375,1.5827922077922076,2.421875,2.1875
Side of Beans,,6.0,34,14,1,11,910,15,250,3.0,0.0,1.69,0.9066666666666667,0.4,2.24,0.6233766233766234,3.0333333333333337,1.2
"Super Nachos, Chicken",,43.0,92,35,5,12,1720,70,900,9.0,0.0,3.29,0.6814814814814816,0.5185185185185186,1.5555555555555556,1.240981240981241,1.5925925925925928,1.0
