Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat,Price,Carbs Metric,Cholesterol Metric,Protein Metric,Fat Metric,Sodium Metric,Saturated Fat Metric
Smoky Mountain BBQ Spicy Crispy Chicken Whole Wing,44.0,14.0,8,8,3,1,380,35,180,2.5,0,2.69,0.29629629629629634,1.2962962962962963,1.777777777777778,2.0202020202020203,1.7592592592592593,1.3888888888888888
Hot Honey Extra Crispy Chicken Breast,210.0,49.0,26,35,7,1,1630,105,680,8.0,0,2.69,0.25490196078431376,1.0294117647058825,2.0588235294117645,1.8716577540106951,1.9975490196078431,1.1764705882352942
Hot Honey Extra Crispy Chicken Drumstick,65.0,16.0,7,11,2,1,540,50,220,2.5,0,2.69,0.2121212121212121,1.5151515151515151,2.0,1.8890200708382525,2.0454545454545454,1.1363636363636365
Hot Honey Extra Crispy Chicken Thigh,134.0,32.0,15,22,5,0,1040,100,440,6.0,0,2.69,0.22727272727272727,1.5151515151515151,2.0,1.8890200708382525,1.96969696969697,1.3636363636363635
Hot Honey Extra Crispy Chicken Whole Wing,60.0,18.0,8,10,3,1,510,45,230,3.0,0,2.69,0.2318840579710145,1.3043478260869565,1.7391304347826086,2.0327498588368154,1.847826086956522,1.3043478260869565
Hot Honey Kentucky Grilled Chicken® Breast,140.0,11.0,3,38,2,0,860,130,260,3.0,0,5.00,0.07692307692307693,3.3333333333333335,5.846153846153847,1.098901098901099,2.7564102564102564,1.153846153846154
Hot Honey Kentucky Grilled Chicken® Drumstick,44.0,5.0,1,11,1,0,270,55,90,1.5,0,5.00,0.07407407407407408,4.074074074074074,4.888888888888888,1.4430014430014428,2.5,1.6666666666666667
Hot Honey Kentucky Grilled Chicken® Thigh,77.0,12.0,2,17,1,0,520,90,180,3.5,0,5.00,0.07407407407407408,3.3333333333333335,3.7777777777777777,1.7316017316017316,2.4074074074074074,1.9444444444444444
Hot Honey Kentucky Grilled Chicken® Whole Wing,34.0,4.5,1,9,1,0,230,45,80,1.0,0,2.69,0.08333333333333334,3.75,4.5,1.4610389610389611,2.3958333333333335,1.25
Hot Honey Spicy Crispy Chicken Breast,177.0,33.0,19,31,7,1,1560,100,500,6.0,0,5.99,0.25333333333333335,1.3333333333333335,2.48,1.7142857142857144,2.6,1.2
Hot Honey Spicy Crispy Chicken Drumstick,57.0,13.0,8,9,3,1,590,40,180,2.0,0,5.99,0.29629629629629634,1.4814814814814814,2.0,1.8759018759018757,2.7314814814814814,1.1111111111111112
Hot Honey Spicy Crispy Chicken Thigh,97.0,27.0,15,13,4,2,1000,65,360,5.0,0,5.99,0.2777777777777778,1.2037037037037037,1.4444444444444442,1.948051948051948,2.314814814814815,1.3888888888888888
Hot Honey Spicy Crispy Chicken Whole Wing,43.0,12.0,7,7,2,1,480,35,160,2.0,0,2.69,0.2916666666666667,1.4583333333333335,1.75,1.948051948051948,2.5,1.25
BBQ Baked Beans,151.4,1.5,43,14,18,9,820,0,240,0.0,0,3.59,1.1944444444444444,0.0,2.3333333333333335,0.16233766233766234,2.8472222222222223,0.0
Biscuit,50.4,8.0,22,4,1,1,520,0,180,4.5,0,1.49,0.8148148148148148,0.0,0.888888888888889,1.1544011544011545,2.4074074074074074,2.5
KFC® Cornbread Muffin,52.0,9.0,28,3,11,1,240,35,210,1.5,0,3.59,0.888888888888889,1.1111111111111112,0.5714285714285714,1.1131725417439704,0.9523809523809523,0.7142857142857143
Macaroni & Cheese,135.0,7.0,20,5,2,1,660,5,160,1.5,0,3.59,0.8333333333333334,0.20833333333333334,1.25,1.1363636363636362,3.4375,0.9375
Mashed Potatoes With Gravy,145.4,4.0,18,3,0,1,510,0,120,1.0,0,3.59,1.0,0.0,1.0,0.8658008658008658,3.541666666666667,0.8333333333333334
