Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat,Price,Carbs Metric,Cholesterol Metric,Protein Metric,Fat Metric,Sodium Metric,Saturated Fat Metric
Panko Onion Rings,118.0,24.0,52,6,5,3,620,0,440,2.0,0.0,2.29,0.7878787878787878,0.0,0.5454545454545454,1.4167650531286895,1.1742424242424243,0.45454545454545453
"Seasoned Curly Fries, Medium",130.0,25.0,46,5,0,4,940,0,430,2.0,0.0,2.29,0.7131782945736435,0.0,0.46511627906976744,1.5101177891875566,1.821705426356589,0.46511627906976744
"Seasoned Curly Fries, Small",85.0,16.0,30,3,0,3,610,0,280,1.5,0.0,1.99,0.7142857142857143,0.0,0.4285714285714286,1.484230055658627,1.8154761904761905,0.5357142857142857
Stuffed Jalapenos (3 pc.),71.0,12.0,21,6,2,1,730,15,220,4.5,0.0,2.19,0.6363636363636365,0.45454545454545453,1.0909090909090908,1.4167650531286895,2.7651515151515156,2.0454545454545454
Stuffed Jalapenos (7 pc.),165.0,29.0,49,14,5,3,1690,40,510,10.0,0.5,4.19,0.6405228758169935,0.5228758169934641,1.0980392156862746,1.4769544181308887,2.7614379084967324,1.9607843137254901
"Taco, Regular",81.0,9.0,16,6,1,2,360,15,170,3.0,0.0,0.99,0.6274509803921569,0.5882352941176471,1.4117647058823528,1.3750954927425516,1.7647058823529413,1.7647058823529411
"Bacon, Egg & Cheese Biscuit",128.0,25.0,26,16,3,2,1180,240,410,12.0,0.0,2.99,0.42276422764227645,3.902439024390244,1.5609756097560976,1.5837820715869495,2.3983739837398375,2.9268292682926833
Bacon Breakfast Jack,123.0,21.0,30,17,4,1,850,240,380,7.0,0.0,1.59,0.5263157894736842,4.2105263157894735,1.7894736842105263,1.4354066985645932,1.8640350877192984,1.8421052631578945
Breakfast Jack,132.0,18.0,30,16,4,1,840,240,350,6.0,0.0,1.59,0.5714285714285715,4.571428571428572,1.8285714285714285,1.3358070500927643,2.0,1.7142857142857144
Extreme Sausage Sandwich,192.0,49.0,29,25,3,1,1140,295,650,16.0,0.5,3.29,0.29743589743589743,3.0256410256410255,1.5384615384615385,1.958041958041958,1.4615384615384617,2.4615384615384617
Grande Sausage Breakfast Burrito without Salsa,358.0,70.0,67,35,4,4,2010,390,1040,20.0,0.5,3.39,0.42948717948717946,2.5,1.346153846153846,1.7482517482517481,1.6105769230769231,1.9230769230769231
Grande Sausage Breakfast Burrito with Salsa,381.0,70.0,68,36,5,5,2130,390,1040,20.0,0.5,3.39,0.43589743589743596,2.5,1.3846153846153846,1.7482517482517481,1.7067307692307692,1.9230769230769231
Grilled Breakfast Sandwich,253.0,29.0,53,36,4,4,1810,490,620,10.0,0.0,3.69,0.5698924731182796,5.268817204301075,2.3225806451612905,1.2149141181399246,2.4327956989247315,1.6129032258064515
Jumbo Breakfast Platter with Bacon,247.0,29.0,47,23,7,3,1390,345,540,6.0,0.0,4.49,0.5802469135802469,4.2592592592592595,1.7037037037037037,1.3949013949013949,2.1450617283950617,1.1111111111111112
Jumbo Breakfast Platter with Sausage,267.0,39.0,47,21,7,3,1250,360,620,9.0,0.0,4.49,0.5053763440860215,3.8709677419354844,1.3548387096774195,1.633850020946795,1.6801075268817205,1.4516129032258065
Loaded Breakfast Sandwich,242.0,47.0,36,36,4,2,1690,515,710,16.0,0.0,3.69,0.33802816901408456,4.835680751173709,2.028169014084507,1.71940735321017,1.983568075117371,2.2535211267605635
Meat Lovers Breakfast Burrito without Salsa,292.0,50.0,48,39,3,2,1590,410,780,21.0,0.5,3.39,0.4102564102564103,3.5042735042735047,2.0,1.6650016650016648,1.6987179487179487,2.6923076923076925
Meat Lovers Breakfast Burrito with Salsa,316.0,50.0,50,39,4,3,1710,410,790,21.0,0.5,3.39,0.42194092827004226,3.459915611814346,1.9746835443037973,1.643925694558606,1.8037974683544304,2.6582278481012658
Mini Pancakes,71.0,1.5,28,4,6,1,350,0,140,0.0,0.0,1.00,1.3333333333333335,0.0,1.1428571428571428,0.2782931354359926,2.0833333333333335,0.0
"Sausage, Egg & Cheese Biscuit",158.0,38.0,27,18,3,2,1240,265,530,16.0,0.0,2.99,0.339622641509434,3.3333333333333335,1.3584905660377358,1.8622886547414848,1.949685534591195,3.018867924528302
Sausage Biscuit,107.0,29.0,26,11,3,2,960,30,430,12.0,0.0,2.99,0.40310077519379844,0.46511627906976744,1.0232558139534884,1.7517366354575659,1.8604651162790697,2.7906976744186047
Sausage Breakfast Jack,152.0,34.0,30,19,4,1,920,265,500,11.0,0.5,1.59,0.4,3.5333333333333337,1.52,1.7662337662337664,1.5333333333333334,2.1999999999999997
Sausage Croissant,159.0,39.0,32,19,3,2,760,275,560,16.0,0.5,3.29,0.38095238095238093,3.2738095238095237,1.357142857142857,1.8089053803339519,1.1309523809523812,2.857142857142857
Sourdough Breakfast Melt,152.0,21.0,35,20,4,2,1010,250,410,8.0,0.0,4.69,0.5691056910569107,4.065040650406504,1.951219512195122,1.3303769401330376,2.0528455284552845,1.951219512195122
