Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat,Carbs Metric,Cholesterol Metric,Fat Metric,Sodium Metric,Protein Metric,Price
Cheese Pastry,110.0,23.0,43.0,8.0,15.0,1.0,340.0,65.0,410.0,15.0,0.5,0.6991869918699187,1.0569105691056908,1.4570795058599937,0.6910569105691057,0.13008130081300814,$0.85
Cherry Pastry,137.0,22.0,58.0,7.0,28.0,1.0,360.0,60.0,460.0,14.0,0.5,0.8405797101449275,0.8695652173913043,1.2422360248447206,0.6521739130434783,0.10144927536231883,$2.69
Chocolate Chip Muffie,78.0,14.0,46.0,4.0,28.0,1.0,230.0,35.0,320.0,4.0,0.0,0.9583333333333331,0.7291666666666667,1.1363636363636362,0.5989583333333334,0.08333333333333334,$1.59
Chocolate Chipper Cookie,,19.0,51.0,4.0,30.0,2.0,290.0,50.0,380.0,11.0,0.0,0.8947368421052632,0.8771929824561403,1.2987012987012987,0.6359649122807018,0.07017543859649122,$2.49
Chocolate Pastry,99.0,24.0,46.0,7.0,17.0,2.0,250.0,50.0,420.0,15.0,0.0,0.7301587301587302,0.7936507936507936,1.4842300556586268,0.4960317460317461,0.11111111111111112,$2.69
Cinnamon Crunch Scone,,23.0,79.0,8.0,42.0,2.0,900.0,70.0,550.0,16.0,0.5,0.9575757575757576,0.8484848484848484,1.0861865407319953,1.3636363636363638,0.09696969696969696,$2.59
Cinnamon Roll,170.0,25.0,100.0,13.0,47.0,3.0,660.0,95.0,670.0,12.0,0.0,0.9950248756218903,0.9452736318407958,0.9691800736576855,0.8208955223880597,0.12935323383084574,$2.79
Cobblestone,197.0,12.0,102.0,11.0,56.0,3.0,500.0,60.0,560.0,7.0,0.0,1.2142857142857142,0.7142857142857143,0.5565862708719852,0.7440476190476191,0.13095238095238096,$2.69
Cranberry Orange Muffin,,19.0,71.0,6.0,40.0,2.0,400.0,65.0,480.0,3.0,0.0,0.9861111111111112,0.9027777777777778,1.028138528138528,0.6944444444444445,0.08333333333333334,$2.19
Double Fudge Brownie,,22.0,80.0,6.0,58.0,4.0,250.0,40.0,520.0,11.0,0.0,1.0256410256410258,0.5128205128205129,1.0989010989010992,0.4006410256410257,0.07692307692307693,0
French Croissant,71.0,18.0,32.0,6.0,7.0,1.0,260.0,60.0,310.0,11.0,0.0,0.6881720430107527,1.2903225806451613,1.508169250104734,0.6989247311827957,0.12903225806451615,$2.29
Kitchen Sink Cookie,,44.0,97.0,8.0,54.0,3.0,770.0,90.0,800.0,28.0,1.0,0.8083333333333333,0.75,1.4285714285714286,0.8020833333333334,0.06666666666666668,$2.49
Lemon Drop Cookie,,20.0,61.0,5.0,33.0,1.0,270.0,70.0,440.0,13.0,0.5,0.9242424242424244,1.0606060606060606,1.180637544273908,0.5113636363636364,0.07575757575757576,$1.99
Oatmeal Raisin Cookie with Berries,,13.0,54.0,4.0,32.0,2.0,170.0,50.0,340.0,7.0,0.0,1.0588235294117647,0.9803921568627452,0.9931245225362874,0.4166666666666667,0.0784313725490196,$1.99
Orange Mini Scone,,7.0,27.0,3.0,12.0,1.0,270.0,25.0,180.0,4.5,0.0,1.0,0.9259259259259259,1.0101010101010102,1.25,0.11111111111111112,$6.99
Orange Scone,,20.0,80.0,9.0,37.0,2.0,810.0,75.0,540.0,13.0,0.5,0.9876543209876544,0.9259259259259259,0.9620009620009621,1.25,0.11111111111111112,$2.59
Pastry Ring,73.0,13.0,31.0,3.0,18.0,1.0,170.0,40.0,250.0,8.0,0.0,0.8266666666666667,1.0666666666666669,1.3506493506493509,0.5666666666666668,0.08,$8.79
Pecan Braid,106.0,26.0,52.0,8.0,23.0,2.0,280.0,50.0,470.0,13.0,0.0,0.7375886524822695,0.7092198581560284,1.4368610113290965,0.4964539007092199,0.11347517730496455,$2.69
Pecan Roll,159.0,46.0,69.0,11.0,32.0,5.0,400.0,70.0,720.0,14.0,0.0,0.6388888888888891,0.6481481481481481,1.6594516594516593,0.46296296296296297,0.10185185185185183,$2.69
