Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat,Carbs Metric,Cholesterol Metric,Fat Metric,Sodium Metric,Protein Metric,Price
Stuffed Jalapenos (3 pc.),71.0,12.0,21.0,6.0,2.0,1.0,730.0,15.0,220.0,4.5,0.0,0.6363636363636365,0.4545454545454545,1.4167650531286895,2.765151515151516,0.18181818181818185,$2.19
Stuffed Jalapenos (7 pc.),165.0,29.0,49.0,14.0,5.0,3.0,1690.0,40.0,510.0,10.0,0.5,0.6405228758169935,0.5228758169934641,1.476954418130889,2.7614379084967324,0.18300653594771246,$4.19
"Taco, Regular",81.0,9.0,16.0,6.0,1.0,2.0,360.0,15.0,170.0,3.0,0.0,0.6274509803921569,0.5882352941176471,1.3750954927425516,1.7647058823529411,0.2352941176470588,$6.00
"Bacon, Egg & Cheese Biscuit",128.0,25.0,26.0,16.0,3.0,2.0,1180.0,240.0,410.0,12.0,0.0,0.4227642276422765,3.902439024390244,1.5837820715869495,2.398373983739837,0.2601626016260163,0
Bacon Breakfast Jack,123.0,21.0,30.0,17.0,4.0,1.0,850.0,240.0,380.0,7.0,0.0,0.5263157894736842,4.2105263157894735,1.4354066985645932,1.8640350877192984,0.29824561403508776,0
Breakfast Jack,132.0,18.0,30.0,16.0,4.0,1.0,840.0,240.0,350.0,6.0,0.0,0.5714285714285715,4.571428571428573,1.3358070500927643,2.0,0.3047619047619048,$3.79
Extreme Sausage Sandwich,192.0,49.0,29.0,25.0,3.0,1.0,1140.0,295.0,650.0,16.0,0.5,0.29743589743589743,3.025641025641025,1.958041958041958,1.4615384615384617,0.25641025641025644,$4.69
Grande Sausage Breakfast Burrito without Salsa,358.0,70.0,67.0,35.0,4.0,4.0,2010.0,390.0,1040.0,20.0,0.5,0.42948717948717946,2.5,1.748251748251748,1.6105769230769231,0.2243589743589744,0
Grande Sausage Breakfast Burrito with Salsa,381.0,70.0,68.0,36.0,5.0,5.0,2130.0,390.0,1040.0,20.0,0.5,0.435897435897436,2.5,1.748251748251748,1.7067307692307692,0.2307692307692308,$5.09
Grilled Breakfast Sandwich,253.0,29.0,53.0,36.0,4.0,4.0,1810.0,490.0,620.0,10.0,0.0,0.5698924731182796,5.268817204301075,1.2149141181399246,2.4327956989247315,0.3870967741935484,$5.09
Jumbo Breakfast Platter with Bacon,247.0,29.0,47.0,23.0,7.0,3.0,1390.0,345.0,540.0,6.0,0.0,0.5802469135802469,4.25925925925926,1.3949013949013949,2.1450617283950617,0.2839506172839506,$4.49
Jumbo Breakfast Platter with Sausage,267.0,39.0,47.0,21.0,7.0,3.0,1250.0,360.0,620.0,9.0,0.0,0.5053763440860215,3.870967741935485,1.633850020946795,1.6801075268817205,0.22580645161290325,0
Loaded Breakfast Sandwich,242.0,47.0,36.0,36.0,4.0,2.0,1690.0,515.0,710.0,16.0,0.0,0.33802816901408456,4.835680751173709,1.71940735321017,1.9835680751173708,0.33802816901408456,$5.09
Meat Lovers Breakfast Burrito without Salsa,292.0,50.0,48.0,39.0,3.0,2.0,1590.0,410.0,780.0,21.0,0.5,0.4102564102564103,3.5042735042735047,1.6650016650016648,1.698717948717949,0.33333333333333337,0
Meat Lovers Breakfast Burrito with Salsa,316.0,50.0,50.0,39.0,4.0,3.0,1710.0,410.0,790.0,21.0,0.5,0.4219409282700423,3.4599156118143464,1.6439256945586058,1.8037974683544304,0.3291139240506329,$5.09
Mini Pancakes,71.0,1.5,28.0,4.0,6.0,1.0,350.0,0.0,140.0,0.0,0.0,1.3333333333333337,0.0,0.2782931354359926,2.083333333333333,0.19047619047619047,$1.00
