Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat,Carbs Metric,Cholesterol Metric,Fat Metric,Sodium Metric,Protein Metric,Price
"6"" Spicy Italian",222.0,24.0,46.0,20.0,8.0,5.0,1490.0,50.0,480.0,9.0,0.5,0.6388888888888891,0.6944444444444445,1.2987012987012987,2.586805555555556,0.2777777777777778,$6.00
"6"" Steak & Cheese",245.0,10.0,49.0,26.0,9.0,5.0,1030.0,50.0,380.0,4.5,0.0,0.8596491228070177,0.8771929824561403,0.683526999316473,2.2587719298245617,0.456140350877193,$6.00
"6"" Tuna",237.0,25.0,44.0,20.0,7.0,5.0,580.0,40.0,480.0,4.5,0.0,0.6111111111111109,0.5555555555555556,1.3528138528138531,1.0069444444444444,0.2777777777777778,$6.00
Footlong Chicken & Bacon Ranch Melt,596.0,60.0,94.0,76.0,16.0,10.0,2580.0,190.0,1220.0,20.0,1.0,0.5136612021857924,1.0382513661202186,1.2774111134766872,1.7622950819672132,0.41530054644808745,$6.00
Footlong Cold Cut Combo,452.0,24.0,92.0,34.0,14.0,10.0,2060.0,90.0,720.0,7.0,0.0,0.8518518518518519,0.8333333333333334,0.8658008658008658,2.3842592592592595,0.3148148148148148,$6.00
Footlong Italian B.M.T.,452.0,32.0,92.0,40.0,16.0,10.0,2520.0,90.0,820.0,12.0,0.0,0.7479674796747968,0.7317073170731707,1.0136205258156477,2.5609756097560976,0.3252032520325204,$6.00
Footlong Meatball Marinara,602.0,36.0,120.0,42.0,24.0,16.0,2000.0,80.0,960.0,14.0,1.0,0.8333333333333334,0.5555555555555556,0.9740259740259741,1.7361111111111114,0.2916666666666667,$6.00
Footlong Spicy Italian,444.0,48.0,92.0,40.0,16.0,10.0,2980.0,100.0,960.0,18.0,1.0,0.6388888888888891,0.6944444444444445,1.2987012987012987,2.586805555555556,0.2777777777777778,$6.00
Footlong Steak & Cheese,490.0,20.0,98.0,52.0,18.0,10.0,2060.0,100.0,760.0,9.0,0.0,0.8596491228070177,0.8771929824561403,0.683526999316473,2.2587719298245617,0.456140350877193,$6.00
Footlong Tuna,474.0,50.0,88.0,40.0,14.0,10.0,1160.0,80.0,960.0,9.0,0.0,0.6111111111111109,0.5555555555555556,1.3528138528138531,1.0069444444444444,0.2777777777777778,$5.50
Black Forest Ham on Tomato Basil Wrap,307.0,12.0,57.0,27.0,6.0,4.0,1780.0,50.0,430.0,5.0,0.0,0.8837209302325582,0.7751937984496124,0.7248565388100272,3.4496124031007755,0.4186046511627908,$6.00
Chicken & Bacon Ranch Melt on Tomato Basil Wrap,394.0,42.0,56.0,60.0,5.0,4.0,2380.0,155.0,850.0,16.0,1.0,0.43921568627450985,1.2156862745098038,1.2834224598930477,2.333333333333333,0.4705882352941176,$6.00
Chipotle Southwest Steak on Tomato Basil Wrap,389.0,37.0,65.0,43.0,8.0,6.0,2250.0,100.0,760.0,12.0,1.0,0.5701754385964912,0.8771929824561403,1.264524948735475,2.4671052631578947,0.3771929824561404,$2.50
Cold Cut Combo on Tomato Basil Wrap,314.0,27.0,57.0,27.0,4.0,3.0,2230.0,90.0,570.0,10.0,0.5,0.6666666666666667,1.0526315789473684,1.2303485987696514,3.2602339181286557,0.31578947368421056,$6.00
Italian B.M.T. on Tomato Basil Wrap,314.0,36.0,57.0,32.0,6.0,4.0,2700.0,90.0,670.0,14.0,0.5,0.5671641791044777,0.8955223880597015,1.3956193060670672,3.3582089552238803,0.31840796019900497,$6.00
Meatball Marinara on Tomato Basil Wrap,381.0,40.0,81.0,34.0,12.0,8.0,2200.0,80.0,820.0,16.0,2.0,0.6585365853658537,0.6504065040650407,1.2670256572695595,2.2357723577235773,0.2764227642276423,$6.00
Oven Roasted Chicken Breast on Spinach Wrap,335.0,13.0,56.0,38.0,5.0,4.0,1460.0,90.0,500.0,5.0,0.0,0.7466666666666667,1.2,0.6753246753246753,2.4333333333333336,0.5066666666666667,$4.25
Roast Beef on Spinach Wrap,335.0,13.0,54.0,42.0,5.0,4.0,1560.0,90.0,500.0,5.0,0.0,0.72,1.2,0.6753246753246753,2.6,0.56,$4.75
Rotisserie-Style Chicken Caesar on Spinach Wrap,365.0,34.0,54.0,55.0,4.0,3.0,1900.0,135.0,730.0,10.0,0.5,0.4931506849315069,1.2328767123287672,1.2097491549546344,2.168949771689498,0.5022831050228309,$2.50
Rotisserie-Style Chicken on Spinach Wrap,364.0,15.0,54.0,51.0,4.0,3.0,1560.0,110.0,550.0,5.0,0.0,0.6545454545454545,1.3333333333333337,0.7083825265643447,2.363636363636364,0.6181818181818182,$2.50
Spicy Italian on Tomato Wrap,304.0,52.0,56.0,32.0,6.0,4.0,3140.0,105.0,820.0,20.0,1.0,0.4552845528455285,0.853658536585366,1.6471333544504276,3.1910569105691056,0.2601626016260163,$3.50
Steak & Cheese on Tomato Basil Wrap,269.0,19.0,59.0,41.0,5.0,3.0,2030.0,90.0,570.0,9.0,1.0,0.6900584795321638,1.0526315789473684,0.8658008658008658,2.967836257309941,0.4795321637426901,$6.00
Subway Club on Spinach Wrap,349.0,13.0,56.0,39.0,5.0,4.0,1920.0,75.0,490.0,5.0,0.0,0.7619047619047619,1.020408163265306,0.6891068115557911,3.26530612244898,0.5306122448979592,$4.75
Sweet Onion Chicken Teriyaki on Tomato Basil Wrap,385.0,12.0,71.0,42.0,14.0,4.0,1630.0,100.0,550.0,4.0,0.0,0.8606060606060606,1.2121212121212122,0.5667060212514758,2.46969696969697,0.5090909090909091,$6.00
Tuna on Tomato Basil Wrap,335.0,54.0,53.0,33.0,3.0,3.0,1330.0,75.0,820.0,11.0,0.5,0.43089430894308944,0.6097560975609756,1.7104846373139058,1.3516260162601628,0.2682926829268293,$2.50
"Turkey, Bacon & Guacamole on Tomato Basil Wrap",380.0,42.0,62.0,43.0,6.0,5.0,2960.0,75.0,810.0,13.0,0.5,0.5102880658436214,0.6172839506172839,1.3468013468013469,3.0452674897119336,0.3539094650205762,$7.50
Turkey Breast on Spinach Wrap,307.0,10.0,57.0,28.0,4.0,3.0,1760.0,40.0,430.0,4.0,0.0,0.8837209302325582,0.6201550387596899,0.6040471156750227,3.410852713178295,0.4341085271317829,$4.25
Veggie Delite on Spinach Wrap,285.0,8.0,56.0,10.0,5.0,4.0,800.0,0.0,330.0,3.0,0.0,1.1313131313131315,0.0,0.6296733569460842,2.0202020202020203,0.20202020202020204,$3.75
