Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat
Garden Salad with Grilled Chicken,339g,12g,12g,33g,3g,10g,810mg,110mg,290,7g,0g
Garden Salad with Whatachick'n,339g,20g,21g,34g,3g,9g,730mg,105mg,400,13g,0g
Large French Fry,170g,28g,70g,7g,1g,6g,350mg,0mg,560,4g,0g
Large Onion Rings,182g,33g,65g,9g,4g,8g,860mg,0mg,600,5g,0g
Medium French Fry,128g,21g,52g,5g,1g,4g,260mg,0mg,420,3g,0g
Medium Onion Rings,121g,22g,43g,6g,3g,5g,570mg,0mg,400,3g,0g
"Onion Rings, Large",136g,25g,49g,7g,3g,6g,650mg,0mg,450,4g,0g
"Onion Rings, Medium",91g,17g,32g,4g,2g,4g,430mg,0mg,300,3g,0g
Small French Fry,85g,14g,35g,3g,0g,3g,170mg,0mg,280,2g,0g
Chocolate Chunk Cookie,51g,11g,31g,2g,18g,1g,180mg,15mg,230,6g,0g
Fruit Chews,26g,0g,20g,0g,11g,0g,10mg,0mg,80,0g,0g
Hot Apple Pie,86g,14g,34g,3g,7g,2g,260mg,0mg,270,5g,0g
Hot Lemon Pie,91g,16g,41g,4g,12g,3g,230mg,0mg,320,5g,0g
Sugar Cookie,51g,10g,33g,3g,17g,1g,200mg,15mg,230,5g,0g
Barq's Root Beer,907g,0g,125g,0g,125g,0g,130mg,0mg,460,0g,0g
"Barq's Root Beer, Kids",454g,0g,62g,0g,62g,0g,65mg,0mg,230,0g,0g
"Barq's Root Beer, Large",1247g,0g,172g,0g,172g,0g,180mg,0mg,630,0g,0g
"Barq's Root Beer, Medium",907g,0g,125g,0g,125g,0g,130mg,0mg,460,0g,0g
"Barq's Root Beer, Small",567g,0g,78g,0g,78g,0g,80mg,0mg,290,0g,0g
Caffeine-Free Diet Coke,907g,0g,1g,0g,0g,0g,70mg,0mg,0,0g,0g
"Caffeine-Free Diet Coke, Kids",336g,0g,0g,0g,0g,0g,25mg,0mg,0,0g,0g
"Caffeine-Free Diet Coke, Large",906g,0g,1g,0g,0g,0g,70mg,0mg,0,0g,0g
"Caffeine-Free Diet Coke, Medium",667g,0g,1g,0g,0g,0g,55mg,0mg,0,0g,0g
"Caffeine-Free Diet Coke, Small",447g,0g,0g,0g,0g,0g,35mg,0mg,0,0g,0g
Cherry Coke,907g,0g,116g,0g,116g,0g,50mg,0mg,430,0g,0g
"Cherry Coke, Kids",336g,0g,43g,0g,43g,0g,20mg,0mg,160,0g,0g
