Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat
Lemon Drop Cookie,N/A,20g,61g,5g,33g,1g,270mg,70mg,440,13g,0.5g
Oatmeal Raisin Cookie with Berries,N/A,13g,54g,4g,32g,2g,170mg,50mg,340,7g,0g
Orange Mini Scone,N/A,7g,27g,3g,12g,1g,270mg,25mg,180,4.5g,0g
Orange Scone,N/A,20g,80g,9g,37g,2g,810mg,75mg,540,13g,0.5g
Pastry Ring,73g,13g,31g,3g,18g,1g,170mg,40mg,250,8g,0g
Pecan Braid,106g,26g,52g,8g,23g,2g,280mg,50mg,470,13g,0g
Pecan Roll,159g,46g,69g,11g,32g,5g,400mg,70mg,720,14g,0g
Petite Chocolate Chipper,N/A,4.5g,13g,1g,8g,0g,75mg,10mg,100,3g,0g
Pumpkin Cookie,N/A,22g,64g,4g,37g,1g,230mg,55mg,460,14g,0.5g
Pumpkin Muffie,84g,11g,45g,3g,26g,1g,240mg,15mg,290,2g,0g
Pumpkin Muffin,170g,22g,90g,7g,52g,2g,480mg,30mg,580,4g,0g
Raspberry Almond Thumbprint Cookie,N/A,14g,25g,2g,10g,1g,95mg,35mg,230,8g,0.5g
Triple Berry Mini Scone,N/A,6g,22g,2g,11g,0g,240mg,20mg,150,4g,0g
Triple Berry Scone,N/A,15g,58g,6g,29g,1g,620mg,55mg,390,10g,0g
Triple Chocolate Cookie with Walnuts,N/A,13g,53g,5g,44g,6g,125mg,10mg,320,6g,0g
Wild Blueberry Mini Scone,N/A,6g,21g,3g,9g,1g,300mg,25mg,150,4g,0g
Wild Blueberry Scone,113g,19g,64g,8g,26g,1g,900mg,70mg,460,12g,0.5g
Artisan Ciabatta Loaf,57g,1.5g,30g,6g,0g,1g,280mg,0mg,160,0g,0g
Asiago Cheese Focaccia Loaf,N/A,3g,24g,6g,0g,1g,300mg,5mg,150,1g,0g
Asiago Cheese Loaf,57g,4g,23g,7g,0g,1g,300mg,10mg,150,2g,0g
Black Pepper Focaccia Loaf,N/A,3g,26g,5g,0g,1g,390mg,0mg,150,0g,0g
Brioche Roll,N/A,7g,31g,7g,5g,1g,300mg,50mg,220,4g,0g
Challah Loaf,N/A,5g,29g,6g,4g,1g,270mg,60mg,190,1g,0g
Cinnamon Raisin Swirl Loaf,N/A,6g,31g,5g,12g,1g,190mg,30mg,190,3g,0g
Classic White Loaf,N/A,2g,28g,5g,2g,1g,280mg,5mg,150,1g,0g
Country Rustic XL Loaf,57g,0.5g,26g,5g,0g,1g,270mg,0mg,130,0g,0g
Cranberry Walnut Miche Loaf,N/A,2.5g,25g,6g,4g,2g,250mg,0mg,140,0g,0g
French Baguette,N/A,0.5g,29g,5g,0g,1g,360mg,0mg,150,0g,0g
Honey Wheat Loaf,57g,3g,24g,4g,4g,1g,240mg,0mg,140,1.5g,0g
Sea Salt Focaccia Loaf,57g,2g,30g,6g,0g,1g,410mg,0mg,160,0g,0g
Sourdough Bread Bowl,N/A,4.5g,130g,27g,1g,4g,1160mg,0mg,670,0g,0g
Sourdough Loaf,N/A,0.5g,28g,5g,0g,1g,290mg,0mg,140,0g,0g
Sourdough XL Loaf,57g,0.5g,28g,5g,0g,1g,290mg,0mg,140,0g,0g
Sprouted Grain Roll,N/A,1g,33g,6g,3g,3g,360mg,0mg,170,0g,0g
Tomato Basil XL Loaf,57g,1g,28g,6g,1g,1g,370mg,0mg,150,0g,0g
Whole Grain Farmstyle Loaf,N/A,0g,18g,4g,0g,2g,240mg,0mg,90,0g,0g
Whole Grain Flatbread,N/A,7g,29g,5g,3g,3g,250mg,15mg,200,4g,0g
Whole Grain Pan Loaf,57g,1g,26g,6g,2g,3g,240mg,0mg,130,0g,0g
"Agave Lemonade, Large",N/A,0g,59g,0g,56g,0g,15mg,0mg,220,0g,0g
"Agave Lemonade, Medium",N/A,0g,37g,0g,35g,0g,10mg,0mg,140,0g,0g
"Blood Orange Lemonade, Large",N/A,0g,68g,1g,63g,1g,40mg,0mg,260,0g,0g
"Blood Orange Lemonade, Medium",N/A,0g,43g,1g,40g,0g,25mg,0mg,160,0g,0g
Bottled Agave Lemonade,N/A,0g,38g,0g,36g,0g,0mg,0mg,140,0g,0g
Bottled Passionfruit Papaya Green Tea,N/A,0g,31g,0g,28g,0g,0mg,0mg,120,0g,0g
Bottled Water,N/A,0g,0g,0g,0g,0g,10mg,0mg,0,0g,0g
"Brewed Iced Tea, Large",N/A,0g,3g,0g,0g,0g,30mg,0mg,0,0g,0g
"Brewed Iced Tea, Medium",N/A,0g,2g,0g,0g,0g,20mg,0mg,0,0g,0g
"Caffeine Free Diet Pepsi, Large",907g,0g,0g,0g,0g,0g,150mg,0mg,0,0g,0g
"Caffeine Free Diet Pepsi, Medium",567g,0g,0g,0g,0g,0g,95mg,0mg,0,0g,0g
Caffe Latte,284g,5g,13g,8g,12g,0g,110mg,20mg,130,3g,0g
Caffe Mocha,369g,11g,56g,11g,40g,2g,170mg,35mg,370,6g,0g
Cappuccino,241g,5g,13g,8g,12g,0g,110mg,20mg,130,3g,0g
Caramel Latte,369g,15g,54g,11g,46g,0g,240mg,50mg,390,9g,0g
Chai Tea Latte,283g,6g,49g,10g,48g,0g,125mg,25mg,290,4g,0g
"Dark Roast Coffee, 12 fl oz",N/A,0g,3g,1g,0g,0g,5mg,0mg,15,0g,0g
"Dark Roast Coffee, 16 fl oz",N/A,0g,4g,1g,0g,0g,10mg,0mg,20,0g,0g
"Dark Roast Coffee, 20 fl oz",N/A,0g,5g,2g,0g,0g,10mg,0mg,25,0g,0g
"Diet Mountain Dew, Large",N/A,0g,1g,0g,1g,0g,150mg,0mg,15,0g,0g
"Diet Mountain Dew, Medium",N/A,0g,1g,0g,1g,0g,90mg,0mg,10,0g,0g
"Diet Pepsi, Large",907g,0g,0g,0g,0g,0g,150mg,0mg,0,0g,0g
"Diet Pepsi, Medium",567g,0g,0g,0g,0g,0g,95mg,0mg,0,0g,0g
"Dr. Pepper, Large",907g,0g,104g,0g,102g,0g,115mg,0mg,380,0g,0g
"Dr. Pepper, Medium",567g,0g,65g,0g,64g,0g,75mg,0mg,240,0g,0g
Espresso,N/A,0g,0g,0g,0g,0g,0mg,0mg,5,0g,0g
Frozen Caramel,N/A,23g,82g,7g,69g,0g,190mg,70mg,560,14g,0.5g
