Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat
"Diet Dr Pepper, 22 oz",N/A,0g,0g,0g,0g,0g,100mg,0mg,0,0g,0g
"Dr Pepper, 16 oz",N/A,0g,72g,0g,72g,0g,80mg,0mg,250,0g,0g
"Dr Pepper, 22 oz",N/A,0g,52g,0g,52g,0g,60mg,0mg,180,0g,0g
"Fanta Orange, 16 oz",N/A,0g,84g,0g,84g,0g,95mg,0mg,310,0g,0g
"Fanta Orange, 22 oz",N/A,0g,63g,0g,63g,0g,70mg,0mg,240,0g,0g
"Hi-C Flashin' Fruit Punch, 16 oz",N/A,0g,85g,0g,83g,0g,105mg,0mg,310,0g,0g
"Hi-C Flashin' Fruit Punch, 22 oz",N/A,0g,63g,0g,62g,0g,80mg,0mg,230,0g,0g
"Mello Yello, 16 oz",N/A,0g,84g,0g,84g,0g,90mg,0mg,310,0g,0g
"Mello Yello, 22 oz",N/A,0g,63g,0g,63g,0g,65mg,0mg,240,0g,0g
"Minute Maid Light Lemonade, 16 oz",N/A,0g,0g,0g,0g,0g,80mg,0mg,15,0g,0g
"Minute Maid Light Lemonade, 22 oz",N/A,0g,0g,0g,0g,0g,60mg,0mg,10,0g,0g
"POWERADE Mountain Berry Blast, 16 oz",N/A,0g,44g,0g,44g,0g,220mg,0mg,170,0g,0g
"POWERADE Mountain Berry Blast, 22 oz",N/A,0g,33g,0g,33g,0g,160mg,0mg,130,0g,0g
Shamrock Farms Lowfat Chocolate Milk,218g,2.5g,26g,7g,23g,1g,170mg,10mg,150,1.5g,0g
Shamrock Farms Lowfat White Milk,214g,2g,10g,7g,10g,0g,105mg,10mg,90,1.5g,0g
"Sprite, 16 oz",N/A,0g,77g,0g,77g,0g,130mg,0mg,290,0g,0g
"Sprite, 22 oz",N/A,0g,58g,0g,58g,0g,100mg,0mg,220,0g,0g
Bacon & Cheese Croissant,83g,19g,27g,13g,3g,1g,670mg,50mg,330,10g,0g
Bacon & Egg with Biscuit Platter,244g,32g,49g,23g,4g,3g,1620mg,260mg,590,13g,0g
"Bacon, Egg & Cheese Biscuit",173g,29g,38g,18g,5g,1g,1720mg,155mg,480,15g,0g
"Bacon, Egg & Cheese Croissant",139g,27g,29g,18g,5g,1g,1010mg,185mg,440,13g,0.5g
"Bacon, Egg & Cheese Sourdough",170g,23g,46g,23g,6g,2g,1260mg,155mg,490,8g,0g
