Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat,Price
"6"" Black Forest Ham, Egg & Cheese Flatbread",211,16.0,44,23,3,4,1210,185,410,5.0,0.0,$3.50
"6"" Black Forest Ham, Egg White & Cheese",203,9.0,45,25,6,4,1180,25,360,2.5,0.0,$3.50
"6"" Black Forest Ham, Egg White & Cheese Flatbread",211,11.0,44,25,3,4,1250,25,370,2.5,0.0,$3.50
"6"" Breakfast B.M.T",261,23.0,47,29,7,5,1630,205,500,8.0,0.0,$6.00
"6"" Breakfast B.M.T Flatbread",270,25.0,46,28,5,5,1690,205,520,8.0,0.0,$6.00
"6"" Breakfast B.M.T Flatbread with Egg White",270,20.0,46,30,5,4,1730,45,480,6.0,0.0,$4.25
"6"" Breakfast B.M.T with Egg White",261,17.0,47,30,7,5,1670,45,470,6.0,0.0,$4.25
"6"" Egg & Cheese",174,13.0,44,19,5,4,880,170,370,4.5,0.0,$6.00
"6"" Egg & Cheese Flatbread",183,15.0,42,19,2,4,950,170,380,5.0,0.0,$3.50
"6"" Egg White & Cheese",174,8.0,44,20,5,4,920,10,330,2.0,0.0,$6.00
"6"" Egg White & Cheese Flatbread",183,10.0,43,20,2,4,980,10,340,2.5,0.0,$3.50
"6"" Mega Melt",246,29.0,45,35,6,4,1830,215,590,11.0,0.0,$6.00
"6"" Mega Melt Flatbread",255,31.0,44,34,3,4,1890,215,600,11.0,0.0,$3.50
"6"" Mega Melt Flatbread with Egg White",255,26.0,45,36,3,4,1930,55,560,9.0,0.0,$3.50
"6"" Mega Melt with Egg White",246,24.0,46,36,6,4,1860,55,550,9.0,0.0,$5.25
"6"" Sausage, Egg & Cheese",231,24.0,45,29,6,4,1400,205,510,9.0,0.0,$6.00
"6"" Sausage, Egg & Cheese Flatbread",240,26.0,44,29,3,4,1470,205,520,9.0,0.0,$3.50
"6"" Sausage, Egg White & Cheese",231,18.0,45,30,5,4,1440,45,470,7.0,0.0,$6.00
"6"" Sausage, Egg White & Cheese Flatbread",240,21.0,44,30,3,4,1500,45,480,7.0,0.0,$3.50
"6"" Steak, Egg & Cheese",217,15.0,46,28,6,4,1210,195,440,6.0,0.0,$6.00
"6"" Steak, Egg & Cheese Flatbread",225,18.0,45,28,4,4,1280,195,450,6.0,0.0,$3.50
"6"" Steak, Egg White & Cheese",217,10.0,46,29,6,4,1250,35,400,3.0,0.0,$6.00
"6"" Steak, Egg White & Cheese Flatbread",225,12.0,45,29,3,4,1320,35,410,3.0,0.0,$3.50
"6"" Sunrise Subway Melt",281,20.0,48,34,8,5,1810,205,510,7.0,0.0,$6.00
"6"" Sunrise Subway Melt Flatbread",290,22.0,47,34,5,4,1880,205,530,7.0,0.0,$6.00
"6"" Sunrise Subway Melt Flatbread with Egg White",290,17.0,47,35,5,4,1910,40,490,5.0,0.0,$7.75
"6"" Sunrise Subway Melt with Egg White",281,15.0,48,36,8,5,1850,40,470,5.0,0.0,$4.75
"Footlong Bacon, Egg & Cheese",380,36.0,88,50,12,8,2620,360,900,14.0,0.0,$3.50
"Footlong Bacon, Egg & Cheese Flatbread",396,42.0,86,50,6,8,2740,360,920,14.0,0.0,$3.50
"Footlong Bacon, Egg White & Cheese",380,26.0,90,52,12,8,2680,40,820,8.0,0.0,$3.50
"Footlong Bacon, Egg White & Cheese Flatbread",396,30.0,88,52,6,8,2820,40,860,10.0,0.0,$3.50
"Footlong Black Forest Ham, Egg & Cheese",406,28.0,90,48,12,8,2300,370,800,10.0,0.0,$3.50
"Footlong Black Forest Ham, Egg & Cheese Flatbread",422,32.0,88,46,6,8,2420,370,820,10.0,0.0,$3.50
"Footlong Black Forest Ham, Egg White & Cheese",406,18.0,90,50,12,8,2360,50,720,5.0,0.0,$3.50
"Footlong Black Forest Ham, Egg White & Cheese Flatbread",422,22.0,88,50,6,8,2500,50,740,5.0,0.0,$3.50
Footlong Breakfast B.M.T,522,46.0,94,58,14,10,3260,410,1000,16.0,0.0,$6.00
Footlong Breakfast B.M.T Flatbread,540,50.0,92,56,10,10,3380,410,1040,16.0,0.0,$3.50
Footlong Breakfast B.M.T Flatbread with Egg White,540,40.0,92,60,10,8,3460,90,960,12.0,0.0,$3.50
Footlong Breakfast B.M.T with Egg White,522,34.0,94,60,14,10,3340,90,940,12.0,0.0,$4.25
Footlong Egg & Cheese,348,26.0,88,38,10,8,1760,340,740,9.0,0.0,$6.00
Footlong Egg & Cheese Flatbread,366,30.0,84,38,4,8,1900,340,760,10.0,0.0,$3.50
Footlong Egg White & Cheese,348,16.0,88,40,10,8,1840,20,660,4.0,0.0,$6.00
Footlong Egg White & Cheese Flatbread,366,20.0,86,40,4,8,1960,20,680,5.0,0.0,$3.50
Footlong Mega Melt,492,58.0,90,70,12,8,3660,430,1180,22.0,0.0,$5.50
Footlong Mega Melt Flatbread,510,62.0,88,68,6,8,3780,430,1200,22.0,0.0,$3.50
Footlong Mega Melt Flatbread with Egg White,510,52.0,90,72,6,8,3860,110,1120,18.0,0.0,$3.50
Footlong Mega Melt with Egg White,492,48.0,92,72,12,8,3720,110,1100,18.0,0.0,$5.25
"Footlong Sausage, Egg & Cheese",462,48.0,90,58,12,8,2800,410,1020,18.0,0.0,$6.00
