Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat,Price
Supreme - Large Thin 'N Crispy® Slice,142.4,14.0,30,14,5,2,680,40,300,6.0,0.0,$15.49
Ultimate Cheese Lover's® - Large Thin 'N Crispy® Slice,114.9,14.0,28,15,4,2,620,40,290,7.0,0.0,$15.49
Veggie Lover's® - Large Thin 'N Crispy® Slice,144.4,8.0,31,11,5,3,580,20,240,4.0,0.0,$15.49
Backyard BBQ Chicken - Large Original Stuffed Crust® Slice,146.4,13.0,41,16,7,2,670,45,340,6.0,0.0,$18.49
Buffalo Chicken - Large Original Stuffed Crust® Slice,144.7,11.0,39,15,2,2,870,40,310,6.0,0.0,$18.49
Cheese - Large Original Stuffed Crust® Slice,138.7,13.0,35,14,2,3,660,35,310,7.0,0.0,$17.49
Chicken-Bacon Parmesan - Large Original Stuffed Crust® Slice,154.9,16.0,34,17,2,2,700,45,350,7.0,0.0,$18.49
Hawaiian Chicken - Large Original Stuffed Crust® Slice,161.9,11.0,37,16,3,2,750,40,310,6.0,0.0,$18.49
Meat Lover's® - Large Original Stuffed Crust® Slice,171.7,24.0,36,19,2,2,1010,60,430,10.0,0.0,$17.49
Pepperoni - Large Original Stuffed Crust® Slice,139.7,16.0,35,15,2,2,730,45,340,7.0,0.0,$17.49
Pepperoni Lover's® - Large Original Stuffed Crust®; Slice,154.4,20.0,35,18,2,3,850,55,390,9.0,0.5,$17.49
Supreme - Large Original Stuffed Crust® Slice,166.4,18.0,36,16,2,3,770,45,370,8.0,0.0,$17.49
Ultimate Cheese Lover's® - Large Original Stuffed Crust® Slice,137.6,16.0,34,15,2,2,660,40,340,8.0,0.0,$17.49
Veggie Lover's® - Large Original Stuffed Crust® Slice,163.0,12.0,37,13,3,3,650,30,300,6.0,0.0,$17.49
Backyard BBQ Chicken - Rectangle Slice,107.4,9.0,34,11,6,2,470,20,260,3.5,0.0,$12.49
Buffalo Chicken - Rectangle Slice,106.3,8.0,32,10,1,2,630,20,240,3.0,0.0,$16.49
Cheese - Rectangle Slice,102.6,9.0,29,10,1,2,460,20,240,4.0,0.0,$5.29
Chicken-Bacon Parmesan - Rectangle Slice,112.6,12.0,28,12,1,2,490,25,270,4.5,0.0,$16.49
Hawaiian Chicken - Rectangle Slice,116.3,8.0,30,11,2,2,500,20,230,3.0,0.0,$15.49
Meat Lover's® - Rectangle Slice,121.6,16.0,29,13,1,2,670,35,310,6.0,0.0,$15.49
Pepperoni - Rectangle Pan Slice,100.2,11.0,28,10,1,2,490,20,250,4.0,0.0,$15.49
Pepperoni Lover's® - Rectangle Slice,114.0,14.0,29,13,1,2,590,35,290,6.0,0.0,$15.49
Supreme - Rectangle Slice,118.6,12.0,29,11,2,2,520,25,270,4.5,0.0,$15.49
Ultimate Cheese Lover's® - Rectangle Slice,103.5,12.0,28,11,1,2,480,25,260,5.0,0.0,$15.49
Veggie Lover's® - Rectangle Slice,117.1,8.0,30,9,2,2,440,15,220,3.0,0.0,$15.49
"Backyard BBQ Chicken - 18"" Slice",185.4,13.0,57,19,9,3,720,40,420,6.0,0.0,$15.49
"Buffalo Chicken - 18"" Slice",186.7,11.0,54,18,3,3,1030,35,380,5.0,0.0,$7.99
"Cheese & Mushroom - 18"" Slice",205.3,10.0,51,17,3,4,710,30,360,5.0,0.0,$5.29
