Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat,Price
Kids Eggplant Tofu,,18.0,17,5,13,2,390,0,250,2.5,0,$9.70
Kids Fried Rice,,10.0,57,7,2,0,570,80,350,2.0,0,$1.80
Kids Golden Treasure Shrimp,,10.0,20,8,8,1,250,60,210,1.5,0,$1.90
Kids Grilled Asian Chicken,,8.0,5,22,5,0,320,110,180,2.5,0,$2.10
Kids Grilled Teriyaki Chicken,,8.0,5,22,5,0,320,110,180,2.5,0,$2.10
Kids Honey Sesame Chicken Breast,,17.0,30,12,14,2,360,30,320,3.0,0,$7.50
Kids Honey Walnut Shrimp,,13.0,14,7,5,1,240,55,200,2.0,0,$1.90
Kids Hot Szechuan Tofu,,6.0,7,4,4,1,430,0,100,0.5,0,$0.75
Kids Kung Pao Chicken,,14.0,10,11,4,2,690,40,200,2.5,0,$9.70
"Kids Mixed Vegetables, Side",,0.0,12,3,4,4,400,0,60,0.0,0,$3.70
Kids Mushroom Chicken,,7.0,8,9,3,1,580,30,130,1.5,0,$1.90
Kids Orange Chicken,,17.0,38,19,14,1,620,60,370,3.5,0,$9.70
Kids Potato Chicken,,8.0,15,6,3,0,510,20,140,1.5,0,$2.10
Kids Shanghai Angus Steak with String Beans,,14.0,13,14,8,1,590,30,230,3.0,0,$13.45
Kids Steamed Ginger Fish,,4.0,3,5,2,0,660,15,70,1.0,0,$2.10
Kids String Bean Chicken Breast,,7.0,10,11,3,3,440,25,140,1.5,0,$1.25
Kids Sweet & Sour Chicken Breast,,10.0,35,9,21,1,220,20,270,2.0,0,$8.30
Kids SweetFire Chicken Breast,,12.0,35,10,20,1,240,25,280,2.0,0,$9.70
Kids Teriyaki Chicken,,8.0,8,25,6,2,380,115,200,2.0,0,$2.10
Kids White Steamed Rice,,0.0,54,5,0,0,0,0,240,0.0,0,$3.70
