Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat
Falafel,85g,6g,28g,9g,1g,8g,0mg,0mg,200,2.5g,0g
Fish Filet,90g,8g,18g,11g,1g,1g,630mg,30mg,190,1.5g,0g
Italian Hero Meats,85g,18g,3g,14g,2g,0g,1070mg,65mg,230,6g,0.5g
Meatballs,139g,16g,16g,13g,6g,3g,720mg,40mg,260,0g,1g
Orchard Chicken Salad,85g,5g,10g,12g,8g,1g,250mg,40mg,140,0g,0g
Roast Beef,71g,2.5g,1g,16g,1g,0g,390mg,45mg,90,6g,0g
Roasted Chicken Patty,71g,2.5g,2g,15g,1g,0g,330mg,45mg,90,0.5g,0g
Rotisserie-Style Chicken,85g,3.5g,1g,21g,0g,0g,380mg,55mg,120,0g,0g
Seafood Sensation,71g,17g,8g,4g,2g,0g,500mg,15mg,190,2g,0g
Steak,71g,4g,4g,15g,2g,0g,550mg,40mg,110,1g,0.5g
Subway Club Meats,78g,2.5g,2g,15g,1g,0g,560mg,40mg,90,3g,0g
Teriyaki Glazed Chicken Strips,85g,2g,5g,16g,2g,0g,400mg,50mg,100,0.5g,0g
Tuna,74g,23g,0g,12g,0g,0g,300mg,40mg,250,2g,0.5g
Veggie Patty,85g,8g,8g,13g,2g,3g,520mg,0mg,160,2g,0g
Apple Cinnamon Pecan Muffin,113g,25g,57g,6g,35g,2g,380mg,65mg,480,5g,0g
Banana Bread Muffin,113g,25g,53g,6g,29g,2g,330mg,40mg,460,3.5g,0g
Blueberry Crumb Muffin,113g,17g,60g,5g,34g,1g,410mg,45mg,410,5g,0g
Brownie,86g,17g,51g,5g,32g,1g,125mg,30mg,370,6g,0g
"Brownie, Gluten Free",80g,16g,48g,3g,34g,2g,170mg,55mg,350,1.5g,0g
Chocolate Chunk Muffin,113g,27g,63g,5g,40g,2g,380mg,75mg,510,8g,0g
Cinnamon Rolls,163g,27g,83g,9g,33g,3g,730mg,5mg,610,13g,0g
Croissant,85g,11g,34g,5g,4g,1g,300mg,30mg,260,7g,0g
Triple Berry Muffin,113g,17g,55g,7g,30g,5g,430mg,50mg,400,4.5g,0g
Beef Chili with Beans Soup,255g,22g,20g,21g,6g,5g,800mg,70mg,360,8g,1.5g
Black Bean Soup,255g,1g,39g,12g,6g,15g,860mg,0mg,210,0g,0g
Broccoli Cheddar Soup,255g,9g,18g,5g,4g,1g,630mg,25mg,170,5g,0g
Creamy Chicken & Dumplings Soup,245g,4.5g,20g,8g,3g,3g,740mg,35mg,150,2g,0g
Creamy Chicken & Wild Rice Soup,240g,11g,16g,7g,3g,1g,820mg,40mg,190,6g,0.5g
French Onion Soup,219g,6g,19g,5g,1g,1g,940mg,15mg,150,3.5g,0g
Homestyle Chicken Noodle Soup,255g,3g,14g,8g,2g,1g,720mg,30mg,110,1.5g,0g
Loaded Baked Potato with Bacon Soup,255g,13g,15g,5g,4g,1g,800mg,35mg,210,7g,0g
Spicy Chicken Tortilla Soup,227g,4.5g,12g,6g,3g,2g,660mg,10mg,110,1g,0g
Tomato Basil Soup,236g,6g,15g,4g,7g,2g,700mg,20mg,130,3.5g,0g
