Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat
"Better for You, Chicken Fajita Pita made with Whole Grain without Salsa",220g,12g,35g,23g,3g,4g,1000mg,55mg,340,6g,0g
"Better for You, Chicken Teriyaki Bowl",,6g,134g,27g,35g,5g,1910mg,40mg,690,1g,0g
"Better for You, Grilled Chicken Salad",372g,9g,13g,30g,6g,5g,750mg,80mg,250,4.5g,0g
"Better for You, Jr. Jumbo Jack",150g,26g,33g,14g,6g,2g,560mg,30mg,420,7g,1g
Bacon & Egg Chicken Sandwich,240g,39g,37g,37g,1g,2g,1630mg,300mg,650,11g,0.5g
Brunch Burger,215g,55g,32g,37g,3g,2g,730mg,320mg,770,22g,2g
Brunchfast Mini Pancakes,71g,1.5g,28g,4g,6g,1g,350mg,0mg,140,0g,0g
Homestyle Potatoes,165g,12g,34g,4g,1g,3g,580mg,0mg,260,2.5g,0g
Orange & Cranberry Mini Muffins,75g,16g,34g,4g,20g,1g,300mg,60mg,300,3g,0g
Southwest Scrambler Plate with Bacon,307g,28g,38g,23g,3g,4g,1380mg,325mg,500,9g,0g
Southwest Scrambler Plate with Sausage,327g,38g,38g,21g,2g,4g,1230mg,340mg,580,12g,0g
Bacon & Swiss Buttery Jack,240g,59g,48g,42g,11g,3g,1350mg,145mg,890,25g,2g
Bacon Ultimate Cheeseburger,272g,65g,32g,55g,6g,1g,1590mg,165mg,930,25g,3g
