Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat
Kosher Egg & Cheese Wake Up Wrap,,10g,14g,7g,1g,0g,410mg,95mg,170,4g,0g
Kosher Egg White and Cheese on an English Muffin,,6g,37g,15g,4g,1g,740mg,15mg,270,3g,0g
Kosher Grilled Cheese (Regional),,23g,36g,17g,3g,0g,840mg,55mg,420,12g,0g
Kosher Grilled Cheese with Veggie Bacon (Regional),,27g,38g,19g,3g,1g,1080mg,55mg,480,12g,0g
Kosher Maple Sugar Bacon Breakfast Sandwich,,39g,50g,18g,11g,3g,1050mg,180mg,630,14g,0g
Kosher Maple Sugar Bacon Wake-Up Wrap,,14g,19g,9g,4g,1g,650mg,95mg,240,4.5g,0g
Kosher Tuna Melt on a Croissant,,34g,43g,22g,6g,2g,600mg,45mg,570,14g,0g
Kosher Tuna Salad on a Plain Bagel,,9g,69g,21g,6g,5g,840mg,20mg,440,1g,0g
Kosher Veggie Bacon and Veggie Sausage Croissant Sandwich,,37g,46g,25g,6g,3g,1070mg,180mg,620,14g,0g
Kosher Veggie Bacon and Veggie Sausage Wake-Up Wrap,,13g,17g,12g,1g,1g,660mg,95mg,240,4.5g,0g
Kosher Veggie Bacon Egg and Cheese on a Plain Bagel,,17g,68g,21g,6g,5g,1190mg,180mg,510,5g,0g
Kosher Veggie Bacon Wake-Up Wrap,,12g,15g,8g,1g,1g,530mg,95mg,200,4.5g,0g
Kosher Veggie Sausage Egg and Cheese on a Croissant,,33g,44g,23g,6g,2g,840mg,180mg,570,13g,0g
Kosher Veggie Sausage Wake-Up Wrap,,11g,16g,11g,1g,1g,540mg,95mg,210,4g,0g
Blueberry Muffin,,15g,76g,6g,43g,2g,390mg,60mg,460,3g,0g
Chocolate Chip Muffin,,21g,83g,7g,50g,2g,400mg,60mg,550,6g,0g
Corn Muffin,,16g,72g,7g,30g,1g,680mg,65mg,460,3g,0g
Pumpkin Muffin,,24g,77g,6g,40g,2g,400mg,50mg,550,5g,0g
Multigrain Brown Sugar Oatmeal with Dried Fruit Topping,,2g,66g,5g,35g,7g,250mg,0mg,310,0g,0g
Biscuit,,14g,32g,5g,2g,1g,640mg,10mg,270,9g,0g
English Muffin,,2g,34g,6g,3g,1g,250mg,0mg,180,0g,0g
Gluten Free Fudge Brownie,,16g,48g,3g,34g,2g,240mg,60mg,350,2g,0g
Plain Croissant,,18g,38g,6g,6g,0g,250mg,0mg,340,8g,0g
Pretzel Bites with Mustard,,2g,35g,7g,1g,1g,1430mg,0mg,190,0.5g,0g
All You Can Meat Breakfast Sandwich,,56g,42g,31g,7g,1g,1540mg,235mg,800,21g,0g
All You Can Meat Wake-Up Wrap,,23g,15g,15g,1g,1g,920mg,125mg,330,8g,0g
"Bacon, Egg & Cheese on a Plain Bagel",,18g,66g,23g,6g,4g,1170mg,185mg,520,6g,0g
"Bacon, Egg & Cheese on Croissant",,35g,41g,19g,6g,1g,800mg,185mg,560,14g,0g
"Bacon, Egg & Cheese on English Muffin",,19g,37g,18g,4g,1g,800mg,185mg,390,6g,0g
"Bacon, Egg & Cheese Wake-Up Wrap",,13g,15g,9g,1g,1g,550mg,100mg,210,5g,0g
Belgian Waffle Breakfast Sandwich with Maple Sugar Bacon,,23g,40g,22g,15g,1g,1040mg,210mg,460,8g,0g
Big n' Toasted (Regional),,38g,41g,29g,3g,0g,1200mg,360mg,620,12g,0g
"Biscuit, Bacon, Fried Egg and Cheese",,31g,34g,17g,2g,1g,1180mg,195mg,490,15g,0g
Chicken Biscuit,,22g,46g,21g,3g,1g,1080mg,45mg,460,11g,0g
Chicken Croissant Sandwich (Regional),,40g,54g,29g,8g,1g,1200mg,65mg,690,15g,0g
Double Sausage Breakfast Sandwich,,53g,68g,35g,7g,5g,1970mg,250mg,890,19g,0g
Egg & Cheese on a Plain Bagel,,13g,66g,19g,6g,4g,1010mg,175mg,460,5g,0g
Egg & Cheese on Croissant,,31g,40g,15g,6g,1g,640mg,175mg,500,13g,0g
Egg & Cheese on English Muffin,,15g,37g,14g,4g,1g,640mg,175mg,340,5g,0g
Grilled Cheese (Regional),,24g,37g,17g,3g,0g,960mg,50mg,430,11g,0g
Grilled Cheese with Bacon (Regional),,29g,37g,21g,3g,0g,1120mg,60mg,490,13g,0g
Grilled Cheese with Ham (Regional),,25g,38g,22g,4g,0g,1220mg,60mg,460,12g,0g
"Ham, Egg & Cheese on a Plain Bagel",,14g,67g,24g,7g,4g,1270mg,190mg,490,5g,0g
"Ham, Egg & Cheese on Croissant",,32g,41g,19g,7g,1g,900mg,190mg,530,13g,0g
"Ham, Egg & Cheese on English Muffin",,15g,37g,19g,4g,1g,900mg,190mg,360,5g,0g
Ham and Cheese Rollups,,13g,27g,13g,2g,1g,1050mg,40mg,280,6g,0g
Maple Sugar Bacon Breakfast Sandwich,,40g,47g,22g,12g,2g,960mg,195mg,640,16g,0g
Maple Sugar Bacon Wake-Up Wrap,,15g,18g,11g,4g,1g,630mg,105mg,250,6g,0g
"Sausage, Egg & Cheese on a Plain Bagel",,33g,68g,27g,7g,4g,1490mg,215mg,680,12g,0g
"Sausage, Egg & Cheese on Croissant",,51g,41g,22g,6g,1g,1120mg,215mg,710,20g,0g
"Sausage, Egg & Cheese on English Muffin",,34g,37g,22g,4g,1g,1120mg,215mg,550,12g,0g
"Sausage, Egg & Cheese Wake-Up Wrap",,20g,15g,11g,1g,1g,710mg,115mg,290,8g,0g
Sausage Biscuit,,34g,32g,13g,2g,1g,1120mg,45mg,490,16g,0g
Spam Breakfast Sandwich,,42g,42g,20g,7g,1g,1210mg,200mg,630,16g,0g
Turkey Sausage Sandwich on English Muffin,,21g,37g,25g,4g,1g,1110mg,240mg,450,7g,0g
Veggie Egg White Sandwich on an English Muffin,,10g,38g,15g,4g,1g,730mg,20mg,310,5g,0g
Waffle Breaded Chicken Tenders,,15g,19g,19g,2g,0g,650mg,45mg,290,3g,0g
"Extra Thick Shake, Chocolate",,20g,92g,19g,85g,3g,320mg,70mg,620,13g,0.5g
"Extra Thick Shake, Vanilla",,19g,54g,18g,51g,1g,300mg,70mg,460,12g,0.5g
M&M Mix-In,,27g,89g,16g,82g,3g,270mg,60mg,660,17g,0.5g
Orep Mix-In,,21g,70g,14g,55g,2g,360mg,55mg,510,11g,0.5g
Soft Serve Cone,,9g,35g,9g,27g,1g,160mg,35mg,260,6g,0g
Strawberry Coolatta Float,,6g,56g,6g,54g,1g,105mg,25mg,300,4g,0g
