Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat
"Modern Greek Salad with Quinoa, Half",,20g,14g,6g,2g,3g,440mg,5mg,260,3.5g,0g
"Modern Greek Salad with Quinoa, Whole",,43g,27g,12g,4g,7g,870mg,15mg,530,7g,0g
"Seasonal Greens Salad, Whole",,11g,20g,4g,13g,4g,150mg,0mg,180,1.5g,0g
"Southwest Chile Lime Ranch Salad with Chicken, Half",,17g,28g,19g,5g,5g,400mg,50mg,330,3.5g,0g
"Southwest Chile Lime Ranch Salad with Chicken, Whole",,34g,56g,38g,9g,10g,800mg,95mg,670,7g,0g
"Spicy Thai Salad with Chicken, Half",,11g,21g,21g,6g,4g,380mg,40mg,260,1.5g,0g
"Spicy Thai Salad with Chicken, Whole",,22g,41g,42g,12g,8g,750mg,80mg,510,3g,0g
Lentil Quinoa Broth Bowl with Chicken,,9g,45g,32g,5g,9g,1330mg,65mg,380,1.5g,0g
Lentil Quinoa Broth Bowl wtih Cage-Free Egg,,12g,44g,16g,5g,9g,1240mg,185mg,340,2.5g,0g
Soba Noodle Bowl with Chicken,,9g,46g,30g,4g,4g,1190mg,65mg,380,1.5g,0g
Soba Noodle Bowl with Edamame Blend,,11g,50g,13g,6g,7g,1350mg,0mg,350,1g,0g
Vegan Lentil Quinoa Broth Bowl,,7g,43g,10g,5g,9g,1180mg,0mg,270,1g,0g
"Bacon Mac & Cheese, Bread Bowl",,41g,164g,48g,9g,6g,2470mg,95mg,1220,20g,1g
"Bacon Mac & Cheese, Large",,73g,67g,43g,16g,2g,2620mg,190mg,1100,39g,1.5g
"Bacon Mac & Cheese, Small",,37g,34g,22g,8g,1g,1310mg,95mg,550,19g,1g
"Baja Mac & Cheese, Bread Bowl",,39g,169g,44g,10g,8g,2320mg,155mg,1200,18g,1g
"Baja Mac & Cheese, Large",,70g,77g,35g,19g,8g,2320mg,80mg,1070,36g,1.5g
"Baja Mac & Cheese, Small",,35g,39g,18g,9g,4g,1160mg,155mg,530,18g,1g
"BBQ Chicken Mac & Cheese, Bread Bowl",,38g,172g,50g,14g,6g,2550mg,100mg,1230,18g,1g
"BBQ Chicken Mac & Cheese, Large",,68g,84g,47g,27g,3g,2790mg,200mg,1130,36g,1.5g
"BBQ Chicken Mac & Cheese, Small",,34g,42g,23g,14g,2g,1390mg,100mg,570,18g,1g
Chicken Tortellini Alfredo,,39g,68g,31g,2g,3g,1690mg,135mg,750,21g,1g
"Mac & Cheese, Bread Bowl",,35g,163g,43g,8g,6g,2210mg,80mg,1140,18g,1g
"Mac & Cheese, Large",437g,62g,66g,33g,15g,2g,2090mg,155mg,950,35g,1.5g
"Mac & Cheese, Small",218g,31g,33g,17g,7g,1g,1040mg,80mg,470,17g,1g
"Baked Potato Soup, Bowl",,20g,33g,9g,5g,4g,1420mg,45mg,330,10g,0g
"Baked Potato Soup, Bread Bowl",,18g,152g,33g,4g,7g,2110mg,30mg,890,7g,0g
"Baked Potato Soup, Cup",,13g,22g,6g,3g,3g,950mg,30mg,220,7g,0g
"Bistro French Onion Soup, Bowl",,13g,35g,12g,15g,4g,1670mg,10mg,310,6g,0g
"Bistro French Onion Soup, Bread Bowl",,13g,151g,35g,11g,7g,2240mg,5mg,860,4g,0g
"Bistro French Onion Soup, Cup",,8g,21g,8g,10g,2g,1070mg,5mg,190,3.5g,0g
"Broccoli Cheddar Soup, Bowl",,21g,30g,14g,6g,6g,1330mg,55mg,360,13g,1g
"Broccoli Cheddar Soup, Bread Bowl",,18g,149g,35g,5g,8g,2000mg,35mg,900,8g,0.5g
"Broccoli Cheddar Soup, Cup",,13g,19g,9g,4g,4g,840mg,35mg,230,8g,0.5g
"Cream of Chicken & Wild Rice Soup, Bowl",,16g,27g,10g,2g,5g,1390mg,35mg,260,7g,0.5g
"Cream of Chicken & Wild Rice Soup, Bread Bowl",,15g,148g,33g,2g,8g,2090mg,25mg,840,5g,0g
"Cream of Chicken & Wild Rice Soup, Cup",,10g,18g,6g,1g,4g,920mg,25mg,180,4.5g,0g
"Low-Fat Chicken Noodle Soup, Bowl",,5g,19g,14g,2g,3g,1400mg,110mg,160,1.5g,0g
"Low-Fat Chicken Noodle Soup, Bread Bowl",,8g,143g,36g,2g,7g,2090mg,75mg,780,1.5g,0g
"Low-Fat Chicken Noodle Soup, Cup",,3g,13g,10g,1g,2g,930mg,75mg,110,1g,0g
"New England Clam Chowder, Bowl",,39g,42g,14g,6g,3g,1040mg,145mg,570,24g,1.5g
"New England Clam Chowder, Bread Bowl",,30g,157g,36g,4g,7g,1840mg,95mg,1040,16g,1g
"New England Clam Chowder, Cup",,25g,27g,9g,4g,2g,680mg,95mg,370,16g,1g
"Vegetarian Creamy Tomato Soup, Bowl",,13g,36g,6g,16g,4g,910mg,50mg,280,7g,0g
"Vegetarian Creamy Tomato Soup, Bread Bowl",,13g,155g,31g,11g,7g,1790mg,30mg,860,5g,0g
"Vegetarian Creamy Tomato Soup, Cup",,9g,25g,4g,11g,3g,630mg,30mg,200,4.5g,0g
Kids Bacon Mac & Cheese,,37g,34g,22g,8g,1g,1310mg,95mg,550,19g,1g
Kids Baja Mac & Cheese,,35g,39g,18g,9g,4g,1160mg,155mg,530,18g,1g
Kids Baked Potato Soup,,13g,22g,6g,3g,3g,950mg,30mg,220,7g,0g
Kids BBQ Chicken Mac & Cheese,,34g,42g,23g,14g,2g,1390mg,100mg,570,18g,1g
Kids Bistro French Onion Soup,,8g,21g,8g,10g,2g,1070mg,5mg,190,3.5g,0g
Kids Broccoli Cheddar Soup,,13g,19g,9g,4g,4g,840mg,35mg,230,8g,0.5g
Kids Caesar Salad,,13g,7g,5g,1g,1g,300mg,20mg,160,3g,0g
Kids Cream of Chicken & Wild Rice Soup,,10g,18g,6g,1g,4g,920mg,25mg,180,4.5g,0g
Kids Greek Salad,,18g,7g,4g,4g,2g,510mg,10mg,200,4g,0g
Kids Grilled Cheese on Classic White Bread,,18g,52g,19g,5g,2g,1090mg,50mg,450,10g,0.5g
Kids Ham Sandwich on Whole Grain Bread,,9g,30g,17g,3g,4g,750mg,40mg,260,5g,0g
Kids Low-Fat Chicken Noodle Soup,,3g,13g,10g,1g,2g,930mg,75mg,110,1g,0g
Kids Low-Fat Vegetarian Black Bean Soup,,1g,27g,5g,1g,12g,740mg,0mg,90,0g,0g
Kids Mac & Cheese,,31g,33g,17g,7g,1g,1040mg,80mg,470,17g,1g
Kids New England Clam Chowder,,25g,27g,9g,4g,2g,680mg,95mg,370,16g,1g
Kids Peanut Butter & Jelly on Whole Grain Bread,118g,16g,49g,12g,19g,6g,410mg,0mg,370,2.5g,0g
Kids Turkey Sandwich on Whole Grain Bread,,9g,29g,22g,2g,4g,760mg,45mg,280,5g,0g
Kids Vegetarian Creamy Tomato Soup,,9g,25g,4g,11g,3g,630mg,30mg,200,4.5g,0g
"French Baguette, Side Portion",,1g,36g,6g,0g,1g,440mg,0mg,180,0g,0g
Sprouted Whole Grain Roll,,1g,33g,6g,3g,3g,360mg,0mg,170,0g,0g
