Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat
Hershey's Sundae Pie,79g,19g,32g,3g,22g,1g,220mg,10mg,310,12g,0g
Oatmeal Raisin Cookies,76g,13g,46g,4g,26g,3g,260mg,20mg,310,8g,0g
Oreo Cookie Cheesecake,92g,18g,41g,6g,25g,1g,310mg,35mg,350,8g,0g
Pie Made with Twix,102g,20g,45g,4g,30g,1g,330mg,10mg,370,13g,0g
Soft Serve Cone,120g,4.5g,32g,5g,24g,0g,150mg,20mg,190,3g,0g
Soft Serve Cup,115g,4.5g,28g,5g,24g,0g,150mg,20mg,170,3g,0g
White Chocolate Macadamia Nut Cookies,76g,18g,44g,4g,28g,0g,240mg,20mg,340,8g,0g
Chocolate Oreo Shake,,22g,121g,17g,101g,1g,680mg,70mg,740,13g,0.5g
Froot Loops Shake,,17g,126g,16g,103g,2g,560mg,65mg,720,11g,0.5g
Oreo Shake,,20g,118g,16g,98g,1g,540mg,65mg,720,12g,0.5g
Strawberry Banana Smoothie,,1g,71g,4g,50g,3g,55mg,0mg,310,0g,0g
Tropical Mango Smoothie,,0g,86g,5g,56g,2g,70mg,0mg,370,0g,0g
Value Menu Bacon Cheeseburger,118g,16g,27g,17g,7g,1g,710mg,55mg,320,7g,0.5g
Value Menu Bacon Double Cheeseburger,155g,24g,27g,25g,7g,1g,740mg,90mg,420,10g,1.5g
Value Menu Cheeseburger,111g,13g,27g,15g,7g,1g,560mg,45mg,280,6g,0.5g
Value Menu Crispy Chicken Jr.,142g,30g,34g,12g,5g,2g,780mg,30mg,450,5g,0g
Value Menu Double Cheeseburger,148g,21g,27g,23g,7g,1g,590mg,85mg,390,9g,1.5g
Value Menu Rodeo Burger,117g,14g,38g,13g,9g,1g,520mg,35mg,330,4.5g,0.5g
Value Menu Rodeo Crispy Chicken Jr.,154g,16g,55g,13g,14g,2g,860mg,20mg,420,3g,0g
Value Menu Spicy Crispy Chicken Jr.,142g,21g,37g,12g,6g,2g,740mg,30mg,390,3.5g,0g
